timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.00,37.64,21.38,21.34,3.33,94.97,45.97,48.74,7.27
0.01,37.64,21.41,21.37,3.32,94.61,45.87,48.62,7.27
0.02,37.64,21.41,21.37,3.32,94.61,45.97,48.74,7.28
0.03,37.64,21.38,21.34,3.32,94.61,45.97,48.74,7.27
0.04,37.56,21.38,21.34,3.32,94.61,45.97,48.62,7.28
0.05,37.64,21.41,21.34,3.33,94.26,45.87,48.74,7.27
0.06,37.64,21.41,21.34,3.33,94.61,45.97,48.62,7.28
0.07,37.64,21.41,21.37,3.32,94.26,45.87,48.62,7.27
0.08,37.64,21.38,21.34,3.32,94.61,45.97,48.62,7.27
0.09,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.10,37.64,21.38,21.34,3.32,94.61,45.97,48.74,7.28
0.11,37.64,21.45,21.34,3.32,94.61,45.97,48.74,7.27
0.12,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.13,37.64,21.38,21.34,3.32,94.61,45.97,48.62,7.27
0.14,37.56,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.15,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.16,37.71,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.17,37.64,21.41,21.37,3.33,94.61,45.97,48.62,7.27
0.18,37.64,21.41,21.34,3.32,94.61,45.97,48.74,7.27
0.19,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.20,37.64,21.41,21.37,3.32,94.61,45.97,48.62,7.27
0.21,37.64,21.41,21.37,3.33,94.61,45.87,48.62,7.28
0.22,37.64,21.41,21.37,3.32,94.61,45.97,48.62,7.27
0.23,37.64,21.38,21.34,3.32,94.26,45.87,48.62,7.27
0.24,37.64,21.38,21.34,3.32,94.61,45.97,48.62,7.27
0.25,37.64,21.38,21.34,3.33,94.61,45.87,48.62,7.27
0.26,37.64,21.41,21.37,3.32,94.61,45.97,48.62,7.28
0.27,37.64,21.41,21.34,3.33,94.61,45.97,48.62,7.28
0.28,37.64,21.41,21.34,3.32,94.61,45.87,48.62,7.27
0.29,37.56,21.38,21.34,3.32,94.61,45.97,48.62,7.27
0.30,37.64,21.38,21.34,3.32,94.61,45.97,48.62,7.28
0.31,37.64,21.41,21.37,3.32,94.61,45.97,48.62,7.27
0.32,37.64,21.38,21.37,3.33,94.97,45.97,48.74,7.27
0.33,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.28
0.34,37.56,21.41,21.34,3.32,94.61,45.97,48.62,7.28
0.35,37.64,21.41,21.34,3.32,94.61,45.97,48.74,7.28
0.36,37.64,21.41,21.34,3.33,94.61,45.97,48.62,7.27
0.37,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.28
0.38,37.64,21.38,21.34,3.33,94.61,45.87,48.62,7.28
0.39,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.40,37.64,21.41,21.31,3.32,94.61,45.97,48.62,7.28
0.41,37.64,21.38,21.37,3.32,94.61,45.97,48.74,7.27
0.42,37.64,21.38,21.37,3.33,94.61,45.97,48.62,7.27
0.43,37.64,21.41,21.34,3.32,94.61,46.07,48.62,7.27
0.44,37.56,21.38,21.34,3.32,94.61,45.97,48.62,7.27
0.45,37.64,21.41,21.34,3.33,94.61,45.97,48.62,7.27
0.46,37.56,21.41,21.34,3.32,94.61,45.97,48.62,7.28
0.47,37.56,21.41,21.37,3.32,94.61,45.87,48.62,7.28
0.48,37.64,21.38,21.34,3.32,94.61,45.97,48.74,7.28
0.49,37.64,21.41,21.34,3.33,94.61,45.97,48.62,7.27
0.50,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.51,37.64,21.38,21.37,3.33,94.61,45.97,48.62,7.28
0.52,37.64,21.41,21.34,3.33,94.61,45.97,48.62,7.27
0.53,37.64,21.38,21.34,3.32,94.97,45.97,48.62,7.27
0.54,37.64,21.38,21.34,3.32,94.61,45.87,48.62,7.27
0.55,37.64,21.41,21.34,3.33,94.97,45.97,48.62,7.27
0.56,37.64,21.41,21.37,3.32,94.61,45.97,48.62,7.27
0.57,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.58,37.56,21.38,21.34,3.32,94.61,45.87,48.62,7.27
0.59,37.56,21.38,21.34,3.33,94.61,45.97,48.74,7.27
0.60,37.56,21.41,21.34,3.32,94.61,45.97,48.85,7.27
0.61,37.64,21.41,21.34,3.33,94.61,45.87,48.62,7.28
0.62,37.64,21.41,21.37,3.32,94.26,45.87,48.74,7.28
0.63,37.64,21.38,21.34,3.32,94.61,45.97,48.62,7.28
0.64,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.28
0.65,37.56,21.41,21.34,3.32,94.61,45.97,48.62,7.28
0.66,37.64,21.41,21.37,3.32,94.61,45.97,48.62,7.28
0.67,37.64,21.41,21.34,3.32,94.61,45.87,48.62,7.27
0.68,37.56,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.69,37.56,21.38,21.34,3.32,94.61,45.97,48.62,7.27
0.70,37.64,21.41,21.34,3.32,94.26,45.97,48.62,7.28
0.71,37.56,21.45,21.37,3.32,94.26,45.97,48.74,7.27
0.72,37.64,21.38,21.37,3.32,94.26,45.97,48.62,7.28
0.73,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.74,37.56,21.38,21.34,3.32,94.61,45.77,48.62,7.28
0.75,37.64,21.41,21.34,3.32,94.61,45.97,48.74,7.28
0.76,37.64,21.41,21.34,3.33,94.61,45.87,48.62,7.28
0.77,37.64,21.41,21.37,3.32,94.61,45.87,48.62,7.27
0.78,37.56,21.41,21.34,3.32,94.61,45.97,48.62,7.28
0.79,37.56,21.41,21.34,3.32,94.61,45.97,48.62,7.28
0.80,37.64,21.41,21.34,3.32,94.61,45.87,48.62,7.27
0.81,37.64,21.41,21.34,3.32,94.61,46.07,48.62,7.27
0.82,37.64,21.41,21.37,3.32,94.61,45.87,48.62,7.27
0.83,37.64,21.38,21.34,3.33,94.61,45.97,48.62,7.27
0.84,37.56,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.85,37.56,21.38,21.34,3.32,94.61,45.87,48.62,7.27
0.86,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.87,37.56,21.41,21.34,3.32,94.61,45.97,48.62,7.28
0.88,37.56,21.38,21.34,3.32,94.61,45.97,48.62,7.27
0.89,37.64,21.38,21.34,3.32,94.26,45.97,48.62,7.28
0.90,37.56,21.38,21.34,3.32,94.61,45.87,48.62,7.28
0.91,37.64,21.41,21.34,3.33,94.61,45.97,48.62,7.28
0.92,37.56,21.41,21.34,3.32,94.26,45.97,48.74,7.28
0.93,37.56,21.41,21.34,3.32,94.61,45.97,48.74,7.28
0.94,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.95,37.56,21.41,21.34,3.32,94.61,45.87,48.62,7.27
0.96,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.27
0.97,37.64,21.45,21.34,3.32,94.61,45.97,48.62,7.28
0.98,37.56,21.41,21.34,3.32,94.61,45.97,48.62,7.28
0.99,37.56,21.38,21.34,3.32,94.61,45.97,48.62,7.27
1.00,37.56,21.41,21.34,3.33,94.61,45.97,48.62,7.27
1.01,37.56,21.41,21.34,3.33,94.61,45.97,48.74,7.27
1.02,37.64,21.41,21.34,3.33,94.61,45.97,48.62,7.28
1.03,37.64,21.41,21.34,3.32,94.61,45.97,48.62,7.28
1.04,37.56,21.38,21.34,3.32,94.61,45.87,48.62,7.27
1.05,37.56,21.38,21.34,3.32,94.61,45.77,48.62,7.28
