timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.00,34.06,20.58,21.69,3.78,97.51,59.93,52.64,8.36
0.01,33.99,20.55,21.69,3.78,97.51,59.93,52.64,8.36
0.02,33.99,20.55,21.69,3.78,97.88,59.93,52.64,8.36
0.03,33.99,20.58,21.69,3.78,97.51,59.93,52.64,8.34
0.04,34.06,20.55,21.66,3.78,97.88,60.09,52.51,8.34
0.05,33.99,20.55,21.66,3.78,97.88,60.09,52.64,8.37
0.06,34.06,20.58,21.66,3.78,97.88,59.93,52.64,8.36
0.07,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
0.08,33.99,20.55,21.66,3.78,98.26,59.93,52.64,8.36
0.09,34.06,20.55,21.66,3.78,97.88,60.09,52.64,8.37
0.10,33.93,20.58,21.66,3.78,97.88,59.93,52.64,8.36
0.11,34.06,20.55,21.66,3.79,97.88,60.09,52.64,8.34
0.12,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.36
0.13,33.99,20.55,21.69,3.78,97.51,59.93,52.64,8.36
0.14,34.06,20.58,21.66,3.78,97.51,59.93,52.64,8.36
0.15,33.99,20.58,21.69,3.78,97.88,59.93,52.64,8.33
0.16,33.99,20.58,21.66,3.78,97.88,59.93,52.51,8.36
0.17,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
0.18,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.19,34.06,20.55,21.66,3.79,97.88,59.93,52.64,8.36
0.20,33.99,20.55,21.66,3.78,97.51,59.93,52.76,8.34
0.21,33.99,20.58,21.66,3.78,98.26,59.93,52.51,8.36
0.22,33.99,20.58,21.69,3.78,97.88,59.93,52.51,8.36
0.23,33.99,20.52,21.66,3.78,97.88,59.93,52.51,8.36
0.24,33.99,20.55,21.66,3.78,97.88,59.93,52.51,8.36
0.25,33.99,20.58,21.66,3.78,97.88,59.93,52.64,8.36
0.26,33.99,20.58,21.69,3.78,97.51,59.93,52.64,8.36
0.27,34.06,20.58,21.69,3.78,97.88,59.93,52.64,8.34
0.28,33.99,20.55,21.69,3.78,97.88,59.93,52.64,8.34
0.29,33.93,20.58,21.66,3.78,97.51,59.93,52.64,8.36
0.30,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
0.31,33.93,20.58,21.66,3.78,97.88,59.93,52.64,8.36
0.32,33.99,20.58,21.69,3.78,97.88,59.93,52.64,8.36
0.33,33.99,20.58,21.66,3.78,97.51,59.93,52.64,8.36
0.34,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.35,33.99,20.58,21.66,3.78,97.88,59.93,52.76,8.37
0.36,34.06,20.55,21.69,3.78,97.51,59.93,52.64,8.36
0.37,33.99,20.58,21.69,3.78,97.88,59.93,52.64,8.36
0.38,34.06,20.58,21.66,3.78,97.88,59.93,52.64,8.36
0.39,33.93,20.58,21.66,3.78,97.88,60.09,52.64,8.36
0.40,33.99,20.58,21.69,3.78,97.88,59.93,52.64,8.36
0.41,33.93,20.58,21.66,3.78,97.88,59.93,52.64,8.36
0.42,33.99,20.58,21.66,3.78,97.88,59.93,52.64,8.36
0.43,33.93,20.55,21.63,3.78,97.88,59.93,52.64,8.36
0.44,33.93,20.55,21.66,3.78,97.88,59.93,52.64,8.34
0.45,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.46,34.06,20.55,21.66,3.78,97.51,59.93,52.64,8.34
0.47,33.93,20.55,21.69,3.79,97.88,59.93,52.64,8.34
0.48,33.93,20.58,21.66,3.78,97.88,59.93,52.64,8.34
0.49,33.93,20.55,21.69,3.78,97.88,59.93,52.64,8.36
0.50,33.93,20.58,21.69,3.78,97.88,59.93,52.64,8.34
0.51,33.99,20.58,21.63,3.78,97.51,59.93,52.64,8.36
0.52,33.93,20.55,21.66,3.78,97.51,59.93,52.64,8.36
0.53,33.93,20.58,21.66,3.78,97.88,59.93,52.64,8.34
0.54,33.99,20.58,21.66,3.78,97.88,59.93,52.64,8.37
0.55,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.34
0.56,33.99,20.58,21.66,3.78,97.88,59.93,52.64,8.34
0.57,33.93,20.58,21.66,3.78,97.51,59.93,52.64,8.34
0.58,33.99,20.58,21.66,3.78,97.88,59.93,52.64,8.36
0.59,33.99,20.55,21.66,3.78,97.51,59.93,52.51,8.36
0.60,33.99,20.58,21.66,3.78,97.88,60.09,52.64,8.36
0.61,33.93,20.55,21.66,3.78,97.88,59.78,52.64,8.34
0.62,33.93,20.55,21.66,3.78,97.51,59.93,52.64,8.36
0.63,33.99,20.58,21.66,3.78,97.88,60.09,52.64,8.36
0.64,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
0.65,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.66,34.06,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.67,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
0.68,33.99,20.55,21.69,3.78,97.88,59.93,52.64,8.34
0.69,33.99,20.58,21.66,3.78,97.88,59.93,52.64,8.34
0.70,33.99,20.55,21.69,3.78,97.88,59.93,52.64,8.34
0.71,33.99,20.58,21.66,3.78,97.51,59.93,52.64,8.34
0.72,34.06,20.55,21.66,3.78,97.51,60.09,52.64,8.34
0.73,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.74,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.36
0.75,33.99,20.55,21.69,3.78,97.88,59.93,52.64,8.36
0.76,34.06,20.55,21.66,3.78,97.51,60.09,52.64,8.36
0.77,33.99,20.55,21.66,3.78,97.51,59.93,52.51,8.34
0.78,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.37
0.79,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.80,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.36
0.81,33.93,20.55,21.66,3.78,97.51,59.78,52.64,8.34
0.82,33.93,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.83,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
0.84,33.99,20.58,21.66,3.78,97.51,59.78,52.64,8.36
0.85,33.93,20.55,21.66,3.78,97.51,59.93,52.64,8.36
0.86,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.37
0.87,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.34
0.88,33.99,20.55,21.66,3.78,97.51,59.78,52.64,8.36
0.89,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.36
0.90,33.93,20.55,21.66,3.78,97.88,60.09,52.64,8.36
0.91,33.87,20.55,21.66,3.78,97.51,59.93,52.64,8.34
0.92,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.93,33.99,20.55,21.66,3.78,97.51,59.93,52.51,8.34
0.94,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
0.95,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.36
0.96,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.97,33.99,20.58,21.66,3.78,97.88,59.93,52.51,8.36
0.98,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
0.99,33.99,20.55,21.66,3.78,97.88,59.93,52.76,8.34
1.00,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.36
1.01,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.36
1.02,33.93,20.58,21.66,3.78,97.88,59.93,52.64,8.36
1.03,33.93,20.55,21.66,3.78,97.88,59.93,52.64,8.36
1.04,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.34
1.05,33.93,20.61,21.66,3.79,97.88,59.93,52.64,8.36
1.06,33.93,20.55,21.66,3.78,97.51,59.93,52.64,8.36
1.07,33.99,20.58,21.69,3.78,97.51,59.93,52.64,8.36
1.08,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
1.09,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
1.10,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.36
1.11,33.93,20.55,21.66,3.78,97.88,59.93,52.64,8.36
1.12,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.36
1.13,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
1.14,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
1.15,33.99,20.55,21.66,3.78,97.51,59.78,52.64,8.34
1.16,33.93,20.55,21.66,3.78,97.88,59.93,52.64,8.34
1.17,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.37
1.18,33.99,20.58,21.63,3.78,97.51,60.09,52.51,8.34
1.19,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
1.20,33.99,20.55,21.66,3.78,97.51,59.93,52.64,8.36
1.21,33.99,20.58,21.66,3.78,97.88,59.93,52.64,8.34
1.22,33.93,20.58,21.66,3.78,97.51,59.93,52.64,8.34
1.23,33.99,20.55,21.66,3.78,97.51,60.09,52.64,8.36
1.24,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
1.25,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
1.26,33.81,20.55,21.66,3.78,97.88,59.93,52.64,8.34
1.27,33.93,20.58,21.66,3.78,97.88,59.93,52.64,8.34
1.28,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.36
1.29,33.93,20.55,21.66,3.78,97.88,59.93,52.64,8.34
1.30,34.06,20.55,21.66,3.78,97.51,59.93,52.64,8.36
1.31,34.06,20.55,21.66,3.78,97.88,59.78,52.76,8.36
1.32,33.93,20.55,21.66,3.78,97.51,59.93,52.64,8.36
1.33,34.06,20.55,21.66,3.78,97.51,59.93,52.51,8.34
1.34,33.93,20.58,21.63,3.78,97.88,59.93,52.64,8.34
1.35,33.99,20.55,21.69,3.78,97.51,60.09,52.64,8.36
1.36,33.99,20.58,21.66,3.78,97.88,59.93,52.64,8.34
1.37,33.93,20.55,21.63,3.78,97.88,59.93,52.64,8.36
1.38,33.93,20.55,21.66,3.78,97.88,59.93,52.64,8.36
1.39,33.99,20.55,21.66,3.78,97.88,59.93,52.64,8.34
