timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.00,39.70,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.01,39.86,24.29,25.66,20.50,107.69,59.93,55.40,22.44
0.02,39.78,24.21,25.66,20.50,107.69,59.93,55.40,22.47
0.03,39.78,24.33,25.66,20.50,107.69,59.93,55.40,22.47
0.04,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.05,39.78,24.29,25.66,20.47,107.69,59.78,55.54,22.44
0.06,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.07,39.78,24.25,25.66,20.50,107.69,59.78,55.40,22.44
0.08,39.70,24.25,25.66,20.50,107.69,59.93,55.40,22.44
0.09,39.78,24.25,25.66,20.50,107.25,59.93,55.40,22.44
0.10,39.86,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.11,39.78,24.25,25.66,20.50,107.69,59.93,55.40,22.44
0.12,39.86,24.25,25.66,20.47,107.69,60.09,55.40,22.47
0.13,39.78,24.29,25.66,20.47,107.69,59.78,55.40,22.44
0.14,39.78,24.25,25.66,20.47,107.69,60.09,55.40,22.47
0.15,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.16,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.47
0.17,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.47
0.18,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.19,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.20,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.21,39.78,24.25,25.66,20.50,107.69,59.93,55.40,22.47
0.22,39.78,24.25,25.66,20.50,107.69,59.93,55.40,22.44
0.23,39.86,24.25,25.62,20.50,107.69,59.93,55.40,22.44
0.24,39.78,24.25,25.66,20.50,107.69,59.93,55.40,22.44
0.25,39.86,24.25,25.66,20.47,107.69,59.93,55.54,22.47
0.26,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.27,39.78,24.29,25.66,20.50,107.69,59.93,55.40,22.47
0.28,39.70,24.25,25.70,20.50,107.69,59.93,55.54,22.47
0.29,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.30,39.78,24.25,25.66,20.50,107.69,59.93,55.40,22.44
0.31,39.78,24.25,25.66,20.47,107.69,59.93,55.54,22.44
0.32,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.47
0.33,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.34,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.35,39.78,24.25,25.66,20.50,107.69,59.93,55.54,22.47
0.36,39.78,24.25,25.66,20.50,107.69,59.93,55.40,22.44
0.37,39.78,24.25,25.66,20.50,108.14,59.93,55.40,22.47
0.38,39.78,24.25,25.66,20.50,107.25,59.93,55.40,22.47
0.39,39.78,24.29,25.66,20.50,107.69,59.93,55.54,22.47
0.40,39.78,24.25,25.66,20.50,107.25,59.93,55.40,22.44
0.41,39.78,24.25,25.66,20.50,107.69,59.93,55.54,22.47
0.42,39.86,24.25,25.66,20.47,107.69,59.93,55.40,22.47
0.43,39.86,24.25,25.66,20.47,107.69,59.93,55.54,22.44
0.44,39.78,24.25,25.66,20.50,107.69,59.93,55.54,22.44
0.45,39.86,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.46,39.78,24.25,25.66,20.47,107.69,59.93,55.40,22.44
0.47,39.78,24.25,25.66,20.50,107.69,59.93,55.40,22.44
0.48,39.70,24.25,25.66,20.50,107.69,59.93,55.54,22.44
