timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.00,37.78,23.02,23.91,22.75,101.76,57.51,52.01,32.05
0.01,37.71,22.98,23.91,22.75,102.17,57.51,51.89,32.05
0.02,37.78,23.02,23.95,22.75,101.76,57.51,52.01,32.05
0.03,37.71,23.02,23.95,22.75,102.57,57.51,52.01,32.05
0.04,37.71,23.02,23.91,22.75,102.17,57.36,51.89,32.05
0.05,37.71,23.02,23.95,22.75,102.17,57.51,52.14,32.05
0.06,37.71,22.98,23.91,22.75,102.17,57.36,52.01,32.05
0.07,37.78,22.98,23.95,22.75,102.17,57.36,51.89,32.05
0.08,37.71,22.98,23.95,22.71,102.17,57.51,52.01,32.05
0.09,37.71,23.02,23.91,22.75,102.17,57.51,52.01,32.05
0.10,37.71,22.98,23.95,22.75,102.17,57.51,51.89,32.05
0.11,37.71,23.02,23.95,22.75,102.17,57.51,52.01,31.99
0.12,37.78,23.02,23.91,22.75,102.17,57.36,51.89,32.05
0.13,37.71,23.02,23.91,22.75,102.17,57.51,51.89,32.05
0.14,37.78,23.02,23.91,22.75,101.76,57.51,52.01,32.05
0.15,37.71,22.98,23.95,22.75,102.17,57.36,52.01,32.05
0.16,37.78,23.02,23.95,22.75,102.17,57.51,52.01,32.05
0.17,37.71,22.98,23.95,22.75,102.17,57.51,51.89,32.05
0.18,37.71,23.02,23.95,22.75,102.17,57.51,52.01,32.05
0.19,37.71,23.02,23.95,22.75,102.17,57.36,51.89,32.05
0.20,37.71,22.98,23.95,22.75,102.17,57.51,51.89,32.05
0.21,37.71,23.02,23.91,22.75,102.17,57.51,51.89,32.05
0.22,37.71,23.02,23.95,22.75,102.17,57.51,51.89,32.05
0.23,37.64,23.02,23.91,22.75,101.76,57.51,51.89,32.05
0.24,37.71,22.98,23.91,22.75,102.17,57.51,52.01,32.05
