timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,38.91,18.64,21.6,5.53,72.85,45.77,55.54,6.91
2.0,38.99,18.64,21.6,5.53,73.08,45.77,55.67,6.92
4.0,38.99,18.64,21.66,5.55,73.08,45.77,55.54,6.93
6.0,39.07,18.69,21.66,5.55,73.08,45.87,55.81,6.92
8.0,38.99,18.66,21.63,5.55,73.08,45.87,55.67,6.91
10.0,39.07,18.66,21.63,5.55,72.85,45.77,55.67,6.92
12.0,39.07,18.69,21.66,5.55,73.08,45.87,55.67,6.92
14.0,38.99,18.64,21.6,5.54,72.63,45.87,55.67,6.91
16.0,38.91,18.64,21.6,5.55,72.85,45.67,55.54,6.91
18.0,38.99,18.64,21.57,5.55,72.85,45.67,55.54,6.91
20.0,38.99,18.61,21.6,5.54,72.85,45.67,55.54,6.91
22.0,38.99,18.61,21.57,5.54,72.85,45.77,55.54,6.92
24.0,38.99,18.59,21.57,5.55,72.63,45.67,55.54,6.93
26.0,38.99,18.64,21.6,5.54,72.85,45.67,55.4,6.91
28.0,39.07,18.69,21.63,5.55,72.85,45.77,55.67,6.92
30.0,39.15,18.72,21.66,5.55,73.08,45.77,55.67,6.92
32.0,39.22,18.72,21.69,5.56,73.08,45.87,55.81,6.92
34.0,39.3,18.72,21.73,5.57,73.3,45.97,55.81,6.93
36.0,39.3,18.74,21.73,5.56,73.3,45.87,55.81,6.92
38.0,39.38,18.74,21.76,5.56,73.3,45.87,55.81,6.92
40.0,39.38,18.72,21.79,5.56,73.3,45.87,55.95,6.93
42.0,39.46,18.77,21.79,5.56,73.3,45.87,55.95,6.93
44.0,39.46,18.74,21.82,5.56,73.3,45.87,55.81,6.92
46.0,39.54,18.74,21.79,5.57,73.3,45.77,55.95,6.92
48.0,39.46,18.74,21.79,5.55,73.52,45.87,55.95,6.92
50.0,39.38,18.69,21.73,5.55,73.3,45.67,55.81,6.92
52.0,39.3,18.66,21.73,5.56,73.08,45.77,55.81,6.91
54.0,39.22,18.69,21.69,5.55,73.08,45.77,55.54,6.91
56.0,39.38,18.72,21.76,5.56,73.3,45.77,55.54,6.91
58.0,39.54,18.72,21.82,5.55,73.52,45.77,55.67,6.91
60.0,39.22,18.61,21.57,5.49,73.08,45.57,54.59,6.83
62.0,38.53,18.43,20.88,5.26,71.12,44.5,52.26,6.55
64.0,37.86,18.32,20.3,4.89,69.46,43.75,50.68,6.19
66.0,37.56,18.27,20.04,4.5,68.26,43.2,49.64,5.79
68.0,37.27,18.2,19.86,4.12,67.67,42.84,49.18,5.4
70.0,37.06,18.17,19.72,3.8,67.1,42.66,48.74,5.07
72.0,36.92,18.14,19.64,3.55,66.72,42.48,48.41,4.78
74.0,36.71,18.07,19.55,3.35,66.53,42.3,48.19,4.52
76.0,36.64,18.07,19.5,3.19,66.15,42.22,47.97,4.3
78.0,36.71,18.07,19.47,3.07,65.97,42.04,47.97,4.12
80.0,36.64,18.07,19.5,2.98,66.15,42.22,47.86,3.96
82.0,36.78,18.12,19.5,2.91,65.97,42.22,47.97,3.85
84.0,36.71,18.09,19.47,2.85,65.97,42.13,47.86,3.73
86.0,36.64,18.07,19.44,2.81,65.97,42.13,47.86,3.65
88.0,36.71,18.09,19.47,2.78,65.78,42.04,47.76,3.56
90.0,36.71,18.07,19.47,2.77,65.97,42.13,47.86,3.51
92.0,36.71,18.09,19.44,2.75,65.97,42.13,47.76,3.46
94.0,36.64,18.12,19.44,2.73,65.97,42.22,47.86,3.42
96.0,36.71,18.14,19.47,2.73,65.97,42.13,47.97,3.38
98.0,36.64,18.09,19.47,2.73,65.97,42.13,47.86,3.36
100.0,36.57,18.12,19.44,2.72,65.97,42.13,47.86,3.34
102.0,36.57,18.07,19.41,2.72,65.97,42.04,47.76,3.31
104.0,36.64,18.07,19.41,2.72,65.97,42.13,47.86,3.31
106.0,36.71,18.09,19.44,2.73,65.97,42.13,47.86,3.29
108.0,36.64,18.09,19.44,2.73,65.97,42.04,47.97,3.28
110.0,36.71,18.09,19.44,2.74,66.15,42.13,47.97,3.29
112.0,36.71,18.07,19.44,2.75,65.97,41.95,47.97,3.28
114.0,36.64,18.04,19.44,2.75,66.15,42.04,47.97,3.28
116.0,36.64,18.09,19.44,2.76,66.15,42.04,47.97,3.28
118.0,36.64,18.04,19.44,2.77,65.97,42.04,47.97,3.28
120.0,36.64,18.04,19.44,2.77,65.97,41.95,47.86,3.28
122.0,36.64,18.02,19.44,2.79,65.97,41.95,47.97,3.28
124.0,36.64,18.02,19.44,2.79,65.97,41.87,47.76,3.29
126.0,36.71,18.04,19.47,2.8,66.15,41.95,48.08,3.3
128.0,36.64,18.04,19.44,2.81,65.97,41.87,47.97,3.29
130.0,36.57,18.02,19.44,2.81,66.15,41.78,48.08,3.31
132.0,36.64,17.99,19.44,2.81,65.97,41.95,47.97,3.31
134.0,36.64,17.99,19.41,2.82,65.97,41.78,47.97,3.32
136.0,36.64,17.97,19.41,2.82,65.97,41.69,47.97,3.31
138.0,36.64,17.99,19.47,2.83,66.34,41.87,47.97,3.31
140.0,36.64,18.02,19.47,2.83,66.15,41.87,48.08,3.32
142.0,36.57,17.99,19.41,2.83,65.97,41.69,47.86,3.32
144.0,36.57,17.99,19.44,2.83,65.97,41.78,47.97,3.31
146.0,36.64,17.99,19.44,2.83,65.97,41.87,47.97,3.31
148.0,36.64,17.99,19.41,2.83,65.97,41.95,47.97,3.31
150.0,36.64,17.97,19.44,2.81,65.97,41.69,47.97,3.31
152.0,36.64,17.99,19.44,2.81,65.97,41.78,47.97,3.29
154.0,36.64,18.02,19.44,2.8,65.97,41.78,47.97,3.29
156.0,36.57,18.02,19.41,2.79,65.97,41.87,47.86,3.28
158.0,36.57,17.99,19.44,2.78,65.97,41.78,47.97,3.26
160.0,36.71,18.07,19.58,2.79,66.34,42.13,48.62,3.27
162.0,36.92,18.14,19.81,2.83,66.91,42.48,49.3,3.31
164.0,37.2,18.27,20.07,2.91,67.67,42.84,50.1,3.38
166.0,37.49,18.32,20.27,3.01,68.26,43.29,50.68,3.45
168.0,37.64,18.35,20.45,3.12,68.66,43.66,51.28,3.56
170.0,37.71,18.35,20.54,3.25,69.06,43.84,51.64,3.68
172.0,37.86,18.4,20.69,3.39,69.46,44.03,52.01,3.8
174.0,38.01,18.43,20.81,3.53,69.87,44.22,52.38,3.93
176.0,38.16,18.45,20.91,3.67,70.08,44.5,52.76,4.06
178.0,38.3,18.51,21.0,3.82,70.49,44.69,53.14,4.2
180.0,38.38,18.48,21.06,3.95,70.49,44.69,53.4,4.34
182.0,38.46,18.53,21.15,4.08,70.7,44.79,53.53,4.47
