timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,39.07,22.43,22.22,3.3,94.97,47.1,49.64,7.26
2.0,38.99,22.46,22.22,3.3,95.32,47.21,49.75,7.27
4.0,39.07,22.5,22.25,3.29,94.97,47.31,49.87,7.27
6.0,39.07,22.5,22.25,3.3,94.97,47.31,49.87,7.27
8.0,38.99,22.46,22.22,3.31,94.97,47.31,49.75,7.27
10.0,39.07,22.46,22.22,3.3,94.97,47.21,49.75,7.26
12.0,39.07,22.46,22.22,3.3,94.97,47.31,49.75,7.26
14.0,39.07,22.46,22.19,3.29,94.97,47.1,49.64,7.25
16.0,39.07,22.43,22.19,3.29,94.97,47.31,49.64,7.26
18.0,38.99,22.43,22.15,3.3,94.97,47.31,49.64,7.26
20.0,39.07,22.43,22.19,3.29,94.97,47.21,49.75,7.25
22.0,39.07,22.46,22.19,3.3,94.61,47.31,49.64,7.25
24.0,39.15,22.46,22.22,3.3,94.97,47.21,49.75,7.25
26.0,39.07,22.46,22.22,3.3,94.97,47.31,49.75,7.25
28.0,38.99,22.46,22.19,3.3,94.61,47.31,49.75,7.25
30.0,38.91,22.46,22.15,3.3,94.61,47.21,49.64,7.25
32.0,38.91,22.46,22.15,3.3,94.61,47.21,49.64,7.25
34.0,38.91,22.46,22.12,3.3,94.61,47.21,49.64,7.25
36.0,38.91,22.46,22.15,3.3,94.61,47.21,49.64,7.24
38.0,38.91,22.46,22.12,3.29,94.61,47.21,49.64,7.24
40.0,38.99,22.43,22.15,3.29,94.61,47.21,49.64,7.23
42.0,39.07,22.46,22.19,3.29,94.61,47.21,49.64,7.24
44.0,39.15,22.46,22.22,3.29,94.97,47.21,49.75,7.24
46.0,39.15,22.46,22.22,3.29,94.97,47.31,49.75,7.24
48.0,39.15,22.46,22.29,3.29,95.32,47.21,49.64,7.23
50.0,39.46,22.46,22.46,3.29,95.68,47.21,49.64,7.23
52.0,39.78,22.5,22.59,3.29,96.4,47.31,49.75,7.23
54.0,39.54,22.3,22.32,3.27,95.68,46.89,48.62,7.08
56.0,39.07,22.03,21.66,3.19,93.91,46.07,46.81,6.78
58.0,38.61,21.9,21.22,3.1,92.2,45.57,45.89,6.47
60.0,38.3,21.83,21.03,3.03,90.88,45.37,45.29,6.17
62.0,38.08,21.77,20.91,2.95,90.23,45.27,45.1,5.9
64.0,38.01,21.73,20.78,2.88,89.58,45.08,44.81,5.66
66.0,37.86,21.7,20.69,2.82,88.95,44.98,44.61,5.46
68.0,37.78,21.73,20.63,2.79,88.64,44.98,44.42,5.28
70.0,37.64,21.73,20.57,2.75,88.64,44.88,44.42,5.13
72.0,37.64,21.73,20.6,2.72,88.64,44.98,44.33,5.0
74.0,37.56,21.7,20.54,2.69,88.32,44.88,44.33,4.88
76.0,37.56,21.73,20.57,2.67,88.32,44.98,44.33,4.79
78.0,37.56,21.7,20.51,2.66,88.01,44.88,44.14,4.7
80.0,37.42,21.7,20.45,2.64,87.7,44.88,44.14,4.63
82.0,37.42,21.7,20.45,2.63,87.7,44.79,43.95,4.56
84.0,37.42,21.67,20.42,2.62,87.4,44.79,43.95,4.5
86.0,37.35,21.64,20.42,2.61,87.4,44.69,43.86,4.45
88.0,37.35,21.64,20.39,2.6,87.4,44.79,43.86,4.41
90.0,37.42,21.64,20.42,2.6,87.4,44.79,43.86,4.36
92.0,37.42,21.67,20.42,2.58,87.4,44.79,43.86,4.33
94.0,37.49,21.67,20.45,2.59,87.7,44.88,43.86,4.3
96.0,37.42,21.64,20.45,2.58,87.4,44.79,43.86,4.27
98.0,37.49,21.64,20.48,2.58,87.4,44.79,43.86,4.23
100.0,37.49,21.64,20.48,2.58,87.7,44.88,43.86,4.21
102.0,37.49,21.67,20.51,2.57,87.7,44.88,43.86,4.19
104.0,37.56,21.7,20.51,2.56,87.4,44.69,43.86,4.17
106.0,37.49,21.67,20.48,2.56,87.7,44.88,43.86,4.16
108.0,37.42,21.67,20.48,2.56,87.7,44.69,43.77,4.13
110.0,37.42,21.64,20.45,2.56,87.4,44.69,43.67,4.1
112.0,37.42,21.64,20.42,2.55,87.4,44.69,43.77,4.08
114.0,37.42,21.64,20.45,2.55,87.09,44.79,43.67,4.07
116.0,37.42,21.67,20.42,2.54,87.09,44.79,43.67,4.06
118.0,37.35,21.64,20.42,2.54,87.09,44.69,43.58,4.04
120.0,37.35,21.64,20.42,2.54,87.09,44.79,43.58,4.02
122.0,37.42,21.67,20.45,2.53,87.09,44.79,43.58,4.01
124.0,37.42,21.67,20.45,2.53,87.4,44.88,43.67,4.0
126.0,37.49,21.67,20.45,2.53,87.09,44.79,43.67,3.98
128.0,37.35,21.64,20.39,2.52,86.79,44.79,43.49,3.97
130.0,37.35,21.64,20.36,2.52,86.79,44.79,43.49,3.95
132.0,37.27,21.61,20.36,2.52,86.79,44.69,43.49,3.95
134.0,37.35,21.61,20.39,2.52,86.79,44.6,43.49,3.94
136.0,37.35,21.61,20.42,2.51,86.79,44.69,43.3,3.92
138.0,37.42,21.61,20.42,2.51,87.09,44.69,43.58,3.92
140.0,37.42,21.64,20.39,2.51,87.09,44.6,43.58,3.91
142.0,37.35,21.61,20.36,2.51,86.79,44.69,43.49,3.9
144.0,37.35,21.61,20.36,2.51,87.09,44.69,43.49,3.89
146.0,37.27,21.57,20.36,2.51,86.79,44.6,43.4,3.89
148.0,37.35,21.57,20.36,2.51,86.79,44.5,43.49,3.88
150.0,37.27,21.61,20.36,2.5,87.09,44.6,43.49,3.88
152.0,37.35,21.61,20.36,2.5,86.79,44.6,43.58,3.88
154.0,37.42,21.67,20.48,2.52,87.09,44.79,44.05,3.9
156.0,37.49,21.77,20.63,2.54,87.7,45.08,44.52,3.95
158.0,37.64,21.9,20.84,2.58,88.64,45.27,45.1,4.03
160.0,37.78,22.0,21.03,2.62,88.95,45.67,45.69,4.12
162.0,37.86,22.03,21.15,2.66,89.9,45.77,46.09,4.21
164.0,38.08,22.09,21.28,2.71,90.23,45.97,46.5,4.34
166.0,38.16,22.09,21.44,2.77,90.88,46.07,46.81,4.46
168.0,38.3,22.13,21.5,2.82,90.88,46.07,47.12,4.58
170.0,38.38,22.2,21.6,2.86,91.54,46.27,47.44,4.72
172.0,38.53,22.2,21.69,2.91,91.87,46.48,47.65,4.86
174.0,38.61,22.26,21.79,2.95,92.2,46.48,47.97,4.98
176.0,38.61,22.3,21.86,2.98,92.54,46.69,48.19,5.11
178.0,38.76,22.26,21.89,3.02,92.88,46.48,48.41,5.24
180.0,38.76,22.26,21.92,3.05,92.88,46.58,48.41,5.35
182.0,38.84,22.23,21.92,3.07,93.22,46.58,48.52,5.46
184.0,38.84,22.3,21.99,3.09,93.57,46.69,48.62,5.58
186.0,38.84,22.26,21.99,3.11,93.57,46.58,48.74,5.67
188.0,38.76,22.23,21.99,3.13,93.57,46.58,48.74,5.78
190.0,38.76,22.26,21.99,3.14,93.57,46.58,48.85,5.87
192.0,38.61,22.23,21.95,3.16,93.57,46.58,48.74,5.95
194.0,38.68,22.26,21.95,3.17,93.57,46.69,48.85,6.04
196.0,38.68,22.23,21.95,3.18,93.57,46.58,48.85,6.09
