timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,45.17,25.62,25.58,2.79,109.04,52.74,56.8,5.71
2.0,45.17,25.62,25.58,2.79,109.04,52.87,56.8,5.71
4.0,45.17,25.66,25.58,2.79,109.04,52.87,56.8,5.71
6.0,45.27,25.62,25.58,2.79,109.04,52.87,56.95,5.72
8.0,45.17,25.62,25.58,2.79,109.04,52.87,56.8,5.71
10.0,45.27,25.62,25.62,2.8,109.04,52.87,56.8,5.72
12.0,45.37,25.66,25.62,2.79,109.04,52.87,56.95,5.72
14.0,45.27,25.66,25.66,2.79,109.04,53.0,56.95,5.73
16.0,45.37,25.66,25.66,2.79,109.5,53.0,56.95,5.74
18.0,45.27,25.66,25.66,2.79,109.5,52.87,56.95,5.73
20.0,45.37,25.66,25.62,2.79,109.04,53.12,56.95,5.74
22.0,45.37,25.66,25.66,2.79,109.5,53.0,56.95,5.75
24.0,45.37,25.66,25.66,2.79,109.5,53.12,56.95,5.75
26.0,45.37,25.66,25.66,2.8,109.5,53.12,57.09,5.75
28.0,45.37,25.71,25.66,2.79,109.5,53.0,56.95,5.75
30.0,45.27,25.62,25.62,2.79,109.04,52.87,56.8,5.75
32.0,45.37,25.66,25.62,2.79,109.5,52.87,56.95,5.75
34.0,45.37,25.66,25.66,2.79,109.5,53.0,56.95,5.75
36.0,45.37,25.71,25.66,2.8,109.5,53.0,56.95,5.76
38.0,45.37,25.71,25.66,2.79,109.5,53.0,57.09,5.76
40.0,45.37,25.66,25.66,2.79,109.5,53.12,56.95,5.76
42.0,45.37,25.71,25.66,2.8,109.96,53.12,56.95,5.76
44.0,45.27,25.66,25.62,2.8,109.5,53.0,56.95,5.77
46.0,45.17,25.66,25.62,2.8,109.04,53.0,56.8,5.77
48.0,45.56,25.66,25.78,2.79,109.5,53.0,56.52,5.78
50.0,45.56,25.66,25.62,2.77,108.59,53.0,53.02,5.6
52.0,43.37,25.66,23.29,2.5,84.15,53.0,40.05,4.07
54.0,40.26,25.71,21.22,2.0,62.93,53.0,34.6,2.55
56.0,38.01,25.66,20.07,1.58,54.86,53.0,32.35,1.8
58.0,36.71,25.71,19.41,1.31,51.52,53.12,31.18,1.45
60.0,35.74,25.71,19.0,1.16,49.41,53.12,30.38,1.26
62.0,35.21,25.66,18.68,1.05,47.97,53.0,29.81,1.16
64.0,34.82,25.62,18.42,0.99,46.91,52.87,29.36,1.09
66.0,34.44,25.62,18.26,0.95,46.18,52.87,28.96,1.05
68.0,34.18,25.62,18.11,0.92,45.58,52.74,28.72,1.02
70.0,33.99,25.58,18.01,0.9,45.09,52.87,28.43,1.0
72.0,33.81,25.62,17.93,0.88,44.7,52.74,28.24,0.98
74.0,33.75,25.62,17.86,0.87,44.41,52.62,28.1,0.96
76.0,33.69,25.58,17.81,0.85,44.13,52.74,27.96,0.95
