timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,42.2,24.86,23.95,2.83,101.76,51.26,53.02,6.05
2.0,42.2,24.86,23.95,2.83,101.76,51.02,53.14,6.06
4.0,42.29,24.86,23.95,2.83,101.76,51.26,53.14,6.06
6.0,42.38,24.83,23.98,2.84,101.76,51.14,53.14,6.05
8.0,42.38,24.83,24.02,2.83,101.76,51.14,53.27,6.05
10.0,42.47,24.86,24.02,2.84,102.17,51.26,53.27,6.06
12.0,42.38,24.86,24.02,2.84,102.17,51.14,53.4,6.06
14.0,42.38,24.91,24.02,2.84,102.17,51.26,53.4,6.07
16.0,42.38,24.91,24.02,2.83,102.17,51.26,53.27,6.07
18.0,42.2,24.86,23.98,2.83,102.17,51.26,53.27,6.06
20.0,42.11,24.83,23.95,2.83,101.76,51.14,53.14,6.06
22.0,42.11,24.83,23.91,2.83,101.36,51.14,53.14,6.06
24.0,42.11,24.91,23.95,2.83,101.76,51.14,53.27,6.07
26.0,42.11,24.86,23.91,2.83,101.76,51.26,53.27,6.07
28.0,42.11,24.86,23.91,2.83,101.76,51.26,53.14,6.06
30.0,42.11,24.86,23.91,2.83,101.76,51.26,53.14,6.06
32.0,42.11,24.86,23.91,2.83,101.36,51.14,53.14,6.06
34.0,42.03,24.86,23.91,2.83,101.36,51.26,53.14,6.07
36.0,42.11,24.91,23.91,2.83,101.76,51.26,53.14,6.07
38.0,42.2,24.91,23.95,2.84,101.76,51.14,53.27,6.07
40.0,42.2,24.86,23.98,2.84,101.76,51.26,53.27,6.07
42.0,42.2,24.86,23.98,2.83,101.76,51.14,53.14,6.06
44.0,42.2,24.86,23.98,2.83,102.17,51.14,53.14,6.07
46.0,42.2,24.86,24.02,2.83,102.17,51.26,53.27,6.07
48.0,42.2,24.91,24.02,2.84,102.17,51.38,53.27,6.08
50.0,42.29,24.94,24.06,2.84,102.17,51.26,53.27,6.08
52.0,42.2,24.98,24.02,2.84,102.17,51.38,53.27,6.09
54.0,42.2,24.98,24.06,2.83,102.17,51.38,53.14,6.09
56.0,42.64,24.94,24.25,2.84,102.57,51.38,53.02,6.09
58.0,41.85,24.71,23.36,2.82,99.79,50.78,46.5,6.01
60.0,37.2,23.66,19.72,2.71,80.85,47.21,34.41,5.69
62.0,34.31,22.74,18.03,2.53,65.23,44.12,31.18,5.22
64.0,32.84,22.2,17.29,2.35,59.98,42.39,30.12,4.76
66.0,32.03,21.8,16.89,2.19,57.69,41.27,29.5,4.36
68.0,31.52,21.51,16.61,2.07,56.39,40.52,29.01,4.03
70.0,31.14,21.32,16.41,1.97,55.41,40.03,28.62,3.76
72.0,30.92,21.23,16.28,1.91,54.73,39.79,28.34,3.55
74.0,30.76,21.16,16.17,1.85,54.33,39.48,28.1,3.38
76.0,30.6,21.07,16.08,1.81,53.8,39.32,27.92,3.24
78.0,30.44,21.01,16.01,1.78,53.67,39.16,27.78,3.14
80.0,30.39,20.98,15.97,1.75,53.28,39.01,27.6,3.05
82.0,30.34,20.95,15.93,1.73,53.15,38.93,27.51,2.98
84.0,30.39,20.95,15.93,1.72,53.15,38.93,27.46,2.92
86.0,30.34,20.91,15.9,1.71,53.02,38.85,27.42,2.88
88.0,30.29,20.88,15.88,1.7,53.02,38.78,27.37,2.84
90.0,30.39,20.88,15.88,1.69,53.02,38.7,27.33,2.81
92.0,30.34,20.88,15.88,1.69,52.9,38.7,27.28,2.79
94.0,30.34,20.85,15.88,1.68,52.9,38.7,27.28,2.76
96.0,30.39,20.82,15.9,1.67,52.9,38.62,27.24,2.75
98.0,30.39,20.85,15.9,1.67,52.9,38.62,27.24,2.73
100.0,30.44,20.85,15.9,1.67,52.9,38.62,27.24,2.71
102.0,30.39,20.82,15.93,1.67,52.9,38.55,27.24,2.7
104.0,30.39,20.82,15.9,1.67,52.9,38.55,27.19,2.7
106.0,30.39,20.82,15.88,1.67,52.9,38.55,27.19,2.69
108.0,30.39,20.85,15.9,1.67,52.77,38.62,27.19,2.68
110.0,30.39,20.85,15.88,1.67,52.77,38.62,27.15,2.68
112.0,30.34,20.82,15.88,1.67,52.77,38.55,27.15,2.67
114.0,30.39,20.82,15.86,1.66,52.77,38.47,27.15,2.67
116.0,30.39,20.82,15.86,1.66,52.52,38.47,27.1,2.66
118.0,30.39,20.79,15.86,1.66,52.64,38.55,27.15,2.66
120.0,30.34,20.79,15.86,1.66,52.64,38.4,27.1,2.66
122.0,30.34,20.79,15.84,1.66,52.64,38.4,27.1,2.66
124.0,30.34,20.76,15.82,1.66,52.52,38.4,27.1,2.66
126.0,30.29,20.79,15.82,1.66,52.52,38.47,27.1,2.65
128.0,30.29,20.76,15.82,1.66,52.52,38.4,27.06,2.65
130.0,30.23,20.76,15.8,1.66,52.39,38.4,27.06,2.65
132.0,30.23,20.76,15.8,1.66,52.52,38.4,27.06,2.65
134.0,30.29,20.79,15.82,1.66,52.52,38.4,27.06,2.65
136.0,30.29,20.79,15.82,1.66,52.52,38.32,27.06,2.65
138.0,30.29,20.76,15.82,1.67,52.52,38.32,27.02,2.66
140.0,30.29,20.76,15.82,1.66,52.52,38.4,27.02,2.66
142.0,30.29,20.76,15.82,1.66,52.52,38.32,27.06,2.66
144.0,30.29,20.76,15.82,1.66,52.52,38.32,27.06,2.66
146.0,30.29,20.76,15.82,1.67,52.52,38.25,27.06,2.66
148.0,30.34,20.76,15.86,1.67,52.64,38.32,27.06,2.67
150.0,30.39,20.76,15.84,1.67,52.64,38.32,27.1,2.67
152.0,30.39,20.73,15.86,1.67,52.64,38.25,27.06,2.67
154.0,30.34,20.76,15.84,1.67,52.77,38.25,27.1,2.67
156.0,30.44,20.76,15.9,1.67,52.77,38.25,27.28,2.68
158.0,30.92,20.88,16.25,1.67,54.33,38.62,28.62,2.69
160.0,31.75,21.13,16.84,1.7,57.11,39.24,30.48,2.73
162.0,32.78,21.45,17.54,1.74,60.61,40.03,32.3,2.79
164.0,33.81,21.77,18.24,1.78,64.15,41.02,34.16,2.86
166.0,34.82,22.13,18.89,1.83,67.29,42.13,35.85,2.95
168.0,35.81,22.46,19.52,1.89,70.49,43.02,37.53,3.04
170.0,36.71,22.84,20.07,1.95,73.52,44.03,39.02,3.14
172.0,37.42,23.09,20.54,2.01,76.31,44.88,40.45,3.24
174.0,38.01,23.3,20.97,2.07,78.77,45.57,41.62,3.36
176.0,38.53,23.55,21.34,2.13,80.85,46.27,42.76,3.47
178.0,38.91,23.73,21.63,2.19,82.75,46.79,43.77,3.58
180.0,39.38,23.88,21.92,2.25,84.44,47.42,44.71,3.68
182.0,39.86,24.03,22.22,2.3,86.19,47.95,45.59,3.8
184.0,40.18,24.18,22.49,2.35,88.01,48.39,46.29,3.91
186.0,40.42,24.25,22.63,2.4,89.27,48.72,47.02,4.0
188.0,40.59,24.33,22.8,2.44,89.9,48.94,47.65,4.11
190.0,40.75,24.4,22.9,2.47,91.54,49.16,48.08,4.21
192.0,41.0,24.44,23.01,2.5,92.2,49.39,48.52,4.3
194.0,41.09,24.44,23.11,2.53,92.88,49.5,48.85,4.38
196.0,41.17,24.52,23.18,2.56,93.57,49.62,49.07,4.47
198.0,41.25,24.52,23.22,2.59,93.91,49.85,49.41,4.55
200.0,41.34,24.52,23.29,2.6,94.61,49.85,49.64,4.62
202.0,41.42,24.56,23.36,2.63,94.97,49.96,49.87,4.69
204.0,41.51,24.59,23.4,2.65,95.32,49.96,50.1,4.77
206.0,41.51,24.59,23.43,2.66,95.68,50.08,50.21,4.83
208.0,41.51,24.59,23.43,2.67,96.04,50.08,50.33,4.9
210.0,41.51,24.59,23.43,2.68,96.04,50.19,50.45,4.96
212.0,41.51,24.67,23.47,2.69,96.4,50.19,50.68,5.02
214.0,41.59,24.67,23.51,2.7,96.77,50.31,50.68,5.06
216.0,41.59,24.67,23.51,2.72,97.14,50.43,50.92,5.11
218.0,41.59,24.63,23.51,2.72,97.14,50.31,50.92,5.15
220.0,41.59,24.63,23.54,2.73,97.14,50.31,50.92,5.2
222.0,41.68,24.67,23.58,2.73,97.51,50.43,51.04,5.24
224.0,41.77,24.71,23.61,2.74,97.88,50.55,51.16,5.28
226.0,41.77,24.67,23.61,2.74,97.51,50.43,51.16,5.31
228.0,41.77,24.67,23.58,2.75,97.88,50.43,51.16,5.34
230.0,41.68,24.63,23.58,2.75,97.88,50.43,51.28,5.38
232.0,41.68,24.67,23.61,2.75,98.26,50.43,51.28,5.41
234.0,41.77,24.71,23.65,2.77,98.26,50.55,51.4,5.44
236.0,41.77,24.67,23.65,2.77,98.26,50.43,51.4,5.46
238.0,41.77,24.71,23.65,2.77,98.26,50.55,51.4,5.5
240.0,41.77,24.67,23.65,2.77,98.26,50.55,51.52,5.52
242.0,41.77,24.71,23.69,2.78,98.64,50.55,51.64,5.55
244.0,41.85,24.71,23.69,2.78,98.64,50.55,51.64,5.57
246.0,41.85,24.75,23.72,2.77,99.02,50.66,51.77,5.59
248.0,41.85,24.71,23.69,2.78,99.02,50.55,51.64,5.6
250.0,41.77,24.71,23.65,2.78,99.02,50.55,51.64,5.62
252.0,41.77,24.71,23.65,2.78,98.64,50.43,51.64,5.65
254.0,41.68,24.67,23.61,2.78,98.64,50.55,51.64,5.66
256.0,41.68,24.71,23.61,2.78,98.64,50.43,51.64,5.67
258.0,41.68,24.71,23.61,2.78,98.64,50.55,51.64,5.68
260.0,41.77,24.67,23.61,2.79,98.64,50.55,51.64,5.7
262.0,41.77,24.71,23.65,2.79,98.64,50.55,51.64,5.72
264.0,41.77,24.71,23.65,2.79,98.64,50.66,51.77,5.73
266.0,41.77,24.71,23.69,2.79,98.64,50.66,51.77,5.74
268.0,41.85,24.67,23.69,2.79,99.02,50.55,51.77,5.75
270.0,41.85,24.71,23.72,2.79,99.02,50.55,51.89,5.77
272.0,41.85,24.67,23.72,2.79,99.4,50.55,51.89,5.78
274.0,41.94,24.67,23.76,2.79,99.4,50.55,51.89,5.79
276.0,41.94,24.71,23.8,2.8,99.4,50.55,51.89,5.79
278.0,42.03,24.71,23.83,2.8,99.79,50.66,52.01,5.81
280.0,41.94,24.71,23.83,2.8,99.79,50.66,52.14,5.82
282.0,42.11,24.75,23.87,2.8,99.79,50.78,52.14,5.83
284.0,42.11,24.71,23.87,2.8,99.79,50.66,52.14,5.83
286.0,42.03,24.67,23.8,2.8,99.79,50.66,52.14,5.84
288.0,41.94,24.67,23.8,2.8,99.79,50.66,52.14,5.85
290.0,41.85,24.67,23.72,2.8,99.4,50.66,52.01,5.85
292.0,41.85,24.71,23.72,2.8,99.79,50.66,52.14,5.86
294.0,41.85,24.71,23.76,2.8,99.4,50.66,52.01,5.87
296.0,41.85,24.67,23.69,2.8,99.4,50.55,52.01,5.87
