timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,40.5,23.99,23.08,2.88,97.14,49.39,51.16,6.31
2.0,40.42,23.99,23.08,2.88,97.14,49.5,51.16,6.32
4.0,40.42,24.03,23.04,2.88,97.51,49.5,51.16,6.31
6.0,40.34,24.03,23.01,2.88,97.14,49.39,51.16,6.32
8.0,40.34,23.99,22.97,2.88,96.77,49.5,51.04,6.31
10.0,40.34,23.99,22.97,2.89,97.14,49.39,50.92,6.31
12.0,40.34,23.99,23.01,2.88,97.14,49.39,51.04,6.32
14.0,40.34,23.99,22.97,2.88,96.77,49.5,50.92,6.31
16.0,40.34,23.99,22.97,2.88,96.77,49.5,51.04,6.31
18.0,40.34,23.95,23.01,2.88,96.77,49.39,50.92,6.32
20.0,40.42,23.95,23.01,2.88,96.77,49.39,50.8,6.31
22.0,40.42,23.99,23.01,2.88,97.14,49.39,50.92,6.32
24.0,40.34,23.95,22.97,2.88,96.77,49.39,50.92,6.31
26.0,40.34,23.95,22.97,2.88,96.77,49.39,50.92,6.31
28.0,40.42,23.95,22.97,2.88,96.77,49.39,50.92,6.31
30.0,40.5,23.99,22.97,2.88,96.77,49.5,50.92,6.32
32.0,40.42,23.99,23.01,2.88,97.14,49.5,51.04,6.32
34.0,40.5,24.03,23.04,2.88,97.14,49.5,51.04,6.32
36.0,40.5,24.03,23.04,2.88,97.14,49.5,51.16,6.32
38.0,40.42,24.03,23.01,2.88,97.14,49.5,51.16,6.32
40.0,40.42,24.06,23.01,2.88,97.14,49.62,51.16,6.34
42.0,40.42,24.06,22.97,2.88,97.14,49.62,51.16,6.33
44.0,40.34,24.06,22.97,2.88,97.14,49.62,51.16,6.33
46.0,40.34,24.06,23.01,2.88,97.14,49.5,51.16,6.33
48.0,40.42,24.03,23.01,2.88,97.14,49.62,51.16,6.33
50.0,40.34,24.06,22.97,2.88,97.14,49.5,51.04,6.33
52.0,40.34,24.03,22.97,2.89,97.14,49.5,50.92,6.33
54.0,40.42,23.99,23.08,2.88,97.14,49.39,50.68,6.33
56.0,40.26,23.84,22.9,2.88,96.77,49.28,49.3,6.32
58.0,34.63,21.61,19.14,2.88,77.77,43.47,34.47,6.3
60.0,27.15,18.17,14.67,2.86,49.87,33.04,23.36,6.25
62.0,22.8,15.89,12.54,2.84,36.93,26.61,19.34,6.15
64.0,20.36,14.49,11.41,2.82,31.59,23.14,17.43,6.04
66.0,18.95,13.58,10.73,2.79,29.08,21.09,16.31,5.94
68.0,18.06,12.95,10.29,2.77,27.57,19.84,15.58,5.83
70.0,17.46,12.5,9.97,2.75,26.55,18.92,15.11,5.72
72.0,17.03,12.18,9.75,2.72,25.88,18.27,14.71,5.63
74.0,16.73,11.95,9.57,2.69,25.39,17.81,14.44,5.53
76.0,16.52,11.78,9.44,2.68,24.99,17.42,14.23,5.43
78.0,16.34,11.64,9.35,2.66,24.71,17.16,14.06,5.36
80.0,16.23,11.54,9.29,2.65,24.52,16.97,13.95,5.29
82.0,16.14,11.46,9.23,2.64,24.33,16.83,13.85,5.24
