timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,46.78,27.43,26.54,2.83,113.29,57.07,58.72,6.33
2.0,46.78,27.47,26.58,2.83,113.29,57.07,58.87,6.33
4.0,46.78,27.47,26.54,2.83,113.29,57.07,58.87,6.34
6.0,46.78,27.47,26.58,2.83,113.29,57.21,58.87,6.34
8.0,46.78,27.43,26.58,2.83,113.29,57.21,58.72,6.33
10.0,46.78,27.43,26.54,2.83,113.29,57.07,58.87,6.33
12.0,46.68,27.43,26.5,2.83,113.29,56.92,58.57,6.33
14.0,46.68,27.43,26.5,2.83,113.29,57.07,58.57,6.33
16.0,46.58,27.43,26.45,2.83,113.29,57.07,58.57,6.32
18.0,46.68,27.43,26.5,2.83,113.29,57.07,58.72,6.32
20.0,46.58,27.43,26.5,2.83,112.81,57.07,58.57,6.32
22.0,46.78,27.47,26.5,2.82,113.29,57.21,58.72,6.32
24.0,46.68,27.43,26.5,2.83,112.81,57.07,58.57,6.31
26.0,46.68,27.43,26.45,2.82,112.81,56.92,58.57,6.31
28.0,46.68,27.38,26.45,2.83,112.81,56.92,58.57,6.31
30.0,46.68,27.38,26.45,2.83,112.81,57.07,58.57,6.31
32.0,46.68,27.43,26.45,2.83,112.81,57.21,58.57,6.31
34.0,46.58,27.43,26.41,2.83,112.81,56.92,58.57,6.31
36.0,46.58,27.43,26.37,2.83,112.32,56.92,58.42,6.31
38.0,46.37,27.43,26.37,2.82,112.81,57.07,58.42,6.3
40.0,46.47,27.38,26.37,2.83,112.81,57.07,58.42,6.3
42.0,46.47,27.43,26.41,2.83,112.81,57.07,58.57,6.3
44.0,46.58,27.43,26.5,2.83,112.81,56.92,58.57,6.31
46.0,46.68,27.43,26.45,2.83,113.29,57.07,58.57,6.3
48.0,46.68,27.47,26.45,2.83,112.81,57.07,58.57,6.3
50.0,46.47,27.47,26.37,2.83,112.81,57.07,58.42,6.3
52.0,46.47,27.47,26.41,2.83,112.32,57.07,58.27,6.3
54.0,46.89,27.47,26.67,2.83,113.29,57.21,58.12,6.3
56.0,46.99,27.16,26.45,2.8,113.29,56.5,56.8,6.24
58.0,46.37,26.63,25.62,2.72,110.89,54.97,54.32,5.99
60.0,45.76,26.33,25.06,2.61,108.14,54.03,52.76,5.67
62.0,45.27,26.08,24.7,2.5,105.93,53.38,52.14,5.36
64.0,44.88,26.0,24.47,2.42,104.65,53.12,51.89,5.08
66.0,44.78,25.95,24.4,2.35,103.81,53.12,51.64,4.85
68.0,44.59,25.95,24.28,2.3,102.98,52.87,51.52,4.65
70.0,44.4,25.91,24.21,2.26,102.57,52.87,51.28,4.48
72.0,44.3,25.87,24.17,2.23,102.57,52.87,51.28,4.34
74.0,44.3,25.91,24.09,2.21,102.17,52.74,51.16,4.21
76.0,44.3,25.87,24.06,2.19,101.76,52.74,51.04,4.12
78.0,44.21,25.87,24.02,2.18,101.76,52.74,50.92,4.03
80.0,44.21,25.83,23.98,2.17,101.36,52.74,50.92,3.96
82.0,44.11,25.87,23.95,2.16,101.36,52.74,50.92,3.89
84.0,44.02,25.87,23.91,2.15,100.96,52.74,50.8,3.83
86.0,44.02,25.87,23.91,2.14,100.96,52.74,50.8,3.8
88.0,44.02,25.87,23.95,2.14,101.36,52.74,50.8,3.76
90.0,44.11,25.91,23.95,2.13,100.96,52.87,50.8,3.72
92.0,44.02,25.91,23.95,2.13,101.36,52.87,50.68,3.69
94.0,44.02,25.87,23.91,2.13,100.96,52.74,50.68,3.66
96.0,44.11,25.87,23.91,2.12,100.96,52.74,50.68,3.64
98.0,44.02,25.87,23.91,2.12,100.96,52.74,50.68,3.61
100.0,44.02,25.87,23.87,2.12,100.57,52.74,50.68,3.59
102.0,43.92,25.83,23.83,2.11,100.96,52.62,50.56,3.58
104.0,43.83,25.83,23.83,2.12,100.57,52.74,50.56,3.56
106.0,43.83,25.79,23.87,2.12,100.57,52.62,50.56,3.55
108.0,43.92,25.79,23.83,2.11,100.96,52.49,50.56,3.54
110.0,43.92,25.83,23.83,2.11,100.57,52.49,50.45,3.53
112.0,43.83,25.75,23.8,2.11,100.57,52.49,50.45,3.52
114.0,43.92,25.79,23.8,2.11,100.57,52.74,50.56,3.52
116.0,43.83,25.83,23.8,2.12,100.57,52.62,50.56,3.52
118.0,43.83,25.83,23.8,2.11,100.57,52.62,50.56,3.51
120.0,43.83,25.79,23.8,2.11,100.96,52.49,50.56,3.51
122.0,43.83,25.79,23.83,2.12,100.96,52.37,50.56,3.5
124.0,43.92,25.83,23.87,2.11,100.96,52.37,50.8,3.5
126.0,44.02,25.79,23.91,2.11,101.36,52.49,50.68,3.51
128.0,44.02,25.83,23.95,2.12,101.36,52.49,50.68,3.5
130.0,44.02,25.79,23.91,2.12,101.36,52.62,50.68,3.51
132.0,44.02,25.83,23.91,2.12,101.36,52.49,50.68,3.51
134.0,43.92,25.79,23.87,2.12,100.96,52.49,50.8,3.51
136.0,43.92,25.83,23.87,2.12,101.36,52.62,50.68,3.51
138.0,43.83,25.83,23.87,2.12,100.96,52.62,50.68,3.52
140.0,43.92,25.87,23.91,2.12,100.96,52.62,50.8,3.52
142.0,43.92,25.87,23.91,2.12,100.96,52.62,50.8,3.52
144.0,43.83,25.87,23.87,2.13,100.96,52.62,50.8,3.52
146.0,43.83,25.83,23.83,2.13,100.96,52.49,50.68,3.52
148.0,43.74,25.79,23.8,2.13,100.96,52.37,50.68,3.54
150.0,43.74,25.79,23.8,2.13,100.96,52.49,50.68,3.54
152.0,43.74,25.79,23.8,2.14,100.96,52.62,50.68,3.54
154.0,43.83,25.83,23.83,2.13,100.96,52.49,50.68,3.55
156.0,44.02,25.95,23.98,2.14,101.36,52.87,51.28,3.56
158.0,44.21,26.08,24.25,2.16,102.17,53.12,51.89,3.6
160.0,44.4,26.2,24.47,2.19,102.98,53.64,52.51,3.66
162.0,44.68,26.42,24.7,2.24,103.81,54.03,53.14,3.73
164.0,44.88,26.59,24.94,2.29,104.65,54.3,53.66,3.82
166.0,45.17,26.68,25.14,2.34,105.5,54.83,54.19,3.91
168.0,45.37,26.76,25.3,2.39,106.37,55.1,54.59,4.01
170.0,45.46,26.8,25.46,2.44,106.81,55.24,54.99,4.12
172.0,45.56,26.89,25.54,2.48,107.25,55.38,55.4,4.23
174.0,45.66,26.89,25.66,2.52,108.14,55.52,55.67,4.34
176.0,45.86,26.98,25.74,2.57,108.14,55.65,55.95,4.46
178.0,45.86,27.02,25.82,2.6,109.04,55.79,56.38,4.56
180.0,45.96,27.07,25.91,2.64,109.5,56.07,56.52,4.67
182.0,45.96,27.11,25.95,2.66,109.5,56.07,56.66,4.78
184.0,46.17,27.11,25.99,2.68,109.96,56.07,56.95,4.88
186.0,46.17,27.16,26.07,2.7,110.43,56.07,57.09,4.98
188.0,46.27,27.2,26.12,2.72,110.89,56.21,57.23,5.08
190.0,46.37,27.2,26.16,2.73,110.89,56.21,57.38,5.17
