timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,42.29,25.02,24.02,2.86,102.17,51.5,53.27,6.09
2.0,42.2,24.98,23.98,2.86,102.17,51.5,53.27,6.09
4.0,42.2,24.98,23.98,2.86,101.76,51.5,53.27,6.09
6.0,42.2,24.94,23.98,2.86,101.76,51.5,53.14,6.09
8.0,42.11,24.94,23.95,2.86,101.76,51.5,53.14,6.09
10.0,42.11,24.98,23.91,2.86,101.36,51.5,53.14,6.09
12.0,42.03,24.91,23.87,2.86,101.36,51.26,53.02,6.09
14.0,42.03,24.94,23.87,2.86,101.36,51.26,52.89,6.08
16.0,42.03,24.94,23.83,2.86,101.36,51.26,52.89,6.09
18.0,41.94,24.94,23.83,2.86,101.36,51.26,53.02,6.09
20.0,41.94,24.94,23.83,2.86,101.36,51.38,53.02,6.09
22.0,42.03,24.98,23.83,2.85,101.36,51.38,53.02,6.09
24.0,42.03,24.98,23.87,2.86,101.36,51.38,53.14,6.09
26.0,42.03,24.98,23.87,2.86,101.36,51.38,53.02,6.09
28.0,42.03,24.94,23.87,2.86,101.36,51.38,52.89,6.09
30.0,42.11,24.94,23.87,2.87,101.36,51.38,53.02,6.09
32.0,42.2,24.98,23.91,2.85,101.76,51.38,53.14,6.09
34.0,42.11,25.02,23.95,2.86,101.76,51.5,53.14,6.09
36.0,42.2,24.98,23.95,2.87,101.76,51.38,53.14,6.09
38.0,42.2,25.02,24.02,2.87,101.76,51.62,53.27,6.09
40.0,42.29,25.02,24.02,2.87,102.17,51.62,53.27,6.09
42.0,42.29,25.06,23.98,2.87,102.17,51.5,53.27,6.1
44.0,42.2,25.06,24.02,2.86,102.17,51.62,53.27,6.09
46.0,42.2,25.06,23.98,2.87,102.17,51.62,53.27,6.11
48.0,42.11,25.02,23.95,2.87,102.17,51.5,53.27,6.09
50.0,42.11,25.02,23.95,2.86,101.76,51.62,53.14,6.1
52.0,41.94,24.98,23.87,2.87,101.76,51.5,53.14,6.1
54.0,42.03,24.98,23.95,2.86,101.76,51.38,52.89,6.1
56.0,42.47,24.94,24.17,2.86,102.57,51.5,52.89,6.09
58.0,41.85,24.83,23.47,2.85,100.18,51.14,47.65,6.04
60.0,37.71,23.91,20.07,2.75,83.3,47.95,35.78,5.76
62.0,35.01,23.09,18.52,2.6,68.46,45.08,33.0,5.37
64.0,33.87,22.63,17.96,2.45,63.98,43.47,32.35,5.0
66.0,33.32,22.33,17.71,2.32,62.26,42.66,32.01,4.68
68.0,33.02,22.13,17.58,2.22,61.59,42.22,31.73,4.4
70.0,32.84,22.06,17.51,2.15,61.1,41.95,31.56,4.18
72.0,32.78,22.0,17.46,2.09,60.77,41.69,31.45,4.0
74.0,32.72,21.93,17.37,2.04,60.61,41.61,31.34,3.85
76.0,32.55,21.93,17.34,2.01,60.29,41.61,31.23,3.73
78.0,32.55,21.86,17.29,1.98,60.13,41.44,31.07,3.63
80.0,32.55,21.86,17.27,1.96,59.98,41.35,31.01,3.55
82.0,32.49,21.86,17.27,1.94,59.82,41.44,31.01,3.48
84.0,32.55,21.86,17.29,1.93,59.98,41.44,30.96,3.42
86.0,32.55,21.86,17.29,1.92,59.82,41.35,30.96,3.38
88.0,32.55,21.86,17.29,1.92,59.82,41.44,30.91,3.34
90.0,32.55,21.83,17.27,1.91,59.98,41.35,30.85,3.31
92.0,32.55,21.86,17.27,1.9,59.82,41.35,30.85,3.28
94.0,32.49,21.86,17.27,1.9,59.66,41.27,30.8,3.25
96.0,32.49,21.83,17.25,1.9,59.66,41.18,30.75,3.23
98.0,32.49,21.8,17.22,1.89,59.66,41.27,30.75,3.21
100.0,32.49,21.83,17.25,1.9,59.66,41.18,30.8,3.2
102.0,32.49,21.83,17.25,1.89,59.66,41.18,30.75,3.19
104.0,32.49,21.86,17.25,1.89,59.66,41.27,30.69,3.18
106.0,32.49,21.86,17.22,1.89,59.51,41.27,30.69,3.17
108.0,32.49,21.83,17.22,1.88,59.51,41.18,30.69,3.17
110.0,32.49,21.8,17.2,1.88,59.51,41.18,30.64,3.15
112.0,32.43,21.8,17.22,1.89,59.51,41.18,30.64,3.14
114.0,32.43,21.77,17.2,1.88,59.35,41.1,30.59,3.13
116.0,32.43,21.77,17.2,1.88,59.35,41.02,30.59,3.13
118.0,32.43,21.73,17.17,1.87,59.35,41.02,30.48,3.12
120.0,32.37,21.7,17.17,1.87,59.2,40.93,30.48,3.11
122.0,32.43,21.73,17.17,1.87,59.2,40.93,30.53,3.1
124.0,32.43,21.7,17.17,1.87,59.2,40.93,30.48,3.09
126.0,32.43,21.7,17.17,1.87,59.2,40.93,30.48,3.09
128.0,32.43,21.67,17.15,1.86,59.2,40.93,30.48,3.08
130.0,32.43,21.67,17.15,1.86,59.2,40.85,30.48,3.07
132.0,32.43,21.73,17.15,1.86,59.04,40.93,30.48,3.07
134.0,32.43,21.73,17.15,1.86,59.04,40.85,30.53,3.06
136.0,32.37,21.67,17.15,1.86,59.04,40.77,30.48,3.05
138.0,32.32,21.7,17.15,1.86,59.2,40.93,30.48,3.04
140.0,32.43,21.77,17.17,1.86,59.2,40.93,30.48,3.04
142.0,32.37,21.73,17.15,1.86,59.04,40.85,30.43,3.03
144.0,32.37,21.73,17.15,1.86,59.04,40.93,30.43,3.03
146.0,32.37,21.77,17.17,1.86,59.04,40.93,30.43,3.03
148.0,32.37,21.77,17.15,1.86,59.04,40.93,30.48,3.02
150.0,32.49,21.77,17.2,1.86,59.04,41.02,30.43,3.02
152.0,32.61,21.77,17.22,1.86,59.2,41.02,30.48,3.02
154.0,32.49,21.77,17.2,1.86,59.2,40.93,30.48,3.02
156.0,32.55,21.77,17.22,1.85,59.2,40.93,30.59,3.01
158.0,32.9,21.83,17.51,1.86,60.45,41.18,31.79,3.02
160.0,33.56,22.03,18.01,1.88,62.93,41.78,33.48,3.06
162.0,34.44,22.3,18.6,1.91,65.97,42.48,35.25,3.1
164.0,35.28,22.53,19.22,1.95,69.06,43.29,36.88,3.17
166.0,36.15,22.81,19.75,2.0,71.98,44.03,38.34,3.24
168.0,36.92,23.09,20.24,2.04,74.66,44.88,39.81,3.33
170.0,37.56,23.33,20.72,2.1,77.52,45.57,41.2,3.42
172.0,38.3,23.59,21.15,2.16,80.06,46.48,42.5,3.52
174.0,38.76,23.8,21.5,2.21,81.92,47.0,43.4,3.62
176.0,39.15,23.91,21.79,2.26,83.87,47.52,44.33,3.73
178.0,39.54,24.06,22.05,2.32,85.6,47.95,45.2,3.83
180.0,39.86,24.18,22.29,2.37,87.09,48.28,45.99,3.93
182.0,40.18,24.29,22.49,2.41,88.64,48.83,46.7,4.03
184.0,40.42,24.4,22.66,2.45,89.9,49.16,47.33,4.13
186.0,40.67,24.48,22.8,2.49,90.55,49.39,47.86,4.23
188.0,40.84,24.52,22.94,2.52,91.87,49.73,48.41,4.32
190.0,41.0,24.59,23.08,2.55,92.88,49.85,48.85,4.41
192.0,41.17,24.67,23.22,2.59,93.57,50.08,49.18,4.5
194.0,41.25,24.67,23.29,2.6,94.26,50.19,49.52,4.57
196.0,41.42,24.71,23.36,2.64,94.97,50.19,49.75,4.65
198.0,41.51,24.75,23.43,2.65,95.68,50.31,50.1,4.72
200.0,41.59,24.75,23.51,2.67,96.04,50.43,50.21,4.8
202.0,41.68,24.75,23.54,2.69,96.4,50.43,50.45,4.86
204.0,41.77,24.79,23.61,2.71,96.77,50.66,50.68,4.92
206.0,41.85,24.79,23.65,2.71,97.14,50.66,50.92,4.98
208.0,41.85,24.83,23.65,2.72,97.51,50.66,50.92,5.03
210.0,41.77,24.79,23.61,2.73,97.51,50.66,50.92,5.08
212.0,41.68,24.75,23.61,2.74,97.51,50.66,50.92,5.13
214.0,41.68,24.75,23.58,2.75,97.51,50.55,50.92,5.17
216.0,41.68,24.79,23.58,2.75,97.51,50.66,51.04,5.21
218.0,41.68,24.75,23.61,2.77,97.88,50.66,51.16,5.26
220.0,41.68,24.75,23.61,2.77,97.88,50.66,51.16,5.28
222.0,41.68,24.71,23.61,2.77,97.88,50.55,51.16,5.32
