timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,40.75,23.95,23.18,2.84,97.88,49.39,51.64,6.3
2.0,40.75,23.95,23.22,2.84,97.88,49.39,51.52,6.3
4.0,40.84,23.95,23.22,2.84,98.26,49.39,51.52,6.3
6.0,40.84,23.99,23.22,2.84,98.26,49.39,51.64,6.3
8.0,40.92,23.99,23.25,2.84,98.26,49.5,51.64,6.3
10.0,40.92,24.03,23.25,2.84,98.26,49.5,51.77,6.31
12.0,40.84,24.06,23.25,2.85,98.64,49.62,51.89,6.31
14.0,40.75,24.03,23.22,2.84,98.26,49.62,51.77,6.31
16.0,40.84,23.99,23.22,2.85,98.26,49.5,51.64,6.31
18.0,40.84,23.99,23.22,2.84,98.26,49.62,51.77,6.3
20.0,40.84,23.99,23.22,2.84,98.26,49.5,51.64,6.3
22.0,40.84,24.03,23.22,2.85,98.26,49.5,51.77,6.3
24.0,40.84,23.99,23.22,2.85,98.26,49.5,51.64,6.3
26.0,40.84,24.03,23.25,2.85,98.26,49.5,51.77,6.3
28.0,40.92,23.99,23.25,2.85,98.26,49.62,51.77,6.31
30.0,40.84,23.95,23.22,2.84,98.26,49.39,51.64,6.31
32.0,40.84,23.99,23.22,2.84,98.26,49.5,51.64,6.3
34.0,40.84,23.99,23.22,2.85,98.64,49.5,51.64,6.31
36.0,40.84,23.99,23.25,2.85,98.26,49.5,51.77,6.31
38.0,40.84,23.99,23.22,2.85,98.26,49.5,51.77,6.31
40.0,40.84,24.03,23.25,2.84,98.26,49.62,51.64,6.3
42.0,40.75,24.03,23.22,2.84,98.26,49.5,51.77,6.31
44.0,40.75,23.99,23.22,2.85,98.26,49.5,51.77,6.33
46.0,40.75,23.99,23.18,2.85,97.88,49.5,51.64,6.32
48.0,40.67,24.03,23.15,2.84,98.26,49.5,51.52,6.31
50.0,40.67,24.03,23.15,2.84,97.88,49.62,51.64,6.32
52.0,40.92,23.99,23.29,2.84,98.64,49.5,51.64,6.32
54.0,41.34,23.99,23.51,2.85,99.02,49.5,51.52,6.32
56.0,39.46,23.23,22.15,2.85,92.88,47.84,45.59,6.31
58.0,32.9,20.55,17.66,2.83,66.53,39.87,30.69,6.29
60.0,28.02,18.35,15.11,2.82,49.07,32.34,24.82,6.22
62.0,25.5,17.0,14.02,2.81,42.22,28.32,22.6,6.14
64.0,24.13,16.13,13.42,2.78,39.16,26.1,21.41,6.07
66.0,23.22,15.58,13.02,2.76,37.36,24.77,20.64,5.99
68.0,22.66,15.18,12.76,2.75,36.17,23.83,20.14,5.91
