timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,38.99,18.56,21.6,5.55,72.85,45.57,55.54,7.01
2.0,39.07,18.61,21.6,5.55,72.85,45.67,55.54,7.01
4.0,39.07,18.61,21.66,5.55,72.85,45.77,55.54,7.03
6.0,38.99,18.59,21.63,5.55,72.85,45.77,55.67,7.01
8.0,38.84,18.56,21.57,5.55,72.63,45.77,55.4,7.01
10.0,38.84,18.53,21.53,5.55,72.63,45.57,55.4,7.01
12.0,38.84,18.53,21.47,5.55,72.63,45.57,55.26,7.01
14.0,38.68,18.48,21.47,5.54,72.41,45.47,55.13,7.01
16.0,38.76,18.48,21.47,5.54,72.41,45.57,55.13,7.01
18.0,38.84,18.51,21.5,5.54,72.41,45.57,55.26,7.01
20.0,38.91,18.56,21.53,5.55,72.63,45.67,55.4,7.01
22.0,38.91,18.59,21.57,5.55,72.63,45.67,55.54,7.01
24.0,39.07,18.61,21.6,5.55,72.63,45.77,55.54,7.03
26.0,38.99,18.61,21.63,5.55,72.63,45.77,55.54,7.01
28.0,38.99,18.59,21.6,5.55,72.63,45.67,55.4,7.03
30.0,38.99,18.53,21.53,5.55,72.63,45.67,55.4,7.01
32.0,38.91,18.51,21.5,5.55,72.41,45.57,55.26,7.01
34.0,38.84,18.51,21.5,5.55,72.63,45.67,55.26,7.01
36.0,38.84,18.53,21.5,5.54,72.41,45.47,55.26,7.01
38.0,38.84,18.53,21.5,5.55,72.41,45.57,55.4,7.01
40.0,38.84,18.48,21.47,5.53,72.41,45.57,55.26,7.01
42.0,38.91,18.53,21.5,5.54,72.63,45.57,55.26,7.01
44.0,38.99,18.53,21.53,5.55,72.63,45.67,55.4,7.03
46.0,38.99,18.56,21.57,5.55,72.63,45.57,55.4,7.01
48.0,39.07,18.56,21.6,5.55,72.85,45.67,55.54,7.03
50.0,39.07,18.53,21.6,5.54,72.85,45.57,55.54,7.01
52.0,38.99,18.53,21.6,5.55,72.85,45.67,55.54,7.03
54.0,38.99,18.61,21.6,5.55,72.85,45.67,55.4,7.01
56.0,39.15,18.56,21.66,5.55,72.85,45.67,55.26,7.01
58.0,39.3,18.56,21.73,5.55,73.08,45.67,55.26,7.03
60.0,39.15,18.48,21.5,5.5,72.85,45.37,54.45,6.96
62.0,38.61,18.35,20.91,5.3,71.55,44.6,52.51,6.72
64.0,37.93,18.2,20.39,5.0,69.87,43.66,51.04,6.39
66.0,37.42,18.04,20.04,4.63,68.46,43.11,49.98,6.04
68.0,37.13,17.99,19.89,4.31,67.67,42.66,49.52,5.71
70.0,36.99,17.97,19.75,4.02,67.1,42.66,49.07,5.39
72.0,36.85,17.94,19.64,3.78,66.72,42.39,48.85,5.11
74.0,36.71,17.94,19.58,3.6,66.72,42.22,48.62,4.88
76.0,36.64,17.94,19.58,3.46,66.53,42.22,48.62,4.69
78.0,36.64,17.97,19.58,3.33,66.53,42.22,48.52,4.5
80.0,36.64,17.94,19.55,3.25,66.34,42.13,48.41,4.36
82.0,36.57,17.94,19.52,3.18,66.34,42.3,48.3,4.23
84.0,36.57,17.97,19.55,3.12,66.34,42.3,48.3,4.13
86.0,36.5,17.97,19.52,3.08,66.34,42.22,48.3,4.04
88.0,36.43,17.99,19.5,3.05,66.15,42.22,48.19,3.96
90.0,36.5,17.97,19.47,3.02,66.15,42.22,48.19,3.9
92.0,36.43,17.97,19.47,3.0,65.97,42.22,48.19,3.84
94.0,36.5,17.94,19.5,2.99,65.97,42.13,48.19,3.8
96.0,36.5,17.97,19.5,2.98,66.15,42.13,48.19,3.76
98.0,36.5,17.94,19.47,2.97,66.15,42.13,48.19,3.73
100.0,36.57,17.92,19.47,2.96,66.34,42.22,48.19,3.7
102.0,36.57,17.97,19.5,2.96,66.15,42.22,48.19,3.68
104.0,36.5,17.94,19.44,2.96,65.97,42.04,48.19,3.66
106.0,36.5,17.89,19.44,2.96,65.97,42.04,48.08,3.64
108.0,36.5,17.92,19.47,2.96,65.97,42.13,48.19,3.62
110.0,36.43,17.92,19.47,2.97,66.15,42.13,48.19,3.61
112.0,36.5,17.94,19.5,2.97,66.34,42.22,48.3,3.6
114.0,36.5,17.99,19.47,2.98,66.15,42.22,48.41,3.6
116.0,36.43,17.92,19.44,2.97,65.97,42.13,48.08,3.59
118.0,36.43,17.89,19.44,2.98,65.97,42.13,48.19,3.59
120.0,36.43,17.89,19.39,2.98,65.97,42.13,48.19,3.59
122.0,36.36,17.84,19.39,2.98,65.97,41.95,48.08,3.58
124.0,36.43,17.89,19.41,2.99,65.97,42.04,48.3,3.59
126.0,36.5,17.92,19.44,3.0,66.15,42.13,48.3,3.58
128.0,36.5,17.92,19.47,3.01,66.15,42.04,48.3,3.59
130.0,36.5,17.94,19.47,3.01,66.15,42.22,48.3,3.59
132.0,36.43,17.92,19.47,3.01,66.34,42.13,48.3,3.6
134.0,36.5,17.94,19.5,3.02,66.15,42.13,48.41,3.61
136.0,36.5,17.94,19.5,3.03,66.34,42.22,48.41,3.6
138.0,36.57,17.94,19.52,3.03,66.34,42.13,48.41,3.61
140.0,36.57,17.94,19.55,3.04,66.15,42.04,48.41,3.62
142.0,36.64,17.94,19.55,3.04,66.34,42.04,48.41,3.62
144.0,36.71,17.94,19.58,3.05,66.34,42.13,48.52,3.62
146.0,36.78,17.94,19.61,3.06,66.53,42.13,48.62,3.62
148.0,36.85,17.99,19.67,3.07,66.72,42.13,48.62,3.62
150.0,36.92,18.04,19.69,3.07,66.72,42.22,48.85,3.64
152.0,36.92,18.02,19.67,3.07,66.91,42.22,48.85,3.64
154.0,36.92,18.04,19.69,3.08,66.91,42.22,48.85,3.64
156.0,36.85,18.04,19.72,3.07,66.91,42.3,48.85,3.64
158.0,36.85,18.04,19.69,3.07,66.91,42.3,48.85,3.64
160.0,36.99,18.09,19.81,3.09,67.1,42.48,49.3,3.66
162.0,37.06,18.14,19.98,3.14,67.48,42.75,49.87,3.7
164.0,37.2,18.2,20.16,3.22,67.87,43.02,50.45,3.77
166.0,37.49,18.3,20.36,3.32,68.46,43.47,51.16,3.85
168.0,37.71,18.35,20.57,3.44,69.06,43.84,51.64,3.96
170.0,37.78,18.4,20.69,3.57,69.46,44.12,52.01,4.08
172.0,37.86,18.4,20.78,3.7,69.67,44.31,52.38,4.19
174.0,38.01,18.43,20.84,3.83,69.87,44.5,52.64,4.32
176.0,38.08,18.43,20.91,3.97,70.08,44.69,52.89,4.44
178.0,38.23,18.43,21.0,4.1,70.49,44.69,53.14,4.58
180.0,38.38,18.45,21.12,4.22,70.91,44.98,53.53,4.71
182.0,38.46,18.51,21.18,4.34,71.12,45.08,53.92,4.84
184.0,38.53,18.53,21.25,4.46,71.12,45.08,53.92,4.96
186.0,38.53,18.56,21.28,4.57,71.33,45.27,54.19,5.08
188.0,38.68,18.61,21.34,4.65,71.55,45.47,54.32,5.2
190.0,38.68,18.59,21.34,4.74,71.55,45.47,54.45,5.31
192.0,38.76,18.61,21.37,4.81,71.98,45.37,54.59,5.41
194.0,38.76,18.59,21.41,4.88,71.98,45.37,54.59,5.5
196.0,38.76,18.56,21.41,4.95,71.76,45.47,54.59,5.6
198.0,38.84,18.59,21.44,5.01,71.76,45.47,54.72,5.68
200.0,38.91,18.59,21.47,5.06,71.98,45.47,54.85,5.76
202.0,38.91,18.59,21.47,5.1,72.2,45.47,54.85,5.84
204.0,38.99,18.56,21.47,5.14,72.41,45.47,54.99,5.92
206.0,38.99,18.61,21.53,5.18,72.41,45.67,54.99,5.99
208.0,39.15,18.59,21.6,5.21,72.41,45.67,55.13,6.04
210.0,39.15,18.66,21.63,5.25,72.63,45.67,55.4,6.11
212.0,39.07,18.61,21.63,5.28,72.63,45.57,55.26,6.17
214.0,39.07,18.64,21.66,5.3,72.63,45.67,55.26,6.23
216.0,39.07,18.59,21.6,5.32,72.63,45.57,55.26,6.26
218.0,39.07,18.59,21.57,5.33,72.63,45.47,55.26,6.31
220.0,39.07,18.53,21.53,5.35,72.41,45.57,55.4,6.37
222.0,39.07,18.56,21.57,5.36,72.63,45.47,55.26,6.39
224.0,39.07,18.59,21.57,5.38,72.41,45.47,55.26,6.43
226.0,38.99,18.56,21.57,5.39,72.63,45.67,55.4,6.48
228.0,38.91,18.53,21.5,5.41,72.41,45.47,55.26,6.49
230.0,38.84,18.53,21.5,5.41,72.41,45.57,55.13,6.54
232.0,38.91,18.53,21.53,5.42,72.41,45.57,55.26,6.57
234.0,38.99,18.61,21.57,5.43,72.63,45.67,55.26,6.6
236.0,39.07,18.61,21.6,5.44,72.63,45.67,55.54,6.63
238.0,39.07,18.61,21.6,5.46,72.85,45.77,55.4,6.65
240.0,39.07,18.64,21.63,5.47,72.85,45.77,55.54,6.68
242.0,39.07,18.61,21.57,5.46,72.63,45.57,55.26,6.7
244.0,39.07,18.61,21.6,5.48,72.85,45.67,55.54,6.72
246.0,38.99,18.59,21.53,5.47,72.63,45.57,55.26,6.73
248.0,38.91,18.51,21.53,5.48,72.63,45.67,55.26,6.76
250.0,38.91,18.53,21.5,5.48,72.41,45.57,55.26,6.76
252.0,38.91,18.53,21.5,5.48,72.41,45.57,55.26,6.8
254.0,38.91,18.59,21.53,5.49,72.41,45.57,55.26,6.8
256.0,38.91,18.61,21.53,5.5,72.63,45.67,55.4,6.81
258.0,38.91,18.61,21.6,5.5,72.63,45.67,55.4,6.83
260.0,38.99,18.64,21.6,5.51,72.85,45.77,55.4,6.85
262.0,38.99,18.61,21.57,5.52,72.85,45.77,55.4,6.86
264.0,38.99,18.56,21.57,5.51,72.41,45.57,55.4,6.88
266.0,38.91,18.51,21.47,5.5,72.41,45.57,55.13,6.89
268.0,38.84,18.53,21.47,5.5,72.41,45.47,55.26,6.87
270.0,38.84,18.51,21.47,5.5,72.41,45.37,55.26,6.89
272.0,38.76,18.51,21.47,5.5,72.63,45.47,55.26,6.9
274.0,38.84,18.53,21.47,5.5,72.41,45.47,55.4,6.91
276.0,38.76,18.53,21.5,5.52,72.41,45.57,55.26,6.91
278.0,38.68,18.51,21.44,5.5,72.2,45.47,55.13,6.92
280.0,38.61,18.48,21.41,5.5,72.2,45.37,54.99,6.91
282.0,38.61,18.48,21.41,5.5,71.98,45.47,54.99,6.92
284.0,38.68,18.51,21.44,5.5,71.98,45.37,54.99,6.93
286.0,38.61,18.45,21.37,5.51,71.98,45.27,54.85,6.94
288.0,38.53,18.43,21.37,5.49,71.76,45.37,54.72,6.93
290.0,38.61,18.45,21.34,5.5,71.98,45.37,54.85,6.94
292.0,38.61,18.51,21.37,5.5,71.98,45.37,54.85,6.94
294.0,38.61,18.45,21.37,5.5,71.98,45.37,54.85,6.96
296.0,38.61,18.45,21.37,5.5,71.98,45.27,54.99,6.95
298.0,38.68,18.45,21.41,5.51,71.98,45.37,54.99,6.96
300.0,38.76,18.51,21.44,5.51,72.2,45.27,54.99,6.97
302.0,38.68,18.45,21.41,5.51,71.98,45.27,54.99,6.96
304.0,38.68,18.45,21.41,5.5,71.98,45.37,54.85,6.97
306.0,38.76,18.48,21.44,5.52,72.2,45.37,55.13,6.98
308.0,38.76,18.51,21.47,5.52,72.41,45.47,55.13,6.99
310.0,38.68,18.48,21.41,5.52,72.41,45.37,54.99,6.98
312.0,38.61,18.43,21.41,5.51,71.98,45.37,54.72,6.99
314.0,38.61,18.43,21.37,5.5,71.98,45.37,54.85,6.98
316.0,38.61,18.43,21.34,5.51,71.98,45.37,54.85,6.99
318.0,38.53,18.4,21.37,5.52,71.98,45.27,54.85,6.99
320.0,38.61,18.45,21.41,5.52,72.2,45.37,54.99,7.0
322.0,38.61,18.51,21.41,5.52,72.2,45.37,54.99,7.01
324.0,38.68,18.48,21.44,5.52,72.2,45.37,54.99,7.01
326.0,38.76,18.51,21.44,5.52,72.2,45.37,54.99,7.0
