timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,40.18,19.09,22.19,5.18,75.12,46.69,56.95,6.32
2.0,40.02,19.01,22.15,5.18,74.66,46.58,56.8,6.32
4.0,40.02,19.04,22.19,5.18,74.89,46.58,56.8,6.33
6.0,40.18,19.09,22.19,5.19,74.89,46.69,56.95,6.32
8.0,40.02,19.04,22.15,5.18,74.66,46.69,56.8,6.33
10.0,40.1,19.01,22.12,5.18,74.66,46.58,56.95,6.33
12.0,39.94,18.96,22.09,5.18,74.66,46.48,56.66,6.33
14.0,39.94,18.96,22.05,5.18,74.43,46.48,56.66,6.33
16.0,40.02,18.98,22.12,5.18,74.66,46.48,56.8,6.33
18.0,40.1,19.04,22.19,5.18,74.89,46.69,56.95,6.34
20.0,40.18,19.04,22.22,5.19,74.89,46.69,56.95,6.34
22.0,40.1,19.07,22.22,5.2,74.66,46.69,56.8,6.35
24.0,40.1,19.04,22.19,5.19,74.66,46.58,56.8,6.35
26.0,40.1,19.07,22.19,5.2,74.89,46.69,56.8,6.37
28.0,40.18,19.07,22.22,5.2,74.89,46.58,56.95,6.35
30.0,40.26,19.07,22.22,5.2,75.12,46.58,56.95,6.37
32.0,40.1,19.01,22.19,5.2,74.89,46.48,56.95,6.37
34.0,40.1,18.98,22.19,5.19,74.66,46.48,56.8,6.36
36.0,40.1,18.98,22.19,5.19,74.89,46.58,56.95,6.37
38.0,40.18,19.04,22.22,5.21,75.12,46.69,57.09,6.37
40.0,40.18,19.07,22.25,5.21,74.89,46.79,57.09,6.37
42.0,40.18,19.04,22.25,5.21,75.12,46.58,57.09,6.37
44.0,40.1,19.04,22.22,5.21,74.66,46.69,56.95,6.38
46.0,39.94,18.98,22.12,5.21,74.66,46.48,56.66,6.38
48.0,39.94,18.93,22.09,5.2,74.66,46.38,56.52,6.37
50.0,39.7,18.88,22.02,5.19,74.66,46.27,56.38,6.37
52.0,39.62,18.85,21.92,5.18,74.2,46.27,55.95,6.37
54.0,39.62,18.85,21.95,5.18,74.2,46.27,55.95,6.37
56.0,39.7,18.9,21.86,5.12,73.97,46.27,54.59,6.25
58.0,38.01,18.9,20.13,4.19,66.15,46.38,46.29,5.01
60.0,35.48,18.93,18.42,2.7,56.82,46.38,40.78,3.31
62.0,33.56,18.96,17.37,1.77,51.4,46.38,37.67,2.21
64.0,32.26,18.98,16.68,1.33,48.08,46.58,35.58,1.64
66.0,31.25,19.01,16.19,1.11,45.98,46.58,34.16,1.33
68.0,30.55,19.07,15.82,0.99,44.32,46.58,33.18,1.16
70.0,30.03,19.04,15.52,0.91,43.29,46.69,32.41,1.05
72.0,29.62,19.07,15.29,0.86,42.31,46.48,31.84,0.99
74.0,29.27,19.01,15.11,0.82,41.61,46.38,31.34,0.94
76.0,29.12,19.01,14.97,0.8,41.19,46.27,31.01,0.91
78.0,28.97,19.01,14.85,0.78,40.77,46.27,30.8,0.89
80.0,28.87,19.04,14.79,0.76,40.44,46.27,30.59,0.87
82.0,28.73,19.04,14.71,0.75,40.19,46.07,30.43,0.85
84.0,28.63,19.01,14.63,0.74,40.03,46.07,30.32,0.84
86.0,28.58,18.98,14.57,0.73,39.79,46.07,30.22,0.83
88.0,28.54,18.98,14.55,0.73,39.71,45.97,30.17,0.82
90.0,28.54,19.01,14.53,0.72,39.63,45.97,30.06,0.81
92.0,28.49,19.04,14.52,0.72,39.55,46.07,30.06,0.81
94.0,28.49,18.98,14.48,0.72,39.48,46.07,30.01,0.81
96.0,28.44,18.98,14.46,0.72,39.4,45.97,29.96,0.8
98.0,28.49,18.98,14.48,0.71,39.4,45.97,30.01,0.8
100.0,28.44,18.98,14.46,0.71,39.4,45.87,29.96,0.8
