timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,42.82,20.43,23.76,5.73,80.06,50.08,60.59,6.93
2.0,42.91,20.46,23.8,5.73,80.06,50.08,60.43,6.94
4.0,43.0,20.46,23.83,5.74,80.06,50.19,60.59,6.94
6.0,42.64,20.31,23.69,5.72,79.8,49.96,60.43,6.92
8.0,42.73,20.37,23.65,5.72,79.54,49.85,60.43,6.92
10.0,42.64,20.34,23.61,5.72,79.54,49.85,60.27,6.91
12.0,42.73,20.34,23.69,5.72,79.8,49.96,60.43,6.93
14.0,42.82,20.43,23.69,5.72,79.8,49.96,60.43,6.93
16.0,42.73,20.43,23.72,5.73,80.06,49.96,60.43,6.93
18.0,42.91,20.43,23.76,5.74,80.06,50.19,60.59,6.92
20.0,43.0,20.49,23.83,5.74,80.06,50.08,60.75,6.93
22.0,42.91,20.46,23.76,5.74,80.06,50.08,60.43,6.94
24.0,42.64,20.37,23.65,5.74,79.8,49.96,60.27,6.94
26.0,42.55,20.31,23.58,5.72,79.54,49.73,60.27,6.92
28.0,42.73,20.37,23.61,5.72,79.8,49.96,60.27,6.93
30.0,42.82,20.4,23.72,5.73,79.8,49.96,60.43,6.93
32.0,42.64,20.31,23.61,5.73,79.28,49.85,60.27,6.92
34.0,42.64,20.34,23.61,5.72,79.54,49.73,60.27,6.92
36.0,42.82,20.4,23.76,5.73,79.8,49.96,60.43,6.93
38.0,42.91,20.46,23.76,5.74,79.8,49.96,60.59,6.93
40.0,43.0,20.49,23.8,5.74,80.06,50.08,60.59,6.93
42.0,43.0,20.49,23.83,5.74,80.06,50.19,60.59,6.93
44.0,43.09,20.55,23.91,5.76,80.32,50.19,60.75,6.94
46.0,43.37,20.64,24.02,5.77,80.58,50.43,61.07,6.95
48.0,43.46,20.7,24.09,5.78,80.58,50.55,61.07,6.97
50.0,43.19,20.58,23.95,5.77,80.32,50.31,60.91,6.96
52.0,43.19,20.55,23.95,5.78,80.32,50.31,60.91,6.96
54.0,43.55,20.7,24.13,5.78,80.85,50.43,61.07,6.96
56.0,43.83,20.67,24.28,5.78,81.38,50.55,60.91,6.96
58.0,42.82,20.52,23.15,5.69,78.52,50.08,53.79,6.86
60.0,38.38,19.9,20.01,5.21,64.87,46.79,42.85,6.45
62.0,35.68,19.39,18.63,4.48,57.4,43.93,39.57,5.88
64.0,34.24,18.96,17.91,3.81,54.33,41.87,38.04,5.31
66.0,33.32,18.72,17.51,3.29,52.64,40.6,37.02,4.83
68.0,32.55,18.45,17.1,2.91,51.28,39.63,36.19,4.42
70.0,32.14,18.32,16.89,2.64,50.33,39.01,35.65,4.08
72.0,31.86,18.22,16.71,2.45,49.63,38.55,35.12,3.82
74.0,31.41,18.02,16.48,2.3,48.84,38.02,34.66,3.61
76.0,31.14,17.92,16.3,2.2,48.4,37.66,34.41,3.42
78.0,30.98,17.82,16.19,2.13,48.08,37.37,34.16,3.29
80.0,30.82,17.74,16.08,2.06,47.75,37.15,34.03,3.17
82.0,30.76,17.64,16.04,2.03,47.54,37.01,33.91,3.08
84.0,30.65,17.62,15.99,1.99,47.43,36.87,33.84,3.0
86.0,30.65,17.59,15.97,1.97,47.43,36.73,33.84,2.94
88.0,30.65,17.57,15.93,1.94,47.33,36.66,33.72,2.88
90.0,30.6,17.55,15.88,1.92,47.22,36.59,33.72,2.84
92.0,30.6,17.55,15.93,1.92,47.22,36.52,33.72,2.8
94.0,30.76,17.67,15.99,1.91,47.43,36.73,33.78,2.78
96.0,30.82,17.69,16.01,1.91,47.43,36.73,33.84,2.76
98.0,30.65,17.59,15.93,1.9,47.22,36.52,33.72,2.73
100.0,30.55,17.52,15.88,1.88,47.11,36.45,33.6,2.71
102.0,30.5,17.5,15.84,1.89,46.91,36.31,33.6,2.69
104.0,30.55,17.52,15.86,1.88,47.01,36.38,33.6,2.68
106.0,30.55,17.5,15.86,1.87,47.01,36.38,33.6,2.67
108.0,30.55,17.52,15.86,1.87,47.11,36.38,33.6,2.66
110.0,30.55,17.5,15.88,1.87,47.01,36.24,33.6,2.65
112.0,30.55,17.47,15.86,1.86,47.01,36.24,33.54,2.64
114.0,30.6,17.47,15.86,1.86,46.91,36.24,33.6,2.63
116.0,30.55,17.45,15.84,1.86,46.91,36.17,33.54,2.63
118.0,30.6,17.5,15.86,1.86,47.11,36.24,33.66,2.62
120.0,30.65,17.55,15.9,1.86,47.11,36.24,33.66,2.62
122.0,30.71,17.52,15.9,1.86,47.11,36.24,33.66,2.62
124.0,30.71,17.55,15.93,1.86,47.11,36.24,33.72,2.61
126.0,30.71,17.52,15.95,1.86,47.11,36.24,33.66,2.62
128.0,30.76,17.57,15.95,1.86,47.22,36.31,33.72,2.61
130.0,30.76,17.55,15.95,1.86,47.11,36.31,33.78,2.61
132.0,30.65,17.5,15.93,1.86,47.01,36.24,33.66,2.6
134.0,30.6,17.47,15.88,1.86,47.01,36.17,33.6,2.6
136.0,30.6,17.47,15.88,1.86,47.01,36.17,33.6,2.6
138.0,30.6,17.52,15.9,1.86,47.01,36.17,33.6,2.6
140.0,30.6,17.5,15.86,1.86,46.91,36.17,33.54,2.6
142.0,30.6,17.5,15.9,1.86,46.91,36.17,33.6,2.6
144.0,30.65,17.55,15.9,1.86,46.91,36.24,33.6,2.6
146.0,30.65,17.52,15.9,1.86,46.91,36.24,33.54,2.59
148.0,30.6,17.52,15.9,1.86,46.91,36.17,33.6,2.6
150.0,30.6,17.52,15.86,1.86,46.91,36.17,33.54,2.59
152.0,30.6,17.5,15.88,1.86,46.91,36.24,33.48,2.59
154.0,30.55,17.5,15.86,1.86,46.8,36.17,33.54,2.6
156.0,30.6,17.5,15.9,1.86,46.91,36.17,33.66,2.59
158.0,31.03,17.55,16.14,1.86,47.97,36.31,34.92,2.61
160.0,31.86,17.74,16.71,1.91,50.21,36.8,37.24,2.64
162.0,32.96,17.94,17.39,1.98,52.77,37.73,39.49,2.69
164.0,34.06,18.17,18.03,2.06,55.41,38.7,41.62,2.77
166.0,35.08,18.4,18.63,2.17,57.84,39.55,43.58,2.87
168.0,35.95,18.61,19.19,2.29,60.29,40.6,45.39,2.97
170.0,36.78,18.77,19.67,2.42,62.26,41.52,46.91,3.09
172.0,37.42,18.93,20.07,2.56,64.15,42.39,48.41,3.22
174.0,38.23,19.17,20.57,2.72,65.97,43.38,49.98,3.35
176.0,38.84,19.39,21.03,2.88,67.67,44.22,51.16,3.48
178.0,39.46,19.56,21.41,3.04,69.26,44.88,52.38,3.63
180.0,39.94,19.76,21.73,3.21,70.28,45.57,53.27,3.77
182.0,40.34,19.88,21.99,3.38,71.33,46.17,54.19,3.92
184.0,40.67,19.96,22.25,3.53,72.41,46.69,54.85,4.05
186.0,41.42,20.22,22.66,3.69,73.52,47.31,55.95,4.19
188.0,41.68,20.25,22.87,3.86,74.43,47.74,56.38,4.33
190.0,41.77,20.25,22.94,3.98,74.89,48.06,56.8,4.46
192.0,41.94,20.34,23.08,4.13,75.59,48.28,57.23,4.58
194.0,42.2,20.4,23.22,4.25,76.07,48.39,57.53,4.71
196.0,42.47,20.49,23.4,4.37,76.55,48.72,57.97,4.81
198.0,42.82,20.64,23.58,4.48,77.28,49.05,58.57,4.93
200.0,42.64,20.52,23.54,4.58,77.28,49.05,58.42,5.03
202.0,42.64,20.46,23.51,4.66,77.28,49.05,58.57,5.12
204.0,42.73,20.49,23.58,4.75,77.52,49.16,58.72,5.22
206.0,42.73,20.49,23.58,4.82,77.77,49.16,58.72,5.3
208.0,42.64,20.46,23.51,4.88,77.77,49.16,58.87,5.38
210.0,42.64,20.43,23.51,4.94,77.77,49.05,58.87,5.44
212.0,42.82,20.46,23.61,5.0,78.02,49.28,59.18,5.52
214.0,43.0,20.55,23.72,5.06,78.27,49.5,59.33,5.6
216.0,43.09,20.61,23.8,5.13,78.52,49.62,59.49,5.66
218.0,43.0,20.52,23.72,5.15,78.52,49.5,59.33,5.72
