timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,39.07,18.56,21.6,5.53,72.63,45.47,55.54,6.89
2.0,38.91,18.56,21.53,5.52,72.63,45.47,55.4,6.89
4.0,38.91,18.56,21.5,5.51,72.63,45.37,55.4,6.88
6.0,38.99,18.59,21.57,5.52,72.85,45.47,55.54,6.89
8.0,39.07,18.61,21.6,5.52,72.85,45.57,55.67,6.89
10.0,39.15,18.64,21.66,5.52,72.85,45.67,55.67,6.91
12.0,39.15,18.66,21.66,5.53,73.08,45.67,55.67,6.9
14.0,39.22,18.66,21.66,5.52,73.3,45.67,55.81,6.91
16.0,39.3,18.69,21.66,5.53,73.08,45.67,55.67,6.91
18.0,39.22,18.72,21.73,5.54,73.3,45.67,55.81,6.92
20.0,39.22,18.64,21.66,5.53,73.08,45.67,55.81,6.91
22.0,39.22,18.61,21.66,5.53,73.08,45.67,55.67,6.9
24.0,39.22,18.64,21.66,5.52,73.08,45.67,55.81,6.91
26.0,39.3,18.64,21.76,5.54,73.3,45.77,55.81,6.9
28.0,39.38,18.66,21.73,5.53,73.3,45.67,55.95,6.9
30.0,39.3,18.61,21.73,5.53,73.08,45.57,55.81,6.9
32.0,39.38,18.66,21.76,5.54,73.3,45.67,55.95,6.91
34.0,39.38,18.66,21.79,5.53,73.52,45.67,55.95,6.91
36.0,39.38,18.66,21.76,5.53,73.3,45.67,55.81,6.9
38.0,39.38,18.66,21.76,5.53,73.3,45.77,55.81,6.91
40.0,39.3,18.66,21.73,5.52,73.3,45.77,55.81,6.9
42.0,39.22,18.64,21.69,5.52,73.3,45.77,55.81,6.91
44.0,39.15,18.64,21.66,5.52,73.08,45.57,55.67,6.9
46.0,39.22,18.61,21.66,5.52,73.08,45.67,55.67,6.91
48.0,39.15,18.66,21.73,5.52,73.3,45.87,55.81,6.91
50.0,39.15,18.64,21.66,5.52,73.08,45.77,55.81,6.9
52.0,39.15,18.66,21.69,5.53,73.3,45.77,55.81,6.92
54.0,39.07,18.66,21.66,5.53,73.08,45.87,55.67,6.91
56.0,39.07,18.66,21.69,5.53,73.3,45.87,55.4,6.91
58.0,39.22,18.72,21.76,5.54,73.3,45.87,55.54,6.91
60.0,39.07,18.61,21.5,5.49,72.85,45.57,54.59,6.83
62.0,38.46,18.43,20.81,5.24,71.12,44.69,52.14,6.55
64.0,37.86,18.4,20.3,4.85,69.46,43.93,50.56,6.14
66.0,37.42,18.25,19.92,4.42,67.87,43.2,49.41,5.72
68.0,37.13,18.2,19.72,4.01,67.1,42.84,48.85,5.3
70.0,36.85,18.14,19.55,3.68,66.53,42.57,48.3,4.92
72.0,36.57,18.04,19.44,3.39,65.97,42.3,47.86,4.6
74.0,36.36,17.99,19.3,3.18,65.41,42.13,47.54,4.31
76.0,36.29,17.99,19.27,3.0,65.23,41.95,47.22,4.07
78.0,36.22,17.92,19.16,2.87,65.05,41.95,47.02,3.87
80.0,36.22,17.97,19.14,2.78,64.87,41.87,47.02,3.7
82.0,36.15,17.97,19.14,2.7,64.87,41.78,46.91,3.56
84.0,36.15,17.94,19.16,2.63,64.87,41.78,46.91,3.44
86.0,36.15,17.94,19.14,2.58,64.69,41.78,46.91,3.35
88.0,36.15,17.97,19.14,2.55,64.69,41.78,46.81,3.26
90.0,36.15,17.92,19.14,2.52,64.51,41.78,46.7,3.19
92.0,36.22,17.97,19.14,2.5,64.69,41.78,46.91,3.13
94.0,36.22,18.02,19.16,2.48,64.87,41.78,46.81,3.08
96.0,36.29,17.99,19.19,2.47,64.87,41.87,46.81,3.04
98.0,36.29,17.99,19.16,2.46,64.69,41.87,46.7,3.01
100.0,36.22,17.94,19.14,2.44,64.51,41.78,46.7,2.97
102.0,36.22,17.97,19.14,2.43,64.51,41.69,46.6,2.95
104.0,36.15,17.97,19.11,2.42,64.51,41.78,46.6,2.92
106.0,36.15,18.02,19.11,2.42,64.69,41.87,46.7,2.91
108.0,36.08,17.97,19.11,2.41,64.51,41.69,46.6,2.88
110.0,36.15,17.97,19.11,2.41,64.69,41.78,46.5,2.87
112.0,36.15,17.99,19.11,2.41,64.69,41.78,46.6,2.86
114.0,36.08,17.99,19.11,2.42,64.51,41.78,46.6,2.85
116.0,36.02,18.02,19.11,2.41,64.69,41.78,46.6,2.85
118.0,36.02,18.02,19.05,2.41,64.51,41.78,46.6,2.84
120.0,35.95,18.04,19.05,2.43,64.51,41.87,46.7,2.85
122.0,35.88,17.99,19.05,2.43,64.33,41.87,46.6,2.84
124.0,35.95,17.97,19.03,2.43,64.33,41.69,46.7,2.85
126.0,35.95,17.94,19.03,2.44,64.33,41.69,46.6,2.86
128.0,36.02,17.99,19.05,2.45,64.33,41.69,46.6,2.86
130.0,36.08,17.97,19.05,2.46,64.51,41.69,46.7,2.87
132.0,36.22,17.97,19.11,2.47,64.51,41.61,46.91,2.88
134.0,36.22,17.97,19.14,2.48,64.69,41.69,46.91,2.88
136.0,36.15,17.94,19.11,2.49,64.69,41.69,46.91,2.89
138.0,36.08,17.89,19.05,2.51,64.69,41.61,46.81,2.9
140.0,36.08,17.89,19.05,2.51,64.69,41.44,46.81,2.91
142.0,36.08,17.84,19.05,2.53,64.69,41.52,46.81,2.92
144.0,36.08,17.84,19.05,2.54,64.69,41.44,46.91,2.94
146.0,36.15,17.87,19.08,2.54,64.87,41.52,47.12,2.95
148.0,36.22,17.89,19.11,2.56,64.87,41.44,47.12,2.96
150.0,36.29,17.89,19.16,2.58,65.05,41.52,47.22,2.97
152.0,36.22,17.92,19.16,2.58,65.05,41.44,47.12,2.99
154.0,36.22,17.89,19.16,2.6,65.23,41.52,47.22,3.0
156.0,36.29,17.92,19.22,2.61,65.23,41.61,47.33,3.01
158.0,36.29,17.94,19.27,2.62,65.41,41.69,47.44,3.03
160.0,36.43,18.02,19.41,2.66,65.97,41.87,48.3,3.07
162.0,36.64,18.12,19.67,2.72,66.53,42.39,48.96,3.13
164.0,36.92,18.22,19.92,2.82,67.29,42.75,49.64,3.2
166.0,37.13,18.3,20.13,2.94,67.67,43.2,50.33,3.31
168.0,37.35,18.38,20.3,3.07,68.26,43.47,50.8,3.42
170.0,37.64,18.4,20.51,3.2,68.86,43.84,51.52,3.55
172.0,38.01,18.45,20.72,3.35,69.46,44.12,52.01,3.68
174.0,38.23,18.51,20.84,3.5,69.87,44.41,52.51,3.82
176.0,38.3,18.48,20.94,3.65,70.28,44.5,52.89,3.96
178.0,38.53,18.53,21.06,3.79,70.7,44.79,53.27,4.09
180.0,38.61,18.53,21.15,3.93,70.91,44.79,53.53,4.23
182.0,38.68,18.59,21.22,4.07,71.12,44.98,53.79,4.37
184.0,38.76,18.59,21.28,4.19,71.33,45.08,53.92,4.5
186.0,38.76,18.59,21.34,4.3,71.33,44.98,54.05,4.63
188.0,38.84,18.56,21.34,4.4,71.55,45.08,54.19,4.76
190.0,38.84,18.56,21.37,4.5,71.98,45.08,54.32,4.87
192.0,38.91,18.53,21.41,4.58,71.76,45.08,54.45,4.98
194.0,38.91,18.53,21.37,4.67,71.76,45.08,54.45,5.08
196.0,38.84,18.51,21.37,4.73,71.76,44.98,54.45,5.19
198.0,38.84,18.48,21.41,4.79,71.98,45.08,54.59,5.28
200.0,38.99,18.59,21.47,4.86,71.98,45.27,54.72,5.37
202.0,38.99,18.56,21.5,4.92,72.2,45.27,54.85,5.46
204.0,38.99,18.53,21.5,4.98,72.41,45.27,54.85,5.54
206.0,39.07,18.56,21.53,5.01,72.41,45.27,54.99,5.62
208.0,38.99,18.53,21.5,5.05,72.41,45.47,54.99,5.69
210.0,38.99,18.56,21.53,5.1,72.41,45.27,54.99,5.76
212.0,39.07,18.56,21.53,5.12,72.41,45.27,54.99,5.83
214.0,38.99,18.56,21.53,5.15,72.41,45.18,55.13,5.88
216.0,38.99,18.59,21.5,5.18,72.41,45.27,55.13,5.93
218.0,38.99,18.56,21.57,5.21,72.41,45.27,55.4,5.99
220.0,39.07,18.59,21.57,5.23,72.63,45.37,55.13,6.04
222.0,39.07,18.66,21.6,5.25,72.63,45.57,55.26,6.09
224.0,39.07,18.59,21.6,5.27,72.63,45.37,55.13,6.13
226.0,39.22,18.64,21.6,5.29,72.63,45.57,55.26,6.18
228.0,39.22,18.64,21.66,5.31,72.85,45.57,55.26,6.22
230.0,39.22,18.64,21.66,5.33,72.85,45.57,55.4,6.25
232.0,39.22,18.66,21.66,5.34,73.08,45.67,55.54,6.3
234.0,39.22,18.66,21.66,5.35,72.85,45.47,55.54,6.33
236.0,39.15,18.64,21.63,5.36,72.85,45.47,55.26,6.35
238.0,39.15,18.66,21.63,5.38,72.63,45.47,55.54,6.39
240.0,39.22,18.66,21.63,5.37,72.85,45.47,55.4,6.41
242.0,39.22,18.66,21.66,5.39,72.85,45.57,55.54,6.44
244.0,39.22,18.66,21.66,5.4,73.08,45.47,55.67,6.47
246.0,39.3,18.69,21.69,5.4,73.08,45.57,55.54,6.49
248.0,39.22,18.64,21.66,5.41,73.08,45.57,55.54,6.51
250.0,39.22,18.64,21.66,5.41,72.85,45.47,55.54,6.54
252.0,39.15,18.59,21.6,5.41,72.85,45.47,55.4,6.54
254.0,39.22,18.61,21.66,5.42,72.85,45.47,55.4,6.56
256.0,39.22,18.61,21.66,5.43,72.85,45.47,55.54,6.57
258.0,39.22,18.61,21.69,5.43,72.85,45.57,55.4,6.61
260.0,39.38,18.66,21.73,5.45,73.3,45.67,55.67,6.62
262.0,39.3,18.64,21.73,5.46,73.08,45.67,55.67,6.63
264.0,39.3,18.66,21.69,5.45,73.08,45.57,55.54,6.64
266.0,39.22,18.64,21.66,5.45,73.08,45.67,55.54,6.65
268.0,39.15,18.64,21.66,5.46,72.85,45.57,55.54,6.67
270.0,39.07,18.61,21.63,5.45,72.85,45.47,55.4,6.68
272.0,39.07,18.56,21.57,5.44,72.63,45.47,55.26,6.68
274.0,38.99,18.59,21.6,5.46,72.63,45.67,55.4,6.7
276.0,39.07,18.59,21.53,5.45,72.63,45.37,55.4,6.71
278.0,39.07,18.53,21.53,5.44,72.41,45.37,55.26,6.71
280.0,39.07,18.48,21.5,5.44,72.41,45.27,55.26,6.71
282.0,39.15,18.53,21.57,5.45,72.63,45.18,55.4,6.71
284.0,39.15,18.53,21.6,5.44,72.85,45.18,55.4,6.73
286.0,39.15,18.53,21.6,5.45,72.63,45.37,55.4,6.74
288.0,39.15,18.59,21.6,5.44,72.85,45.27,55.54,6.74
290.0,39.07,18.56,21.63,5.45,72.63,45.37,55.4,6.76
292.0,39.07,18.56,21.63,5.45,72.85,45.37,55.4,6.76
294.0,38.99,18.56,21.57,5.45,72.41,45.37,55.4,6.78
296.0,38.91,18.56,21.5,5.46,72.41,45.27,55.26,6.77
298.0,38.91,18.51,21.5,5.46,72.41,45.27,55.26,6.77
300.0,38.99,18.56,21.53,5.45,72.41,45.37,55.26,6.79
302.0,39.07,18.53,21.53,5.45,72.41,45.37,55.26,6.79
304.0,39.07,18.53,21.53,5.46,72.41,45.18,55.26,6.8
306.0,38.99,18.51,21.53,5.45,72.41,45.27,55.26,6.8
308.0,38.99,18.53,21.53,5.46,72.63,45.27,55.26,6.8
310.0,38.91,18.51,21.53,5.46,72.41,45.37,55.26,6.8
312.0,38.91,18.53,21.53,5.46,72.41,45.37,55.4,6.81
314.0,38.99,18.56,21.57,5.46,72.63,45.37,55.4,6.82
316.0,38.99,18.59,21.6,5.46,72.63,45.37,55.4,6.82
318.0,39.07,18.56,21.6,5.47,72.63,45.37,55.4,6.83
320.0,38.99,18.56,21.6,5.46,72.63,45.47,55.26,6.83
322.0,39.07,18.53,21.6,5.47,72.85,45.37,55.4,6.84
324.0,39.15,18.53,21.6,5.46,72.85,45.37,55.26,6.84
326.0,39.07,18.56,21.63,5.48,72.63,45.47,55.4,6.86
328.0,39.07,18.51,21.6,5.46,72.85,45.27,55.26,6.86
330.0,39.15,18.53,21.63,5.47,72.85,45.37,55.54,6.85
