timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,40.02,18.66,21.73,5.8,75.12,45.27,57.09,6.76
2.0,39.7,18.59,21.6,5.78,74.66,44.98,56.95,6.76
4.0,39.7,18.59,21.6,5.77,74.66,44.98,56.95,6.76
6.0,39.94,18.64,21.69,5.78,74.89,45.08,57.09,6.77
8.0,39.94,18.64,21.73,5.78,75.12,45.18,57.23,6.78
10.0,39.94,18.66,21.73,5.79,75.12,45.08,57.09,6.77
12.0,39.94,18.64,21.73,5.78,75.12,45.08,57.23,6.78
14.0,40.02,18.69,21.76,5.79,75.12,45.18,57.23,6.77
16.0,39.94,18.66,21.73,5.79,75.12,45.08,57.23,6.79
18.0,39.86,18.61,21.66,5.79,75.12,44.98,57.23,6.77
20.0,39.86,18.61,21.66,5.78,74.89,44.98,56.95,6.78
22.0,39.86,18.61,21.66,5.78,74.89,45.08,57.09,6.79
24.0,39.86,18.66,21.69,5.79,74.89,45.08,57.09,6.78
26.0,39.62,18.56,21.57,5.78,74.66,44.98,56.8,6.78
28.0,39.3,18.4,21.37,5.76,74.2,44.6,56.38,6.75
30.0,39.54,18.53,21.57,5.77,74.66,44.88,56.8,6.77
32.0,39.3,18.4,21.41,5.75,73.97,44.6,56.38,6.76
34.0,38.84,18.17,21.12,5.72,73.3,44.03,55.95,6.73
36.0,38.61,18.12,21.0,5.69,72.85,43.84,55.4,6.71
38.0,39.38,18.4,21.37,5.74,73.97,44.41,56.38,6.75
40.0,39.62,18.53,21.57,5.76,74.43,44.69,56.8,6.78
42.0,39.78,18.59,21.66,5.78,74.66,44.98,56.95,6.79
44.0,39.15,18.25,21.31,5.74,73.75,44.31,56.09,6.76
46.0,38.76,18.04,21.06,5.7,72.85,43.75,55.54,6.72
48.0,38.46,17.89,20.88,5.67,72.2,43.38,55.13,6.71
50.0,39.15,18.14,21.22,5.69,73.3,43.93,55.67,6.72
52.0,39.15,17.99,21.18,5.67,73.3,43.56,55.26,6.72
54.0,39.38,18.12,21.25,5.6,73.75,43.84,54.45,6.57
56.0,38.16,18.22,19.89,4.52,68.86,44.12,47.65,5.22
58.0,36.57,18.32,18.79,3.0,63.8,44.31,44.52,3.59
60.0,35.48,18.4,18.29,2.12,61.1,44.6,43.21,2.63
62.0,34.76,18.4,17.96,1.69,59.35,44.5,42.14,2.1
64.0,34.18,18.35,17.71,1.47,58.14,44.41,41.45,1.79
66.0,33.81,18.35,17.56,1.35,57.54,44.5,40.95,1.61
68.0,33.56,18.32,17.34,1.28,56.82,44.41,40.45,1.49
70.0,33.38,18.3,17.25,1.23,56.25,44.31,40.21,1.41
72.0,33.44,18.35,17.22,1.2,56.25,44.5,40.13,1.35
74.0,33.44,18.45,17.22,1.18,56.11,44.69,40.05,1.31
76.0,33.44,18.51,17.25,1.16,55.97,44.88,39.97,1.29
78.0,33.2,18.38,17.1,1.15,55.55,44.41,39.73,1.26
80.0,32.96,18.25,16.94,1.13,55.14,44.22,39.49,1.25
82.0,33.02,18.3,16.98,1.12,55.27,44.31,39.49,1.23
84.0,33.08,18.35,16.98,1.11,55.27,44.31,39.49,1.22
86.0,33.2,18.48,17.06,1.11,55.41,44.6,39.65,1.21
88.0,33.08,18.43,17.03,1.11,55.27,44.5,39.57,1.21
