timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,42.55,21.04,23.87,7.63,78.02,47.52,63.77,8.11
2.0,42.64,21.04,23.87,7.64,77.77,47.31,63.59,8.1
4.0,42.55,21.04,23.8,7.64,78.02,47.42,63.42,8.1
6.0,42.55,21.01,23.83,7.63,77.77,47.31,63.59,8.1
8.0,42.47,21.01,23.8,7.65,77.77,47.42,63.42,8.1
10.0,42.55,21.01,23.8,7.64,77.77,47.42,63.42,8.1
12.0,42.47,21.01,23.76,7.63,77.77,47.31,63.42,8.09
14.0,42.47,20.98,23.72,7.63,77.77,47.21,63.42,8.1
16.0,42.55,20.98,23.8,7.63,77.77,47.31,63.42,8.1
18.0,42.64,20.98,23.8,7.63,77.77,47.21,63.42,8.09
20.0,42.64,20.98,23.83,7.63,78.02,47.21,63.42,8.1
22.0,42.73,21.01,23.87,7.62,78.02,47.31,63.77,8.1
24.0,42.73,20.98,23.87,7.64,78.02,47.31,63.59,8.11
26.0,42.64,20.95,23.83,7.62,77.77,47.21,63.25,8.09
28.0,42.55,20.95,23.83,7.62,77.77,47.21,63.42,8.09
30.0,42.64,20.95,23.83,7.62,78.02,47.21,63.59,8.1
32.0,42.73,20.95,23.91,7.61,78.02,47.21,63.59,8.1
34.0,42.73,21.01,23.91,7.62,78.02,47.31,63.77,8.1
36.0,42.73,20.98,23.91,7.62,78.02,47.31,63.77,8.11
38.0,42.73,20.98,23.91,7.62,78.02,47.31,63.59,8.1
40.0,42.73,20.95,23.91,7.62,78.02,47.31,63.59,8.1
42.0,42.64,20.95,23.87,7.62,78.02,47.21,63.42,8.1
44.0,42.64,20.95,23.87,7.61,78.02,47.21,63.59,8.09
46.0,42.64,20.95,23.87,7.61,78.02,47.31,63.42,8.1
48.0,42.55,20.98,23.83,7.6,77.77,47.21,63.42,8.09
50.0,42.47,20.91,23.8,7.6,77.77,47.21,63.42,8.09
52.0,42.38,20.88,23.76,7.61,77.52,47.1,63.25,8.08
54.0,42.64,20.91,23.83,7.6,77.77,47.1,63.08,8.09
56.0,42.91,20.91,23.95,7.6,78.02,47.1,63.25,8.1
58.0,42.82,20.88,23.83,7.57,77.77,47.0,61.73,8.06
60.0,40.42,20.52,21.53,7.27,71.55,45.57,51.04,7.79
62.0,38.08,20.08,20.16,6.69,64.87,43.11,47.76,7.31
64.0,37.13,19.76,19.78,6.09,63.11,41.69,47.22,6.86
66.0,36.71,19.65,19.58,5.58,62.59,40.93,47.02,6.45
68.0,36.43,19.56,19.52,5.18,62.26,40.6,46.81,6.12
70.0,36.43,19.51,19.5,4.87,62.09,40.44,46.81,5.83
72.0,36.43,19.48,19.44,4.65,61.92,40.27,46.81,5.62
74.0,36.43,19.45,19.44,4.48,61.76,40.19,46.81,5.42
76.0,36.43,19.45,19.47,4.34,61.92,40.19,46.81,5.26
78.0,36.5,19.51,19.47,4.25,61.92,40.11,46.81,5.15
80.0,36.43,19.51,19.47,4.19,61.92,40.19,46.81,5.04
82.0,36.57,19.54,19.5,4.13,61.92,40.27,46.91,4.95
84.0,36.5,19.54,19.47,4.09,61.92,40.19,46.91,4.88
86.0,36.43,19.54,19.47,4.05,61.92,40.27,46.91,4.81
88.0,36.43,19.54,19.47,4.03,62.09,40.27,46.91,4.76
90.0,36.36,19.54,19.44,4.01,61.76,40.27,46.81,4.71
92.0,36.43,19.54,19.44,4.0,61.76,40.19,46.7,4.67
94.0,36.5,19.54,19.47,3.99,61.76,40.27,46.81,4.65
96.0,36.43,19.56,19.47,3.98,61.76,40.27,46.81,4.62
98.0,36.5,19.54,19.44,3.98,61.76,40.19,46.7,4.59
100.0,36.5,19.54,19.44,3.97,61.76,40.27,46.81,4.56
102.0,36.5,19.56,19.44,3.96,61.76,40.44,46.81,4.55
104.0,36.43,19.54,19.44,3.96,61.76,40.27,46.81,4.54
106.0,36.43,19.54,19.44,3.94,61.76,40.19,46.7,4.52
108.0,36.36,19.54,19.41,3.95,61.59,40.11,46.7,4.51
110.0,36.43,19.54,19.41,3.94,61.59,40.19,46.6,4.5
112.0,36.43,19.54,19.41,3.94,61.59,40.19,46.7,4.49
114.0,36.43,19.59,19.44,3.94,61.76,40.19,46.7,4.48
116.0,36.5,19.54,19.44,3.94,61.59,40.19,46.6,4.47
118.0,36.5,19.56,19.47,3.94,61.76,40.19,46.7,4.47
120.0,36.43,19.54,19.44,3.94,61.59,40.27,46.7,4.46
122.0,36.43,19.59,19.44,3.93,61.59,40.27,46.7,4.46
124.0,36.43,19.62,19.41,3.94,61.59,40.27,46.7,4.46
126.0,36.43,19.59,19.44,3.93,61.76,40.27,46.7,4.46
128.0,36.43,19.59,19.39,3.93,61.42,40.27,46.6,4.44
130.0,36.43,19.59,19.39,3.93,61.42,40.19,46.6,4.45
132.0,36.43,19.59,19.41,3.93,61.59,40.19,46.7,4.44
134.0,36.5,19.59,19.44,3.94,61.42,40.27,46.6,4.43
136.0,36.5,19.62,19.41,3.93,61.59,40.27,46.7,4.44
138.0,36.5,19.62,19.47,3.93,61.76,40.19,46.7,4.43
140.0,36.57,19.62,19.47,3.94,61.76,40.19,46.7,4.44
142.0,36.57,19.62,19.47,3.93,61.76,40.27,46.7,4.43
144.0,36.57,19.59,19.47,3.93,61.76,40.27,46.7,4.42
146.0,36.57,19.56,19.44,3.93,61.76,40.19,46.7,4.42
148.0,36.57,19.59,19.47,3.93,61.76,40.19,46.7,4.42
150.0,36.5,19.59,19.47,3.93,61.59,40.11,46.7,4.42
152.0,36.43,19.54,19.41,3.93,61.59,40.11,46.7,4.41
154.0,36.43,19.56,19.41,3.93,61.59,40.11,46.6,4.41
156.0,36.43,19.54,19.39,3.92,61.42,40.11,46.6,4.41
158.0,36.43,19.54,19.39,3.93,61.42,40.11,46.81,4.41
160.0,36.71,19.59,19.64,3.94,62.42,40.19,48.19,4.43
162.0,37.35,19.68,20.01,4.0,63.8,40.6,49.75,4.48
164.0,37.86,19.82,20.48,4.08,65.41,41.1,51.4,4.54
166.0,38.53,20.02,20.91,4.21,66.72,41.87,52.76,4.64
168.0,39.07,20.11,21.25,4.33,68.06,42.39,54.05,4.74
170.0,39.54,20.25,21.6,4.48,69.26,42.84,55.26,4.86
172.0,39.94,20.4,21.86,4.65,70.28,43.47,56.09,4.98
174.0,40.26,20.49,22.09,4.81,71.12,43.93,56.95,5.11
176.0,40.59,20.55,22.32,4.99,71.98,44.31,57.53,5.25
178.0,40.84,20.64,22.52,5.14,72.63,44.69,58.27,5.37
180.0,41.09,20.64,22.66,5.3,73.08,44.98,58.87,5.5
182.0,41.34,20.7,22.8,5.46,73.3,45.27,59.33,5.62
184.0,41.42,20.7,22.94,5.61,74.2,45.47,59.8,5.75
186.0,41.59,20.73,23.01,5.74,74.2,45.57,59.95,5.87
188.0,41.59,20.73,23.04,5.88,74.66,45.67,60.27,5.96
190.0,41.68,20.73,23.11,6.0,74.89,45.77,60.59,6.09
192.0,41.77,20.76,23.18,6.11,75.12,45.87,60.75,6.19
194.0,41.85,20.79,23.22,6.22,75.12,46.17,60.91,6.29
196.0,41.94,20.82,23.29,6.32,75.59,46.17,61.24,6.38
198.0,41.94,20.82,23.33,6.4,75.59,46.27,61.4,6.48
200.0,41.94,20.82,23.36,6.49,75.59,46.38,61.56,6.55
