timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,36.08,17.0,19.58,5.85,67.29,41.27,51.64,6.99
2.0,36.15,17.04,19.61,5.85,67.29,41.35,51.77,6.98
4.0,36.15,17.02,19.61,5.86,67.48,41.44,51.89,6.99
6.0,35.95,16.97,19.55,5.85,67.29,41.27,51.64,6.98
8.0,36.02,17.02,19.58,5.85,67.48,41.27,51.64,6.99
10.0,36.02,17.07,19.61,5.86,67.48,41.44,51.77,7.0
12.0,36.15,17.09,19.67,5.86,67.67,41.44,51.89,7.01
14.0,36.08,17.07,19.61,5.86,67.48,41.44,51.64,7.0
16.0,36.15,17.04,19.67,5.86,67.48,41.44,51.77,7.0
18.0,36.15,17.0,19.61,5.86,67.48,41.35,51.64,6.99
20.0,36.08,16.97,19.55,5.85,67.29,41.27,51.64,6.99
22.0,36.29,17.04,19.67,5.85,67.48,41.35,51.77,6.99
24.0,36.43,17.07,19.72,5.86,67.67,41.44,52.01,7.0
26.0,36.5,17.07,19.75,5.86,67.87,41.35,52.01,7.0
28.0,36.43,17.07,19.75,5.87,67.87,41.52,52.01,7.0
30.0,36.43,17.07,19.75,5.86,67.87,41.44,52.01,7.0
32.0,36.08,16.9,19.58,5.84,67.29,41.1,51.64,6.97
34.0,35.95,16.86,19.47,5.82,67.1,41.02,51.52,6.97
36.0,35.95,16.88,19.47,5.83,67.1,40.93,51.52,6.98
38.0,35.74,16.79,19.41,5.8,66.72,40.85,51.28,6.97
40.0,35.61,16.74,19.3,5.78,66.53,40.6,51.04,6.95
42.0,35.74,16.83,19.39,5.79,66.72,40.93,51.28,6.95
44.0,35.41,16.67,19.22,5.78,66.15,40.52,50.8,6.93
46.0,35.15,16.6,19.08,5.75,65.78,40.36,50.45,6.91
48.0,34.88,16.51,18.95,5.73,65.23,40.11,50.21,6.9
50.0,35.01,16.6,19.0,5.73,65.6,40.27,50.45,6.91
52.0,34.88,16.63,19.0,5.74,65.6,40.36,50.21,6.91
54.0,34.95,16.67,19.05,5.74,65.78,40.44,50.1,6.92
56.0,35.28,16.7,19.16,5.75,65.97,40.6,50.21,6.93
58.0,34.69,16.49,18.81,5.74,64.69,40.11,46.91,6.91
60.0,29.17,15.12,15.63,5.71,49.52,35.3,29.11,6.9
62.0,22.9,13.3,12.69,5.64,33.09,27.18,20.76,6.84
64.0,19.41,12.03,11.16,5.52,25.71,22.12,17.8,6.73
66.0,17.49,11.21,10.31,5.39,22.47,19.22,16.4,6.64
68.0,16.28,10.58,9.72,5.26,20.64,17.44,15.49,6.54
70.0,15.44,10.1,9.28,5.1,19.48,16.24,14.9,6.41
72.0,14.91,9.77,8.98,4.97,18.74,15.43,14.47,6.3
74.0,14.55,9.55,8.79,4.86,18.27,14.88,14.21,6.2
76.0,14.25,9.35,8.6,4.75,17.82,14.43,13.98,6.09
78.0,14.1,9.24,8.5,4.67,17.59,14.16,13.85,6.01
80.0,13.97,9.16,8.42,4.61,17.42,13.9,13.74,5.93
82.0,13.87,9.1,8.39,4.57,17.28,13.76,13.71,5.87
84.0,13.78,9.03,8.32,4.53,17.16,13.59,13.6,5.81
86.0,13.67,8.97,8.27,4.49,17.02,13.47,13.55,5.75
88.0,13.58,8.94,8.22,4.44,16.92,13.36,13.48,5.69
90.0,13.51,8.88,8.15,4.4,16.81,13.26,13.41,5.63
92.0,13.48,8.87,8.13,4.36,16.76,13.21,13.39,5.58
94.0,13.44,8.85,8.13,4.34,16.71,13.17,13.35,5.53
96.0,13.42,8.84,8.1,4.31,16.69,13.12,13.34,5.49
98.0,13.41,8.81,8.09,4.28,16.65,13.09,13.32,5.44
100.0,13.41,8.81,8.09,4.26,16.62,13.07,13.32,5.4
102.0,13.39,8.79,8.08,4.25,16.58,13.04,13.28,5.37
104.0,13.37,8.79,8.05,4.22,16.56,13.0,13.27,5.33
106.0,13.35,8.77,8.04,4.2,16.53,12.98,13.25,5.29
108.0,13.39,8.78,8.06,4.19,16.53,12.98,13.28,5.27
110.0,13.41,8.79,8.09,4.19,16.56,13.0,13.3,5.25
112.0,13.44,8.81,8.09,4.17,16.6,13.0,13.34,5.24
114.0,13.42,8.81,8.09,4.18,16.56,12.98,13.32,5.22
