timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,38.01,17.87,20.66,6.03,71.55,43.29,54.72,7.12
2.0,38.16,17.92,20.72,6.04,71.55,43.47,54.85,7.11
4.0,38.3,17.97,20.78,6.04,71.76,43.56,54.99,7.12
6.0,38.38,17.99,20.84,6.05,71.98,43.66,55.13,7.12
8.0,38.16,17.92,20.75,6.05,71.76,43.56,54.85,7.11
10.0,38.01,17.84,20.66,6.04,71.55,43.29,54.72,7.11
12.0,38.08,17.87,20.69,6.04,71.55,43.29,54.72,7.1
14.0,38.16,17.89,20.69,6.04,71.55,43.47,54.85,7.11
16.0,38.16,17.89,20.72,6.04,71.55,43.38,54.85,7.1
18.0,38.08,17.84,20.69,6.03,71.55,43.29,54.72,7.1
20.0,38.16,17.87,20.72,6.03,71.55,43.2,54.72,7.1
22.0,38.16,17.79,20.66,6.02,71.33,43.2,54.72,7.09
24.0,38.16,17.79,20.69,6.01,71.55,43.2,54.85,7.08
26.0,38.3,17.82,20.69,6.02,71.55,43.2,54.72,7.08
28.0,38.16,17.79,20.69,6.01,71.55,43.11,54.72,7.08
30.0,38.38,17.89,20.81,6.03,71.76,43.38,54.99,7.09
32.0,38.53,17.94,20.88,6.04,71.98,43.47,54.99,7.1
34.0,38.3,17.89,20.84,6.03,71.98,43.38,55.13,7.1
36.0,38.16,17.84,20.72,6.02,71.55,43.2,54.72,7.08
38.0,38.16,17.84,20.72,6.02,71.55,43.2,54.72,7.07
40.0,38.23,17.84,20.72,6.02,71.55,43.2,54.72,7.08
42.0,38.16,17.87,20.72,6.03,71.33,43.29,54.72,7.08
44.0,38.16,17.87,20.69,6.03,71.55,43.29,54.85,7.07
46.0,38.08,17.84,20.66,6.03,71.33,43.11,54.72,7.07
48.0,38.16,17.82,20.69,6.01,71.33,43.2,54.59,7.07
50.0,38.08,17.84,20.66,6.02,71.12,43.2,54.59,7.06
52.0,38.23,17.82,20.72,6.02,71.55,43.2,54.19,7.06
54.0,38.53,17.84,20.81,6.01,71.98,43.2,54.19,7.07
56.0,38.61,17.77,20.72,5.96,71.76,42.92,53.4,7.01
58.0,37.93,17.57,19.98,5.67,70.49,41.95,51.04,6.65
60.0,37.06,17.38,19.27,5.16,68.66,41.02,49.3,6.14
62.0,36.57,17.26,18.97,4.61,67.48,40.27,48.41,5.61
64.0,36.22,17.21,18.76,4.12,66.91,39.87,47.97,5.14
66.0,36.15,17.18,18.68,3.74,66.53,39.87,47.76,4.73
68.0,35.95,17.18,18.57,3.44,66.34,39.71,47.54,4.38
70.0,35.88,17.21,18.57,3.22,66.15,39.79,47.44,4.09
72.0,35.81,17.21,18.5,3.04,65.97,39.63,47.22,3.85
74.0,35.74,17.23,18.52,2.92,65.97,39.71,47.22,3.67
76.0,35.81,17.26,18.5,2.83,65.78,39.63,47.22,3.52
78.0,35.61,17.26,18.47,2.76,65.6,39.63,47.02,3.4
80.0,35.61,17.23,18.44,2.71,65.6,39.63,47.02,3.3
82.0,35.48,17.23,18.36,2.67,65.41,39.55,46.91,3.21
84.0,35.48,17.18,18.34,2.64,65.23,39.55,46.81,3.15
86.0,35.41,17.23,18.34,2.62,65.23,39.48,46.7,3.09
88.0,35.54,17.26,18.39,2.6,65.23,39.55,46.91,3.05
90.0,35.54,17.26,18.36,2.6,65.41,39.63,46.81,3.01
92.0,35.41,17.23,18.31,2.58,64.87,39.48,46.7,2.98
94.0,35.41,17.21,18.31,2.57,65.23,39.48,46.6,2.95
96.0,35.41,17.26,18.29,2.56,65.05,39.63,46.6,2.94
98.0,35.41,17.21,18.29,2.56,65.23,39.55,46.6,2.91
100.0,35.28,17.23,18.26,2.55,65.05,39.4,46.7,2.9
102.0,35.61,17.28,18.36,2.56,65.23,39.63,46.81,2.89
104.0,35.54,17.26,18.36,2.56,65.23,39.55,46.81,2.89
106.0,35.41,17.21,18.29,2.55,65.05,39.48,46.7,2.88
108.0,35.41,17.21,18.31,2.56,65.23,39.48,46.7,2.88
110.0,35.34,17.14,18.29,2.57,65.05,39.4,46.7,2.88
112.0,35.54,17.23,18.36,2.58,65.41,39.48,46.91,2.88
114.0,35.54,17.23,18.39,2.59,65.41,39.55,47.02,2.88
116.0,35.54,17.21,18.36,2.6,65.6,39.48,46.91,2.89
118.0,35.48,17.16,18.34,2.6,65.23,39.4,46.91,2.9
120.0,35.41,17.16,18.31,2.61,65.23,39.4,46.91,2.9
122.0,35.54,17.16,18.36,2.63,65.41,39.48,47.02,2.91
124.0,35.61,17.16,18.42,2.64,65.6,39.48,47.12,2.92
126.0,35.54,17.18,18.39,2.64,65.6,39.4,47.12,2.93
128.0,35.54,17.18,18.42,2.66,65.6,39.55,47.22,2.94
130.0,35.61,17.16,18.39,2.66,65.6,39.48,47.22,2.94
132.0,35.54,17.14,18.39,2.67,65.6,39.4,47.12,2.95
134.0,35.61,17.16,18.42,2.68,65.6,39.4,47.22,2.96
136.0,35.61,17.11,18.42,2.68,65.6,39.4,47.22,2.97
138.0,35.54,17.11,18.44,2.7,65.6,39.4,47.22,2.98
140.0,35.54,17.09,18.42,2.7,65.41,39.32,47.12,2.99
142.0,35.54,17.09,18.39,2.71,65.6,39.32,47.12,3.0
144.0,35.61,17.14,18.44,2.72,65.6,39.4,47.22,3.0
146.0,35.61,17.16,18.47,2.73,65.6,39.48,47.33,3.01
148.0,35.54,17.16,18.44,2.74,65.6,39.48,47.33,3.03
150.0,35.41,17.07,18.36,2.75,65.41,39.32,47.22,3.03
152.0,35.34,17.09,18.36,2.75,65.41,39.24,47.22,3.03
154.0,35.34,17.09,18.36,2.76,65.41,39.32,47.12,3.05
156.0,35.48,17.14,18.5,2.79,65.6,39.48,47.65,3.08
158.0,35.81,17.28,18.73,2.83,66.34,39.95,48.52,3.12
160.0,36.08,17.35,19.0,2.92,66.91,40.27,49.3,3.19
162.0,36.43,17.47,19.27,3.04,67.48,40.77,49.98,3.31
164.0,36.71,17.57,19.52,3.18,68.06,41.27,50.8,3.42
166.0,36.92,17.59,19.67,3.32,68.46,41.52,51.16,3.55
168.0,36.99,17.59,19.78,3.48,68.66,41.69,51.52,3.69
170.0,36.99,17.57,19.86,3.63,68.86,41.87,51.89,3.83
172.0,37.27,17.64,19.98,3.8,69.26,42.13,52.26,3.98
174.0,37.35,17.69,20.07,3.96,69.67,42.3,52.51,4.14
176.0,37.42,17.67,20.16,4.12,69.67,42.39,52.76,4.28
178.0,37.56,17.69,20.24,4.27,70.08,42.39,53.02,4.44
180.0,37.71,17.77,20.36,4.43,70.28,42.75,53.4,4.58
182.0,37.86,17.84,20.45,4.57,70.49,43.02,53.53,4.73
184.0,38.01,17.84,20.54,4.7,70.7,43.11,53.92,4.87
186.0,38.01,17.84,20.54,4.82,70.91,43.02,53.92,5.0
188.0,37.93,17.79,20.54,4.92,70.7,43.02,53.92,5.13
190.0,37.71,17.67,20.39,5.0,70.49,42.75,53.79,5.22
192.0,37.78,17.67,20.42,5.09,70.49,42.84,53.79,5.35
194.0,37.86,17.69,20.45,5.15,70.91,42.75,53.92,5.44
196.0,38.01,17.72,20.54,5.24,70.91,43.02,54.32,5.56
198.0,38.08,17.74,20.6,5.3,71.12,43.02,54.32,5.64
200.0,38.01,17.69,20.57,5.36,71.12,43.02,54.45,5.73
202.0,37.86,17.69,20.57,5.41,71.12,43.02,54.32,5.82
204.0,37.78,17.69,20.54,5.45,71.12,42.92,54.19,5.9
206.0,37.71,17.67,20.51,5.49,71.12,42.92,54.19,5.98
208.0,37.71,17.67,20.48,5.54,70.91,43.02,54.32,6.04
210.0,37.71,17.69,20.51,5.57,70.91,43.02,54.19,6.12
212.0,37.64,17.67,20.45,5.61,70.91,43.02,54.19,6.17
214.0,37.71,17.67,20.48,5.64,70.7,43.02,54.19,6.24
216.0,37.71,17.69,20.54,5.67,70.91,43.02,54.19,6.3
218.0,37.78,17.72,20.54,5.7,70.91,43.11,54.32,6.34
220.0,37.78,17.69,20.51,5.71,70.91,43.02,54.32,6.38
222.0,37.71,17.62,20.42,5.72,70.7,42.92,54.19,6.42
224.0,37.78,17.67,20.51,5.74,70.91,42.92,54.19,6.46
226.0,38.01,17.69,20.57,5.76,71.33,43.11,54.45,6.5
228.0,37.86,17.64,20.54,5.78,71.12,42.84,54.32,6.54
230.0,37.86,17.64,20.54,5.8,71.12,43.02,54.45,6.57
232.0,37.78,17.59,20.54,5.79,70.91,42.92,54.32,6.6
234.0,37.78,17.62,20.51,5.81,71.12,42.92,54.32,6.63
236.0,37.86,17.64,20.54,5.82,71.12,42.92,54.45,6.66
238.0,37.86,17.64,20.54,5.82,70.91,43.02,54.32,6.7
240.0,37.86,17.64,20.54,5.84,71.12,43.02,54.45,6.71
242.0,37.78,17.59,20.48,5.83,70.91,42.92,54.19,6.73
244.0,37.86,17.64,20.57,5.85,71.12,43.02,54.45,6.77
246.0,38.01,17.69,20.6,5.86,71.12,43.02,54.59,6.79
248.0,37.93,17.62,20.57,5.86,71.12,43.02,54.45,6.8
250.0,38.01,17.67,20.63,5.88,71.12,43.11,54.59,6.84
252.0,37.86,17.62,20.54,5.87,70.91,42.92,54.32,6.85
254.0,37.86,17.59,20.57,5.88,71.12,43.02,54.32,6.85
256.0,38.01,17.69,20.66,5.9,71.33,43.11,54.59,6.88
258.0,37.78,17.62,20.51,5.89,70.91,42.92,54.32,6.89
260.0,37.64,17.55,20.45,5.88,70.7,42.84,54.05,6.9
262.0,37.49,17.5,20.36,5.87,70.49,42.66,53.92,6.9
264.0,37.71,17.59,20.45,5.9,70.7,42.84,54.19,6.91
266.0,37.71,17.59,20.51,5.9,70.7,42.92,54.19,6.93
268.0,37.78,17.59,20.51,5.9,70.7,42.84,54.19,6.94
270.0,37.78,17.62,20.54,5.9,70.7,42.92,54.19,6.95
272.0,37.71,17.55,20.45,5.9,70.7,42.75,54.05,6.96
274.0,37.71,17.52,20.45,5.9,70.7,42.75,54.19,6.97
276.0,37.78,17.57,20.48,5.9,70.91,42.84,54.19,6.97
278.0,37.78,17.59,20.51,5.91,70.91,42.84,54.19,6.99
280.0,37.71,17.55,20.48,5.91,70.91,42.75,54.19,6.99
282.0,37.64,17.57,20.48,5.91,70.91,42.92,54.32,7.01
284.0,37.56,17.57,20.45,5.91,70.7,42.84,54.19,7.01
286.0,37.42,17.5,20.39,5.91,70.49,42.66,53.92,7.01
288.0,37.49,17.5,20.39,5.92,70.49,42.66,54.05,7.03
290.0,37.56,17.57,20.42,5.92,70.7,42.84,54.05,7.03
