timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,49.5,24.36,27.65,7.71,90.55,53.0,72.35,7.7
2.0,49.5,24.36,27.74,7.71,90.88,53.12,72.35,7.7
4.0,49.5,24.44,27.74,7.73,90.88,53.0,72.35,7.7
6.0,49.5,24.4,27.69,7.73,90.55,53.12,72.35,7.7
8.0,49.5,24.4,27.69,7.71,90.55,53.12,72.35,7.71
10.0,49.27,24.33,27.65,7.71,90.55,53.0,72.14,7.7
12.0,49.39,24.33,27.65,7.71,90.55,53.0,72.57,7.71
14.0,49.39,24.33,27.65,7.72,90.55,53.0,72.14,7.71
16.0,49.27,24.33,27.6,7.71,90.23,52.87,72.14,7.71
18.0,49.27,24.33,27.56,7.71,90.23,52.74,72.14,7.71
20.0,49.27,24.33,27.6,7.71,90.23,52.87,71.92,7.71
22.0,49.39,24.33,27.6,7.72,90.23,52.87,72.14,7.72
24.0,49.39,24.33,27.65,7.74,90.55,52.87,72.14,7.72
26.0,49.39,24.36,27.69,7.73,90.55,53.0,72.14,7.72
28.0,49.5,24.36,27.69,7.75,90.55,52.87,72.35,7.74
30.0,49.5,24.36,27.69,7.74,90.88,53.0,72.35,7.74
32.0,49.62,24.4,27.74,7.75,91.2,53.12,72.35,7.74
34.0,49.62,24.4,27.79,7.75,90.88,53.0,72.35,7.74
36.0,49.62,24.36,27.79,7.76,90.88,53.12,72.35,7.74
38.0,49.62,24.4,27.74,7.77,90.88,53.12,72.35,7.75
40.0,49.39,24.36,27.74,7.77,90.88,53.0,72.35,7.75
42.0,49.39,24.4,27.69,7.76,90.55,53.0,72.35,7.76
44.0,49.27,24.36,27.65,7.77,90.55,53.0,72.14,7.76
46.0,49.27,24.33,27.56,7.76,90.55,52.87,71.92,7.74
48.0,49.27,24.33,27.6,7.76,90.55,53.0,72.14,7.75
50.0,49.16,24.33,27.6,7.77,90.55,52.87,71.92,7.76
52.0,49.27,24.29,27.6,7.77,90.23,52.87,71.71,7.75
54.0,49.85,24.33,27.74,7.76,90.88,53.0,71.71,7.76
56.0,49.73,24.36,27.51,7.56,90.23,52.87,70.03,7.44
58.0,47.62,24.33,25.42,5.46,83.3,52.87,60.59,5.3
60.0,45.27,24.33,23.72,3.25,76.31,53.12,54.99,3.27
62.0,43.37,24.33,22.7,2.2,72.2,53.0,52.01,2.26
64.0,42.03,24.33,22.02,1.74,69.26,53.0,50.1,1.77
66.0,41.09,24.33,21.53,1.51,67.48,53.0,48.62,1.51
68.0,40.34,24.29,21.15,1.38,65.78,52.74,47.54,1.37
70.0,39.86,24.25,20.88,1.3,64.69,52.62,46.7,1.28
72.0,39.54,24.29,20.63,1.24,63.98,52.74,46.29,1.22
74.0,39.3,24.29,20.48,1.2,63.28,52.87,45.79,1.18
76.0,39.15,24.33,20.36,1.18,62.93,52.62,45.49,1.15
78.0,38.99,24.29,20.21,1.15,62.42,52.62,45.1,1.12
80.0,38.76,24.25,20.1,1.14,61.92,52.49,44.9,1.1
82.0,38.61,24.18,20.01,1.12,61.76,52.37,44.61,1.09
84.0,38.46,24.14,19.92,1.11,61.42,52.37,44.52,1.08
86.0,38.38,24.18,19.89,1.1,61.26,52.24,44.42,1.07
88.0,38.38,24.21,19.84,1.1,61.26,52.24,44.33,1.06
90.0,38.38,24.21,19.84,1.09,61.1,52.37,44.33,1.06
92.0,38.3,24.21,19.78,1.09,60.94,52.24,44.23,1.05
94.0,38.3,24.21,19.78,1.09,60.94,52.37,44.14,1.05
96.0,38.3,24.21,19.78,1.09,60.77,52.24,44.14,1.05
98.0,38.3,24.21,19.75,1.09,60.77,52.24,44.14,1.04
100.0,38.3,24.18,19.72,1.08,60.61,52.24,43.95,1.04
102.0,38.16,24.18,19.69,1.08,60.77,52.24,43.95,1.04
104.0,38.3,24.21,19.72,1.08,60.61,52.24,43.95,1.03
106.0,38.3,24.21,19.72,1.08,60.61,52.24,43.95,1.03
108.0,38.3,24.21,19.69,1.08,60.61,52.37,43.95,1.03
110.0,38.23,24.21,19.72,1.08,60.61,52.24,43.95,1.03
112.0,38.23,24.21,19.67,1.07,60.61,52.37,43.95,1.03
114.0,38.23,24.25,19.67,1.08,60.45,52.24,43.86,1.03
116.0,38.16,24.18,19.67,1.07,60.45,52.24,43.86,1.03
118.0,38.16,24.14,19.61,1.07,60.29,52.24,43.86,1.02
120.0,38.08,24.14,19.61,1.07,60.29,52.24,43.86,1.03
122.0,38.01,24.1,19.58,1.07,60.13,51.99,43.86,1.03
124.0,38.01,24.1,19.55,1.07,60.13,52.12,43.86,1.02
126.0,38.01,24.1,19.58,1.08,60.13,51.99,43.77,1.02
128.0,38.01,24.14,19.58,1.08,60.29,51.99,43.77,1.03
130.0,38.01,24.14,19.58,1.07,60.13,52.12,43.77,1.02
132.0,38.01,24.14,19.58,1.07,60.29,52.24,43.77,1.02
