timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,36.15,17.07,19.67,5.77,67.67,41.78,52.38,6.82
2.0,36.02,17.04,19.61,5.78,67.48,41.78,52.26,6.82
4.0,36.08,17.04,19.61,5.77,67.48,41.69,52.14,6.82
6.0,36.02,17.07,19.67,5.77,67.48,41.61,52.26,6.83
8.0,36.08,17.07,19.69,5.78,67.67,41.87,52.38,6.83
10.0,36.08,17.07,19.67,5.78,67.48,41.78,52.26,6.84
12.0,36.02,17.04,19.61,5.78,67.48,41.69,52.14,6.82
14.0,36.02,17.02,19.61,5.77,67.48,41.69,52.14,6.82
16.0,36.02,17.02,19.58,5.77,67.29,41.52,52.14,6.81
18.0,36.08,17.07,19.61,5.78,67.29,41.69,52.14,6.82
20.0,36.02,17.04,19.61,5.77,67.48,41.69,52.14,6.81
22.0,36.08,17.04,19.61,5.77,67.48,41.69,52.14,6.82
24.0,36.08,17.02,19.61,5.77,67.48,41.61,52.14,6.81
26.0,36.08,17.02,19.64,5.77,67.48,41.69,52.14,6.81
28.0,36.02,17.0,19.58,5.77,67.48,41.52,52.14,6.81
30.0,35.95,17.0,19.61,5.77,67.48,41.61,52.14,6.82
32.0,36.15,17.04,19.67,5.77,67.48,41.69,52.26,6.83
34.0,36.15,17.07,19.67,5.78,67.48,41.69,52.26,6.82
36.0,36.15,17.07,19.64,5.77,67.48,41.69,52.26,6.82
38.0,36.22,17.11,19.69,5.78,67.67,41.87,52.38,6.81
40.0,36.22,17.11,19.72,5.78,67.67,41.87,52.38,6.83
42.0,36.15,17.11,19.72,5.78,67.67,41.78,52.38,6.82
44.0,36.08,17.07,19.64,5.78,67.48,41.78,52.26,6.82
46.0,35.95,17.0,19.58,5.77,67.29,41.61,52.01,6.81
48.0,36.02,17.04,19.58,5.77,67.29,41.61,52.01,6.82
50.0,36.02,17.0,19.61,5.77,67.48,41.61,52.14,6.82
52.0,35.95,17.07,19.61,5.79,67.48,41.69,52.14,6.82
54.0,35.95,17.07,19.61,5.78,67.48,41.69,51.89,6.82
56.0,36.22,17.07,19.67,5.78,67.67,41.69,51.64,6.82
58.0,35.54,16.93,18.73,5.67,65.6,41.18,46.4,6.75
60.0,31.36,16.4,15.97,5.12,52.9,38.47,34.86,6.28
62.0,28.78,15.83,14.69,4.25,46.7,35.7,31.56,5.54
64.0,27.29,15.41,13.97,3.47,43.66,33.71,30.01,4.81
66.0,26.41,15.12,13.51,2.88,41.96,32.4,29.06,4.21
68.0,25.82,14.92,13.23,2.49,40.85,31.55,28.43,3.74
70.0,25.34,14.74,12.96,2.22,39.95,30.79,27.92,3.4
72.0,25.02,14.6,12.79,2.05,39.32,30.31,27.55,3.13
74.0,24.74,14.47,12.64,1.93,38.85,29.95,27.19,2.93
76.0,24.59,14.41,12.54,1.85,38.47,29.69,27.02,2.78
78.0,24.55,14.37,12.47,1.79,38.24,29.44,26.88,2.65
80.0,24.55,14.37,12.46,1.75,38.17,29.29,26.84,2.57
82.0,24.51,14.35,12.44,1.72,38.02,29.24,26.75,2.49
84.0,24.36,14.3,12.38,1.7,37.87,29.05,26.67,2.44
86.0,24.28,14.24,12.31,1.68,37.73,28.9,26.58,2.39
88.0,24.28,14.26,12.3,1.67,37.73,28.85,26.54,2.35
90.0,24.25,14.26,12.28,1.66,37.58,28.85,26.5,2.32
92.0,24.21,14.24,12.27,1.65,37.51,28.8,26.45,2.29
94.0,24.17,14.22,12.23,1.64,37.44,28.75,26.41,2.27
96.0,24.13,14.18,12.22,1.63,37.44,28.66,26.37,2.26
98.0,24.13,14.2,12.23,1.63,37.36,28.66,26.37,2.25
100.0,24.13,14.2,12.22,1.63,37.36,28.66,26.32,2.23
102.0,24.17,14.22,12.23,1.63,37.44,28.66,26.37,2.22
104.0,24.17,14.24,12.23,1.63,37.44,28.71,26.41,2.22
106.0,24.21,14.26,12.25,1.63,37.44,28.66,26.41,2.21
108.0,24.17,14.26,12.25,1.63,37.44,28.71,26.41,2.21
110.0,24.17,14.28,12.23,1.63,37.44,28.71,26.41,2.21
112.0,24.13,14.22,12.2,1.63,37.29,28.66,26.32,2.2
114.0,24.13,14.24,12.19,1.63,37.36,28.61,26.32,2.2
116.0,24.09,14.2,12.19,1.62,37.29,28.52,26.28,2.19
118.0,24.09,14.16,12.19,1.62,37.29,28.52,26.28,2.19
120.0,24.17,14.2,12.2,1.62,37.29,28.56,26.32,2.19
122.0,24.17,14.22,12.2,1.63,37.36,28.56,26.32,2.19
124.0,24.13,14.22,12.19,1.63,37.29,28.52,26.32,2.19
126.0,24.13,14.22,12.2,1.62,37.29,28.56,26.32,2.19
128.0,24.13,14.22,12.17,1.62,37.22,28.42,26.28,2.19
130.0,24.09,14.18,12.17,1.62,37.22,28.47,26.24,2.18
132.0,24.09,14.2,12.15,1.62,37.15,28.47,26.24,2.18
134.0,24.09,14.2,12.15,1.62,37.22,28.47,26.24,2.18
136.0,24.09,14.2,12.15,1.62,37.22,28.47,26.28,2.18
138.0,24.09,14.18,12.15,1.62,37.22,28.47,26.28,2.18
140.0,24.13,14.18,12.17,1.62,37.22,28.47,26.32,2.18
142.0,24.13,14.16,12.17,1.62,37.29,28.42,26.28,2.18
144.0,24.17,14.16,12.19,1.62,37.29,28.42,26.28,2.17
146.0,24.21,14.2,12.22,1.62,37.36,28.42,26.32,2.17
148.0,24.21,14.2,12.22,1.62,37.29,28.47,26.32,2.18
150.0,24.25,14.2,12.22,1.62,37.36,28.47,26.32,2.18
152.0,24.21,14.16,12.22,1.62,37.36,28.47,26.32,2.18
154.0,24.17,14.18,12.17,1.62,37.29,28.42,26.28,2.17
156.0,24.21,14.18,12.19,1.62,37.29,28.47,26.37,2.18
158.0,24.55,14.24,12.38,1.63,38.1,28.56,27.42,2.18
160.0,25.21,14.37,12.86,1.67,40.03,29.05,29.45,2.22
162.0,26.24,14.6,13.46,1.73,42.4,29.8,31.51,2.27
164.0,27.33,14.88,14.1,1.82,44.8,30.73,33.54,2.36
166.0,28.39,15.1,14.69,1.93,47.11,31.72,35.45,2.45
168.0,29.32,15.37,15.27,2.05,49.29,32.69,37.24,2.55
170.0,30.23,15.6,15.78,2.18,51.28,33.71,38.87,2.67
172.0,30.98,15.79,16.21,2.33,53.02,34.46,40.29,2.8
174.0,31.64,15.94,16.64,2.48,54.73,35.36,41.62,2.95
176.0,32.2,16.09,17.01,2.65,56.11,36.1,42.85,3.09
178.0,32.72,16.22,17.34,2.81,57.4,36.73,43.95,3.24
180.0,33.2,16.36,17.66,2.98,58.59,37.37,45.0,3.39
182.0,33.56,16.42,17.88,3.17,59.51,37.88,45.69,3.54
184.0,33.81,16.51,18.11,3.32,60.45,38.32,46.4,3.7
186.0,34.18,16.56,18.31,3.49,61.26,38.7,47.12,3.83
188.0,34.44,16.67,18.47,3.65,61.92,39.09,47.65,3.98
190.0,34.69,16.76,18.65,3.81,62.76,39.48,48.19,4.12
192.0,34.76,16.72,18.73,3.95,62.93,39.63,48.41,4.26
194.0,34.82,16.74,18.76,4.08,63.28,39.71,48.74,4.4
196.0,34.95,16.74,18.87,4.21,63.63,39.87,48.96,4.52
198.0,35.15,16.81,19.0,4.33,63.98,40.19,49.3,4.65
200.0,35.34,16.83,19.05,4.45,64.33,40.36,49.64,4.76
202.0,35.41,16.88,19.14,4.55,64.69,40.44,49.98,4.88
204.0,35.48,16.88,19.19,4.65,65.05,40.6,50.1,4.98
206.0,35.48,16.88,19.22,4.73,65.23,40.52,50.21,5.08
208.0,35.48,16.86,19.19,4.81,65.23,40.52,50.21,5.17
210.0,35.54,16.86,19.22,4.87,65.23,40.6,50.21,5.25
212.0,35.61,16.83,19.27,4.93,65.41,40.6,50.45,5.34
214.0,35.74,16.86,19.33,4.99,65.78,40.77,50.56,5.41
216.0,35.88,16.93,19.44,5.05,65.97,40.93,50.92,5.5
218.0,35.95,16.95,19.44,5.11,65.97,40.93,51.04,5.57
220.0,35.95,16.97,19.47,5.15,66.15,41.02,51.04,5.62
222.0,35.88,16.95,19.44,5.2,66.15,40.93,51.04,5.68
224.0,35.88,16.95,19.5,5.23,66.15,41.02,51.16,5.74
226.0,35.88,16.95,19.44,5.26,66.34,40.93,51.04,5.79
228.0,35.88,16.88,19.47,5.29,66.15,40.93,51.04,5.83
230.0,35.88,16.93,19.47,5.31,66.34,40.93,51.16,5.88
232.0,36.02,16.97,19.5,5.36,66.34,41.1,51.16,5.92
234.0,35.95,16.95,19.52,5.37,66.53,41.02,51.28,5.97
236.0,36.02,16.97,19.52,5.39,66.53,41.1,51.4,6.01
238.0,35.88,16.93,19.55,5.42,66.53,41.1,51.28,6.04
240.0,36.02,16.97,19.52,5.42,66.53,41.1,51.4,6.08
242.0,36.08,16.97,19.58,5.45,66.53,41.18,51.4,6.1
244.0,36.08,17.0,19.61,5.46,66.91,41.27,51.52,6.16
246.0,36.08,17.04,19.61,5.49,66.91,41.27,51.64,6.18
248.0,35.95,17.02,19.55,5.5,66.91,41.27,51.52,6.21
250.0,35.95,17.04,19.55,5.51,66.72,41.18,51.52,6.23
252.0,35.88,17.0,19.52,5.52,66.53,41.27,51.4,6.25
254.0,35.88,16.97,19.5,5.53,66.53,41.18,51.4,6.27
256.0,35.81,16.95,19.44,5.53,66.72,41.1,51.28,6.3
258.0,35.68,16.95,19.44,5.55,66.53,41.1,51.28,6.3
260.0,35.74,16.9,19.39,5.55,66.15,41.02,51.04,6.33
262.0,35.88,16.95,19.44,5.55,66.53,41.18,51.16,6.35
264.0,36.02,16.97,19.55,5.57,66.72,41.18,51.4,6.37
266.0,36.02,17.0,19.55,5.58,66.91,41.27,51.52,6.37
268.0,36.15,17.02,19.61,5.59,66.91,41.18,51.64,6.4
270.0,36.15,17.07,19.61,5.61,66.91,41.44,51.64,6.42
272.0,36.15,17.04,19.64,5.61,66.91,41.35,51.64,6.43
274.0,36.08,16.97,19.58,5.61,66.91,41.35,51.64,6.44
276.0,36.15,17.02,19.61,5.61,66.91,41.35,51.64,6.46
278.0,36.15,17.04,19.64,5.62,67.1,41.35,51.89,6.48
280.0,36.15,17.02,19.64,5.62,67.1,41.27,51.77,6.49
282.0,36.22,17.02,19.64,5.64,67.29,41.44,51.89,6.49
284.0,36.22,17.02,19.64,5.64,67.29,41.35,51.89,6.5
286.0,36.29,17.02,19.69,5.64,67.29,41.44,51.77,6.52
288.0,36.22,17.04,19.67,5.65,67.29,41.35,51.89,6.52
290.0,36.36,17.04,19.72,5.64,67.29,41.44,52.01,6.53
292.0,36.22,16.97,19.64,5.65,67.1,41.27,51.77,6.53
294.0,36.22,17.02,19.64,5.65,67.29,41.35,51.89,6.55
296.0,36.15,17.0,19.64,5.65,67.29,41.35,51.77,6.56
298.0,36.15,17.0,19.61,5.66,67.1,41.27,51.77,6.56
300.0,36.02,17.02,19.64,5.66,67.1,41.35,51.64,6.57
302.0,36.15,17.04,19.67,5.67,67.29,41.44,51.89,6.57
304.0,36.15,17.04,19.67,5.67,67.1,41.44,51.89,6.58
306.0,36.22,17.04,19.67,5.67,67.1,41.44,52.01,6.6
308.0,36.22,17.07,19.67,5.67,67.29,41.44,51.89,6.6
310.0,36.29,17.11,19.75,5.7,67.48,41.61,52.26,6.61
312.0,36.22,17.07,19.69,5.68,67.48,41.52,52.01,6.61
314.0,36.22,17.07,19.69,5.69,67.29,41.44,52.01,6.62
316.0,36.15,17.04,19.69,5.69,67.29,41.44,52.01,6.61
318.0,36.08,17.0,19.61,5.7,67.29,41.35,51.89,6.62
320.0,36.02,16.97,19.61,5.69,67.1,41.27,51.77,6.62
322.0,35.95,16.97,19.55,5.68,67.1,41.27,51.89,6.63
324.0,35.88,16.95,19.5,5.67,66.91,41.27,51.52,6.63
326.0,35.95,16.97,19.52,5.68,66.91,41.27,51.64,6.62
328.0,35.95,17.0,19.55,5.69,67.1,41.35,51.89,6.64
330.0,36.02,17.02,19.58,5.7,67.29,41.44,51.77,6.65
332.0,36.08,17.04,19.64,5.7,67.29,41.52,51.89,6.66
334.0,36.08,17.04,19.61,5.7,67.29,41.52,51.89,6.67
336.0,36.02,17.0,19.55,5.7,67.1,41.44,51.77,6.66
338.0,35.95,16.97,19.52,5.7,66.91,41.44,51.64,6.66
340.0,35.74,16.97,19.47,5.7,66.72,41.18,51.52,6.65
342.0,35.81,16.95,19.47,5.69,66.91,41.27,51.64,6.65
344.0,35.88,16.95,19.47,5.7,66.72,41.27,51.64,6.66
346.0,35.88,16.97,19.5,5.7,66.72,41.27,51.64,6.66
348.0,35.88,16.97,19.52,5.7,66.91,41.27,51.89,6.67
350.0,35.88,16.95,19.5,5.7,66.72,41.27,51.52,6.66
352.0,35.95,16.97,19.52,5.7,66.91,41.27,51.64,6.67
354.0,36.08,17.02,19.58,5.72,67.1,41.52,51.77,6.68
356.0,36.08,17.02,19.58,5.71,67.1,41.35,51.64,6.7
358.0,35.95,16.95,19.52,5.7,66.91,41.27,51.64,6.68
360.0,35.88,16.93,19.52,5.7,66.91,41.27,51.77,6.67
362.0,36.02,16.95,19.55,5.7,67.1,41.35,51.77,6.69
364.0,36.02,16.97,19.55,5.71,66.91,41.27,51.77,6.68
366.0,36.02,17.0,19.58,5.72,67.1,41.35,51.77,6.68
368.0,36.08,16.97,19.58,5.72,67.1,41.35,51.89,6.69
370.0,36.02,16.93,19.55,5.7,67.1,41.27,51.89,6.69
372.0,36.02,16.9,19.55,5.7,66.91,41.18,51.64,6.68
374.0,35.95,16.93,19.55,5.7,67.1,41.27,51.77,6.68
376.0,35.95,16.95,19.55,5.7,67.1,41.27,51.77,6.69
378.0,35.88,16.9,19.52,5.7,66.91,41.18,51.64,6.69
380.0,36.02,17.0,19.58,5.71,67.1,41.27,51.89,6.71
382.0,36.02,16.97,19.58,5.72,67.1,41.27,51.77,6.7
384.0,36.08,16.97,19.58,5.72,67.1,41.35,51.89,6.7
386.0,36.15,17.04,19.61,5.74,67.29,41.44,52.01,6.7
388.0,36.15,17.0,19.61,5.72,67.48,41.35,52.01,6.71
390.0,36.08,17.0,19.64,5.73,67.29,41.35,52.14,6.71
392.0,36.15,17.02,19.69,5.74,67.48,41.44,52.14,6.71
394.0,36.22,17.04,19.67,5.74,67.48,41.44,52.26,6.71
396.0,36.15,17.07,19.69,5.74,67.67,41.52,52.26,6.73
398.0,36.15,17.04,19.69,5.74,67.48,41.52,52.26,6.71
400.0,36.15,17.07,19.69,5.74,67.67,41.44,52.26,6.73
402.0,36.15,17.07,19.69,5.74,67.48,41.52,52.14,6.73
404.0,36.15,17.07,19.69,5.75,67.67,41.52,52.14,6.72
406.0,36.08,17.04,19.64,5.74,67.48,41.52,52.14,6.73
408.0,36.08,17.07,19.64,5.75,67.29,41.44,52.01,6.73
410.0,36.08,17.07,19.64,5.76,67.48,41.52,52.01,6.73
412.0,36.08,17.07,19.64,5.75,67.48,41.52,52.14,6.74
414.0,36.15,17.09,19.64,5.77,67.48,41.61,52.14,6.75
416.0,36.02,17.02,19.61,5.75,67.29,41.44,52.01,6.74
418.0,35.95,17.0,19.55,5.74,67.1,41.35,51.77,6.73
420.0,35.81,16.93,19.47,5.73,66.91,41.27,51.64,6.72
422.0,35.95,17.02,19.52,5.74,66.91,41.35,51.89,6.73
424.0,35.95,17.02,19.55,5.74,67.1,41.35,51.89,6.73
426.0,35.95,17.0,19.55,5.75,67.1,41.35,51.89,6.74
428.0,36.02,17.0,19.58,5.74,67.1,41.44,51.89,6.73
430.0,35.95,17.04,19.55,5.74,67.1,41.44,51.89,6.74
432.0,36.02,17.02,19.58,5.74,67.1,41.35,52.01,6.74
434.0,36.02,17.04,19.61,5.75,67.29,41.52,52.01,6.76
436.0,36.15,17.09,19.67,5.76,67.48,41.61,52.26,6.75
438.0,36.15,17.11,19.69,5.76,67.48,41.61,52.26,6.76
440.0,36.22,17.09,19.69,5.77,67.48,41.61,52.14,6.76
442.0,36.29,17.11,19.69,5.78,67.67,41.69,52.26,6.77
444.0,36.15,17.09,19.69,5.77,67.48,41.52,52.26,6.76
446.0,36.08,17.07,19.64,5.78,67.48,41.61,52.14,6.76
448.0,36.15,17.09,19.64,5.77,67.48,41.61,52.14,6.77
450.0,36.15,17.09,19.64,5.77,67.48,41.61,52.26,6.76
452.0,36.02,17.02,19.61,5.76,67.29,41.52,51.89,6.76
454.0,35.88,17.0,19.55,5.75,67.1,41.35,51.89,6.75
456.0,35.95,17.0,19.52,5.76,67.1,41.44,51.77,6.76
458.0,36.15,17.07,19.64,5.76,67.29,41.52,52.14,6.77
460.0,36.15,17.07,19.67,5.77,67.48,41.61,52.01,6.76
462.0,36.15,17.04,19.61,5.76,67.48,41.44,52.14,6.76
464.0,36.15,17.04,19.67,5.77,67.48,41.52,52.14,6.76
466.0,36.08,17.0,19.64,5.77,67.48,41.44,52.01,6.76
468.0,36.22,17.04,19.72,5.76,67.67,41.44,52.14,6.76
470.0,36.36,17.11,19.75,5.77,67.67,41.61,52.38,6.77
472.0,36.43,17.16,19.81,5.78,68.06,41.78,52.38,6.78
474.0,36.43,17.16,19.84,5.79,68.06,41.78,52.51,6.79
476.0,36.22,17.09,19.72,5.78,67.48,41.69,52.26,6.77
478.0,36.15,17.04,19.67,5.77,67.48,41.52,52.14,6.77
480.0,36.15,17.04,19.61,5.77,67.29,41.44,52.14,6.77
482.0,36.15,17.02,19.64,5.76,67.48,41.52,52.14,6.78
484.0,36.08,16.97,19.58,5.75,67.48,41.44,52.14,6.76
486.0,35.88,16.95,19.5,5.75,67.1,41.27,51.89,6.75
488.0,35.81,16.9,19.47,5.75,67.1,41.18,51.89,6.75
490.0,35.81,16.9,19.5,5.73,67.1,41.18,51.77,6.74
492.0,35.95,16.93,19.52,5.74,67.29,41.27,51.89,6.75
494.0,35.81,16.88,19.47,5.73,66.91,41.1,51.77,6.74
496.0,35.88,16.9,19.5,5.73,67.1,41.18,51.89,6.74
498.0,35.88,16.88,19.5,5.73,67.1,41.18,51.89,6.74
500.0,35.88,16.9,19.52,5.73,67.1,41.27,51.77,6.75
502.0,35.74,16.81,19.44,5.72,66.72,41.1,51.64,6.74
504.0,35.88,16.88,19.5,5.72,66.91,41.1,51.77,6.74
506.0,35.61,16.74,19.36,5.7,66.72,40.77,51.4,6.73
508.0,35.68,16.79,19.39,5.7,66.72,40.93,51.4,6.72
510.0,35.81,16.86,19.44,5.7,66.91,41.02,51.77,6.73
512.0,36.02,16.95,19.58,5.72,67.48,41.27,52.01,6.74
514.0,36.15,16.97,19.61,5.74,67.48,41.35,52.01,6.75
516.0,36.08,17.02,19.67,5.74,67.48,41.44,52.14,6.76
518.0,36.08,17.0,19.67,5.74,67.48,41.44,52.14,6.76
520.0,35.95,16.97,19.64,5.75,67.48,41.35,52.14,6.77
522.0,36.02,17.02,19.64,5.76,67.48,41.44,52.14,6.78
524.0,36.02,17.0,19.64,5.74,67.48,41.44,52.14,6.77
526.0,36.08,16.97,19.64,5.76,67.87,41.44,52.14,6.77
528.0,36.15,17.07,19.67,5.75,67.67,41.52,52.26,6.77
530.0,35.95,16.93,19.58,5.74,67.29,41.27,52.01,6.76
532.0,35.81,16.88,19.47,5.74,67.1,41.1,51.77,6.75
534.0,36.02,16.97,19.58,5.74,67.48,41.35,52.14,6.77
536.0,36.15,17.02,19.67,5.76,67.48,41.52,52.26,6.77
538.0,36.22,17.07,19.75,5.77,67.67,41.61,52.26,6.78
540.0,35.88,16.9,19.52,5.76,67.1,41.18,51.89,6.75
542.0,35.68,16.81,19.39,5.73,66.72,41.02,51.64,6.74
544.0,35.81,16.88,19.47,5.73,66.91,41.1,51.64,6.75
546.0,35.81,16.88,19.5,5.74,66.91,41.18,51.64,6.74
548.0,36.02,16.97,19.55,5.74,67.48,41.27,52.14,6.75
550.0,36.08,17.0,19.61,5.75,67.48,41.44,52.14,6.76
552.0,36.22,17.09,19.72,5.77,67.87,41.61,52.38,6.78
554.0,36.15,17.07,19.72,5.77,67.87,41.44,52.26,6.77
556.0,36.22,17.07,19.72,5.77,67.87,41.61,52.26,6.77
558.0,36.15,17.02,19.67,5.78,67.67,41.52,52.14,6.77
560.0,36.08,17.0,19.61,5.76,67.48,41.44,52.14,6.77
562.0,35.95,16.93,19.55,5.75,67.29,41.27,51.89,6.77
564.0,35.95,16.95,19.55,5.75,67.29,41.35,51.89,6.75
566.0,35.95,16.97,19.55,5.75,67.29,41.44,51.89,6.75
568.0,36.02,16.97,19.61,5.75,67.29,41.35,52.01,6.75
570.0,36.02,16.97,19.58,5.75,67.29,41.35,52.01,6.76
572.0,35.95,16.95,19.52,5.75,67.1,41.27,52.01,6.75
574.0,36.02,16.97,19.58,5.75,67.29,41.44,52.01,6.76
576.0,36.02,17.02,19.58,5.75,67.48,41.44,52.14,6.75
578.0,36.02,17.0,19.61,5.76,67.48,41.44,52.14,6.75
580.0,36.08,17.04,19.67,5.77,67.48,41.52,52.14,6.76
582.0,36.15,17.04,19.67,5.76,67.48,41.44,52.26,6.78
584.0,36.22,17.02,19.67,5.78,67.48,41.44,52.26,6.77
586.0,36.15,17.02,19.67,5.77,67.48,41.52,52.14,6.76
588.0,36.15,17.04,19.67,5.77,67.48,41.44,52.26,6.76
590.0,36.08,17.04,19.64,5.78,67.67,41.35,52.26,6.76
592.0,36.02,17.0,19.61,5.76,67.48,41.44,52.14,6.77
594.0,36.02,17.04,19.61,5.76,67.48,41.44,52.14,6.76
596.0,35.95,17.02,19.61,5.77,67.48,41.44,52.01,6.77
598.0,35.95,17.0,19.58,5.75,67.29,41.44,52.14,6.75
