timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,40.1,20.22,22.66,8.07,73.52,44.5,59.8,8.13
2.0,40.1,20.25,22.66,8.07,73.52,44.41,59.95,8.14
4.0,40.1,20.22,22.63,8.06,73.52,44.5,59.8,8.12
6.0,40.1,20.22,22.66,8.06,73.52,44.41,59.95,8.13
8.0,40.26,20.22,22.7,8.08,73.75,44.6,59.95,8.13
10.0,40.18,20.22,22.7,8.07,73.75,44.41,59.95,8.13
12.0,40.18,20.22,22.66,8.07,73.52,44.5,59.95,8.13
14.0,40.18,20.22,22.66,8.07,73.75,44.5,59.95,8.13
16.0,40.18,20.22,22.66,8.07,73.75,44.5,59.95,8.13
18.0,40.18,20.28,22.7,8.08,73.75,44.6,59.95,8.14
20.0,40.1,20.22,22.66,8.07,73.75,44.5,59.95,8.13
22.0,40.1,20.22,22.66,8.08,73.75,44.5,59.8,8.13
24.0,40.1,20.19,22.66,8.07,73.52,44.5,59.8,8.13
26.0,40.1,20.22,22.66,8.08,73.75,44.5,59.95,8.14
28.0,40.1,20.25,22.7,8.07,73.75,44.6,59.95,8.14
30.0,40.18,20.28,22.7,8.07,73.75,44.6,59.95,8.15
32.0,40.18,20.25,22.7,8.08,73.75,44.5,60.11,8.13
34.0,40.18,20.25,22.73,8.09,73.97,44.6,60.11,8.14
36.0,40.18,20.28,22.73,8.09,73.75,44.6,60.11,8.15
38.0,40.26,20.28,22.73,8.1,73.97,44.6,60.11,8.14
40.0,40.26,20.28,22.73,8.09,73.97,44.6,60.11,8.14
42.0,40.26,20.31,22.76,8.11,74.2,44.69,60.11,8.14
44.0,40.18,20.25,22.73,8.09,73.97,44.6,60.11,8.14
46.0,40.18,20.22,22.73,8.09,73.97,44.6,60.11,8.15
48.0,40.1,20.28,22.7,8.1,73.75,44.6,59.95,8.15
50.0,40.02,20.25,22.66,8.09,73.97,44.5,59.95,8.14
52.0,40.26,20.28,22.73,8.1,73.97,44.6,59.95,8.14
54.0,40.59,20.28,22.83,8.1,74.2,44.6,59.95,8.14
56.0,39.7,20.02,22.32,8.09,72.41,44.22,55.67,8.14
58.0,33.08,18.2,18.29,8.07,55.83,38.7,35.98,8.14
60.0,26.84,16.25,15.25,8.02,39.87,30.79,26.84,8.1
62.0,23.76,15.06,13.91,7.94,32.74,25.93,23.84,8.06
64.0,22.05,14.28,13.16,7.85,29.38,23.25,22.46,8.02
66.0,21.09,13.76,12.71,7.78,27.57,21.66,21.73,7.97
68.0,20.45,13.42,12.39,7.69,26.55,20.63,21.25,7.93
70.0,20.07,13.17,12.15,7.62,25.88,19.95,20.91,7.87
72.0,19.75,12.99,12.0,7.57,25.39,19.47,20.64,7.83
74.0,19.52,12.83,11.84,7.5,24.99,19.11,20.43,7.78
76.0,19.36,12.75,11.72,7.45,24.71,18.84,20.25,7.76
78.0,19.22,12.68,11.63,7.42,24.48,18.66,20.14,7.72
80.0,19.08,12.59,11.57,7.36,24.29,18.47,20.02,7.68
82.0,19.03,12.54,11.49,7.32,24.14,18.34,19.96,7.65
84.0,18.97,12.49,11.46,7.3,24.07,18.24,19.9,7.62
86.0,18.89,12.46,11.42,7.26,23.96,18.14,19.85,7.6
88.0,18.84,12.42,11.36,7.25,23.88,18.06,19.79,7.56
90.0,18.84,12.39,11.35,7.23,23.84,18.01,19.82,7.55
92.0,18.81,12.39,11.33,7.22,23.77,18.01,19.79,7.53
94.0,18.79,12.39,11.33,7.19,23.73,17.96,19.79,7.52
96.0,18.73,12.36,11.3,7.19,23.7,17.91,19.73,7.5
98.0,18.71,12.34,11.29,7.17,23.66,17.86,19.73,7.48
100.0,18.68,12.33,11.27,7.16,23.63,17.86,19.7,7.47
102.0,18.65,12.33,11.26,7.15,23.59,17.81,19.68,7.46
104.0,18.68,12.33,11.27,7.15,23.59,17.81,19.65,7.45
106.0,18.65,12.31,11.26,7.14,23.55,17.79,19.65,7.44
108.0,18.65,12.33,11.26,7.13,23.52,17.79,19.65,7.44
110.0,18.65,12.33,11.26,7.13,23.55,17.76,19.65,7.43
112.0,18.63,12.29,11.26,7.13,23.52,17.74,19.65,7.42
114.0,18.63,12.29,11.23,7.12,23.52,17.74,19.62,7.42
116.0,18.6,12.29,11.24,7.13,23.45,17.71,19.65,7.4
118.0,18.63,12.29,11.23,7.12,23.45,17.71,19.62,7.4
120.0,18.63,12.31,11.22,7.14,23.45,17.71,19.62,7.4
122.0,18.6,12.31,11.23,7.14,23.41,17.71,19.62,7.4
124.0,18.6,12.31,11.22,7.12,23.41,17.69,19.62,7.4
126.0,18.57,12.29,11.2,7.13,23.41,17.69,19.62,7.4
128.0,18.57,12.29,11.2,7.13,23.41,17.66,19.62,7.4
130.0,18.57,12.29,11.22,7.13,23.37,17.69,19.59,7.4
132.0,18.57,12.29,11.2,7.13,23.37,17.66,19.59,7.39
134.0,18.57,12.29,11.2,7.13,23.37,17.66,19.56,7.4
136.0,18.57,12.26,11.2,7.13,23.37,17.64,19.62,7.38
138.0,18.57,12.26,11.2,7.13,23.34,17.64,19.59,7.38
140.0,18.6,12.26,11.2,7.13,23.34,17.61,19.59,7.4
142.0,18.6,12.28,11.2,7.13,23.37,17.64,19.62,7.4
144.0,18.6,12.26,11.2,7.14,23.34,17.61,19.65,7.38
146.0,18.6,12.23,11.22,7.13,23.34,17.59,19.62,7.38
148.0,18.6,12.25,11.2,7.12,23.34,17.59,19.62,7.38
150.0,18.63,12.26,11.22,7.13,23.34,17.56,19.65,7.39
152.0,18.6,12.25,11.22,7.14,23.37,17.59,19.62,7.38
154.0,18.63,12.26,11.2,7.12,23.37,17.59,19.65,7.39
156.0,19.03,12.42,11.44,7.14,23.99,17.76,20.55,7.39
158.0,20.13,12.83,12.03,7.16,25.75,18.37,22.26,7.39
160.0,21.63,13.4,12.82,7.17,28.17,19.36,24.44,7.42
162.0,23.29,14.03,13.66,7.22,30.93,20.57,26.71,7.43
164.0,24.98,14.68,14.49,7.25,33.76,21.89,28.96,7.45
166.0,26.67,15.37,15.36,7.29,36.72,23.39,31.29,7.49
