timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,40.26,20.25,22.73,8.13,73.75,44.69,60.11,8.18
2.0,40.18,20.22,22.76,8.12,73.97,44.69,60.11,8.2
4.0,40.18,20.22,22.73,8.12,73.97,44.6,60.11,8.2
6.0,40.18,20.22,22.73,8.12,73.75,44.6,59.95,8.2
8.0,40.18,20.22,22.73,8.12,73.75,44.6,59.95,8.18
10.0,40.18,20.22,22.7,8.11,73.75,44.6,59.8,8.18
12.0,40.18,20.19,22.7,8.11,73.52,44.5,59.8,8.18
14.0,40.18,20.19,22.66,8.1,73.75,44.5,59.95,8.17
16.0,40.18,20.22,22.73,8.11,73.75,44.5,59.95,8.18
18.0,40.18,20.22,22.73,8.12,73.52,44.6,59.95,8.17
20.0,40.18,20.25,22.73,8.12,73.75,44.69,60.11,8.2
22.0,40.18,20.25,22.73,8.11,73.75,44.69,60.11,8.18
24.0,40.1,20.22,22.73,8.11,73.75,44.5,60.11,8.2
26.0,40.1,20.22,22.66,8.12,73.75,44.6,59.95,8.18
28.0,40.02,20.22,22.66,8.1,73.52,44.5,59.8,8.18
30.0,40.1,20.22,22.66,8.11,73.75,44.5,59.8,8.17
32.0,40.18,20.22,22.7,8.12,73.52,44.6,59.8,8.18
34.0,40.1,20.19,22.66,8.1,73.52,44.5,59.95,8.17
36.0,40.18,20.25,22.7,8.1,73.75,44.69,59.95,8.17
38.0,40.18,20.22,22.73,8.12,73.52,44.69,60.11,8.18
40.0,40.1,20.25,22.7,8.11,73.75,44.6,59.95,8.18
42.0,40.02,20.22,22.66,8.1,73.52,44.5,59.95,8.17
44.0,40.02,20.19,22.63,8.1,73.3,44.5,59.8,8.16
46.0,40.1,20.16,22.63,8.1,73.52,44.6,59.95,8.17
48.0,40.1,20.19,22.63,8.1,73.52,44.5,59.95,8.17
50.0,40.02,20.16,22.63,8.1,73.52,44.6,59.95,8.18
52.0,40.1,20.16,22.63,8.1,73.52,44.5,59.95,8.17
54.0,40.26,20.16,22.73,8.09,73.75,44.41,59.8,8.17
56.0,39.7,19.99,22.35,8.08,72.63,44.12,56.52,8.17
58.0,32.72,18.02,18.06,8.06,55.55,38.7,34.92,8.15
60.0,24.63,15.41,14.12,7.98,35.36,28.75,23.44,8.11
62.0,20.78,13.83,12.43,7.89,27.34,23.14,20.08,8.06
64.0,18.68,12.78,11.45,7.79,23.66,20.07,18.48,8.0
66.0,17.44,12.09,10.83,7.67,21.8,18.24,17.6,7.93
68.0,16.68,11.61,10.39,7.56,20.7,17.08,17.0,7.86
70.0,16.14,11.24,10.06,7.46,19.93,16.31,16.54,7.8
72.0,15.76,10.98,9.82,7.36,19.39,15.76,16.23,7.73
74.0,15.5,10.79,9.65,7.27,19.04,15.32,16.01,7.67
76.0,15.27,10.64,9.49,7.2,18.74,15.0,15.83,7.62
78.0,15.13,10.52,9.39,7.14,18.53,14.76,15.71,7.57
80.0,14.99,10.43,9.3,7.08,18.32,14.58,15.62,7.52
82.0,14.89,10.37,9.23,7.04,18.22,14.46,15.52,7.48
84.0,14.81,10.3,9.19,7.0,18.12,14.33,15.45,7.44
86.0,14.77,10.26,9.13,6.96,18.02,14.26,15.41,7.41
88.0,14.73,10.22,9.11,6.94,17.97,14.16,15.43,7.38
90.0,14.69,10.2,9.1,6.91,17.94,14.12,15.39,7.36
92.0,14.67,10.18,9.07,6.89,17.89,14.05,15.33,7.33
94.0,14.65,10.17,9.05,6.89,17.86,14.03,15.33,7.31
96.0,14.65,10.16,9.04,6.87,17.82,13.99,15.33,7.3
98.0,14.63,10.14,9.03,6.86,17.82,13.97,15.33,7.28
100.0,14.63,10.13,9.03,6.85,17.82,13.94,15.31,7.27
102.0,14.61,10.12,9.01,6.83,17.77,13.92,15.29,7.25
104.0,14.61,10.1,9.01,6.83,17.74,13.92,15.29,7.24
106.0,14.59,10.1,9.0,6.82,17.72,13.9,15.29,7.23
108.0,14.57,10.08,8.98,6.82,17.72,13.85,15.29,7.22
110.0,14.57,10.09,8.97,6.82,17.69,13.85,15.27,7.2
112.0,14.55,10.08,8.97,6.81,17.69,13.85,15.27,7.2
114.0,14.55,10.09,8.97,6.81,17.69,13.83,15.27,7.18
116.0,14.55,10.08,8.97,6.79,17.69,13.81,15.27,7.17
118.0,14.55,10.08,8.97,6.79,17.67,13.81,15.25,7.17
120.0,14.57,10.08,8.97,6.79,17.67,13.81,15.27,7.17
122.0,14.59,10.08,8.97,6.8,17.67,13.79,15.27,7.17
124.0,14.59,10.06,9.0,6.8,17.69,13.79,15.27,7.17
126.0,14.59,10.06,8.98,6.8,17.69,13.81,15.27,7.17
128.0,14.61,10.08,9.0,6.81,17.69,13.79,15.33,7.18
130.0,14.61,10.06,9.01,6.81,17.69,13.77,15.31,7.17
132.0,14.61,10.06,8.98,6.8,17.69,13.77,15.33,7.17
134.0,14.59,10.05,9.0,6.8,17.69,13.77,15.31,7.17
136.0,14.61,10.05,8.98,6.8,17.67,13.76,15.31,7.16
138.0,14.59,10.05,9.0,6.78,17.64,13.77,15.31,7.15
140.0,14.57,10.05,9.0,6.78,17.64,13.76,15.31,7.15
142.0,14.57,10.05,8.98,6.77,17.64,13.74,15.29,7.15
144.0,14.57,10.05,9.0,6.77,17.62,13.74,15.29,7.14
146.0,14.55,10.04,8.98,6.75,17.62,13.74,15.27,7.12
148.0,14.57,10.05,8.97,6.74,17.62,13.74,15.27,7.11
150.0,14.57,10.05,8.98,6.73,17.62,13.7,15.29,7.09
152.0,14.61,10.06,8.98,6.73,17.64,13.74,15.29,7.1
154.0,14.61,10.08,9.0,6.71,17.64,13.76,15.33,7.08
156.0,15.03,10.23,9.24,6.7,18.25,13.92,16.16,7.06
158.0,16.1,10.66,9.82,6.7,19.9,14.48,17.84,7.07
160.0,17.63,11.29,10.66,6.74,22.23,15.4,19.88,7.06
162.0,19.3,11.98,11.55,6.77,24.75,16.53,22.03,7.11
164.0,21.12,12.73,12.46,6.81,27.48,17.86,24.28,7.13
166.0,22.94,13.54,13.39,6.88,30.4,19.33,26.62,7.17
168.0,24.7,14.28,14.29,6.96,33.33,20.87,28.86,7.21
170.0,26.37,15.0,15.11,7.03,36.17,22.45,31.18,7.27
172.0,28.02,15.68,15.95,7.11,39.16,24.12,33.42,7.31
174.0,29.47,16.33,16.71,7.2,41.96,25.73,35.51,7.37
176.0,30.76,16.83,17.39,7.26,44.6,27.31,37.53,7.4
178.0,31.92,17.33,18.01,7.33,47.11,28.85,39.49,7.46
180.0,33.02,17.74,18.52,7.4,49.52,30.31,41.2,7.5
182.0,33.87,18.07,19.0,7.47,51.65,31.6,42.76,7.55
184.0,34.63,18.35,19.41,7.52,53.67,32.87,44.23,7.58
186.0,35.28,18.61,19.78,7.59,55.41,34.02,45.59,7.62
188.0,35.81,18.82,20.07,7.62,56.96,34.97,46.81,7.66
190.0,36.29,18.96,20.36,7.66,58.29,35.83,47.86,7.7
192.0,36.71,19.12,20.6,7.7,59.51,36.73,48.85,7.73
194.0,37.06,19.2,20.88,7.75,60.77,37.3,49.64,7.76
196.0,37.35,19.37,21.06,7.78,61.76,37.95,50.33,7.8
198.0,37.64,19.42,21.15,7.81,62.59,38.47,50.92,7.82
200.0,37.86,19.54,21.31,7.84,63.45,38.85,51.52,7.84
202.0,38.01,19.56,21.41,7.87,63.98,39.32,52.01,7.86
204.0,38.08,19.59,21.47,7.87,64.51,39.63,52.26,7.88
206.0,38.16,19.62,21.5,7.89,64.87,39.87,52.64,7.9
208.0,38.23,19.65,21.57,7.91,65.23,40.11,53.02,7.92
210.0,38.38,19.7,21.66,7.92,65.78,40.44,53.27,7.93
212.0,38.38,19.73,21.66,7.93,65.97,40.6,53.53,7.94
214.0,38.46,19.7,21.73,7.95,66.34,40.77,53.66,7.95
216.0,38.53,19.73,21.69,7.94,66.53,40.85,53.79,7.97
218.0,38.61,19.73,21.76,7.97,66.72,41.02,54.19,7.97
220.0,38.68,19.73,21.79,7.96,67.1,41.1,54.32,7.99
222.0,38.76,19.76,21.86,7.97,67.29,41.18,54.45,8.0
224.0,38.76,19.79,21.89,7.98,67.48,41.35,54.72,8.0
226.0,38.84,19.76,21.86,7.99,67.67,41.35,54.85,8.03
228.0,38.91,19.82,21.95,7.99,68.06,41.61,55.13,8.03
230.0,38.91,19.82,21.99,7.99,68.06,41.69,55.26,8.03
232.0,38.91,19.85,22.02,8.0,68.26,41.78,55.26,8.05
234.0,39.07,19.9,22.05,8.02,68.46,41.95,55.54,8.06
236.0,38.99,19.9,22.05,8.02,68.66,41.95,55.54,8.06
238.0,38.99,19.88,22.02,8.02,68.66,41.95,55.67,8.07
240.0,38.99,19.88,22.05,8.04,68.66,42.04,55.54,8.06
242.0,38.99,19.88,22.05,8.04,68.86,42.04,55.67,8.07
244.0,38.99,19.88,22.05,8.04,68.66,42.04,55.81,8.07
246.0,39.07,19.85,22.05,8.04,68.86,42.13,55.81,8.08
248.0,39.15,19.88,22.09,8.04,69.06,42.13,55.81,8.07
250.0,39.07,19.88,22.09,8.04,69.26,42.3,56.09,8.08
252.0,39.22,19.88,22.12,8.04,69.26,42.3,56.23,8.1
254.0,39.22,19.93,22.15,8.04,69.46,42.3,56.23,8.09
256.0,39.22,19.93,22.19,8.04,69.46,42.48,56.38,8.11
258.0,39.3,19.93,22.19,8.04,69.67,42.48,56.38,8.1
260.0,39.3,19.96,22.19,8.04,69.67,42.57,56.38,8.11
262.0,39.3,19.9,22.19,8.04,69.67,42.48,56.52,8.1
264.0,39.3,19.9,22.19,8.04,69.67,42.48,56.52,8.1
266.0,39.38,19.93,22.25,8.04,69.87,42.57,56.8,8.11
268.0,39.38,19.96,22.25,8.04,69.87,42.57,56.8,8.11
270.0,39.38,19.93,22.25,8.04,70.08,42.66,56.8,8.11
272.0,39.46,19.93,22.29,8.06,70.28,42.75,56.95,8.1
274.0,39.46,19.96,22.29,8.04,70.49,42.66,56.95,8.11
276.0,39.54,19.96,22.32,8.04,70.49,42.84,56.95,8.11
278.0,39.46,19.96,22.32,8.06,70.28,42.75,57.09,8.11
280.0,39.46,19.93,22.32,8.04,70.49,42.84,57.09,8.11
282.0,39.46,19.93,22.29,8.04,70.49,42.84,56.95,8.11
284.0,39.54,19.96,22.32,8.04,70.49,42.84,57.23,8.11
286.0,39.46,19.9,22.29,8.04,70.49,42.84,57.23,8.11
288.0,39.46,19.9,22.29,8.04,70.7,42.84,57.23,8.12
290.0,39.46,19.9,22.32,8.04,70.7,42.92,57.38,8.11
292.0,39.54,19.96,22.29,8.04,70.7,42.92,57.38,8.12
294.0,39.54,19.96,22.35,8.04,70.7,42.92,57.53,8.13
296.0,39.54,19.93,22.32,8.06,70.7,42.92,57.53,8.11
298.0,39.62,19.93,22.32,8.04,70.7,43.02,57.53,8.12
300.0,39.62,19.96,22.39,8.06,70.91,42.92,57.67,8.13
302.0,39.62,19.96,22.39,8.04,70.91,43.02,57.67,8.13
304.0,39.62,19.96,22.39,8.04,71.12,43.02,57.67,8.12
306.0,39.7,19.96,22.39,8.04,71.12,43.11,57.67,8.14
308.0,39.62,19.99,22.39,8.04,70.91,43.2,57.82,8.13
310.0,39.62,19.99,22.39,8.06,71.33,43.2,57.82,8.13
312.0,39.54,19.99,22.39,8.06,71.12,43.2,57.82,8.14
314.0,39.7,20.02,22.42,8.06,71.55,43.29,57.82,8.14
316.0,39.7,20.02,22.46,8.08,71.55,43.38,57.97,8.15
318.0,39.7,20.02,22.46,8.08,71.55,43.29,57.97,8.15
320.0,39.78,20.08,22.52,8.08,71.55,43.47,58.12,8.15
322.0,39.86,20.08,22.52,8.08,71.76,43.47,58.12,8.15
324.0,39.86,20.08,22.52,8.09,71.76,43.47,58.27,8.17
326.0,39.86,20.05,22.56,8.08,71.98,43.56,58.12,8.17
328.0,39.86,20.08,22.52,8.1,71.98,43.38,58.27,8.16
330.0,39.86,20.08,22.52,8.08,71.76,43.56,58.42,8.16
332.0,39.78,20.05,22.46,8.07,71.76,43.47,58.27,8.17
334.0,39.78,20.02,22.46,8.08,71.76,43.38,58.27,8.15
336.0,39.86,20.02,22.49,8.07,71.76,43.38,58.27,8.16
338.0,39.94,20.05,22.52,8.07,71.98,43.47,58.42,8.15
340.0,39.94,20.08,22.49,8.07,71.98,43.47,58.42,8.15
342.0,39.78,19.99,22.46,8.08,71.98,43.47,58.42,8.15
344.0,39.7,19.99,22.46,8.07,71.76,43.47,58.42,8.14
346.0,39.7,19.99,22.46,8.07,71.76,43.47,58.42,8.16
348.0,39.7,20.02,22.46,8.07,71.76,43.47,58.42,8.15
350.0,39.62,20.02,22.42,8.07,71.76,43.47,58.12,8.15
352.0,39.62,19.99,22.39,8.07,71.76,43.47,58.42,8.15
354.0,39.54,19.99,22.42,8.06,71.76,43.47,58.42,8.15
356.0,39.7,20.02,22.46,8.08,71.98,43.56,58.42,8.16
358.0,39.7,20.05,22.46,8.06,71.98,43.66,58.42,8.17
360.0,39.7,19.99,22.46,8.06,71.98,43.47,58.42,8.16
362.0,39.78,19.99,22.46,8.06,71.76,43.56,58.42,8.16
364.0,39.7,19.96,22.42,8.06,71.55,43.47,58.42,8.15
366.0,39.7,19.99,22.46,8.06,71.98,43.56,58.57,8.16
368.0,39.86,20.02,22.52,8.08,72.2,43.56,58.57,8.15
370.0,39.86,20.05,22.52,8.07,72.2,43.66,58.72,8.17
372.0,39.86,20.08,22.56,8.07,72.41,43.66,58.72,8.17
374.0,39.86,20.05,22.56,8.07,72.41,43.66,58.72,8.18
376.0,39.86,20.05,22.56,8.08,72.41,43.84,58.87,8.18
378.0,39.94,20.08,22.59,8.09,72.41,43.84,58.87,8.18
380.0,39.94,20.08,22.56,8.09,72.41,43.75,58.72,8.17
382.0,39.86,20.05,22.56,8.08,72.41,43.75,58.72,8.17
384.0,39.86,20.08,22.52,8.09,72.2,43.75,58.72,8.17
386.0,39.78,20.08,22.52,8.08,72.41,43.84,58.72,8.18
388.0,39.78,20.05,22.49,8.08,72.41,43.75,58.72,8.17
390.0,39.86,20.05,22.52,8.08,72.2,43.84,58.72,8.17
392.0,39.78,20.08,22.52,8.1,72.2,43.84,58.72,8.18
394.0,39.78,20.05,22.52,8.09,72.41,43.75,58.72,8.17
396.0,39.86,20.05,22.49,8.09,72.2,43.75,58.87,8.18
398.0,39.86,20.08,22.49,8.09,72.41,43.84,58.87,8.17
400.0,39.86,20.08,22.52,8.08,72.41,43.84,58.87,8.17
402.0,39.86,20.05,22.49,8.08,72.63,43.75,58.87,8.17
404.0,39.94,20.05,22.56,8.08,72.41,43.75,58.87,8.17
406.0,39.94,20.05,22.56,8.08,72.41,43.75,59.02,8.17
408.0,39.94,20.05,22.56,8.09,72.41,43.75,58.87,8.17
410.0,40.02,20.05,22.56,8.08,72.63,43.84,59.02,8.18
412.0,39.94,20.05,22.56,8.07,72.63,43.84,59.02,8.18
414.0,40.02,20.05,22.59,8.08,72.63,43.84,59.02,8.17
416.0,39.94,20.05,22.59,8.08,72.63,43.84,59.02,8.17
418.0,39.86,20.08,22.56,8.08,72.63,43.84,59.02,8.18
420.0,39.86,20.05,22.56,8.08,72.63,43.93,59.02,8.18
422.0,39.94,20.08,22.56,8.07,72.41,43.84,59.02,8.17
424.0,39.94,20.02,22.59,8.08,72.85,43.93,59.02,8.17
426.0,40.02,20.02,22.59,8.09,72.85,43.75,59.02,8.16
428.0,39.94,20.05,22.59,8.08,72.85,43.93,59.18,8.17
430.0,39.94,20.08,22.59,8.08,72.85,43.93,59.18,8.17
432.0,40.02,20.08,22.59,8.09,72.85,43.93,59.18,8.17
434.0,39.94,20.05,22.59,8.08,72.85,43.93,59.33,8.17
436.0,39.94,20.08,22.59,8.09,72.85,44.03,59.18,8.17
438.0,39.94,20.08,22.59,8.09,72.63,44.03,59.18,8.17
440.0,39.94,20.08,22.59,8.09,72.85,44.03,59.33,8.17
442.0,39.86,20.05,22.56,8.09,72.63,43.93,59.02,8.16
444.0,39.86,20.02,22.56,8.08,72.63,43.93,59.02,8.16
446.0,39.94,20.05,22.56,8.09,72.85,43.84,59.18,8.17
448.0,40.02,20.08,22.63,8.09,72.85,43.93,59.33,8.17
450.0,40.1,20.08,22.66,8.09,72.85,44.03,59.33,8.17
452.0,40.1,20.14,22.66,8.1,73.08,44.12,59.49,8.18
454.0,40.1,20.11,22.66,8.1,73.08,44.12,59.33,8.17
456.0,40.02,20.08,22.63,8.1,72.85,44.12,59.33,8.2
458.0,39.94,20.08,22.59,8.11,72.85,44.03,59.33,8.18
460.0,39.86,20.08,22.56,8.1,72.85,44.03,59.18,8.18
462.0,39.86,20.08,22.59,8.1,72.85,44.12,59.18,8.18
464.0,39.86,20.08,22.56,8.1,72.85,44.03,59.33,8.17
466.0,39.86,20.08,22.52,8.1,72.85,44.03,59.18,8.17
468.0,39.94,20.08,22.59,8.1,72.85,44.03,59.33,8.2
470.0,40.02,20.11,22.59,8.1,73.08,44.12,59.33,8.18
472.0,40.02,20.11,22.63,8.1,72.85,44.22,59.49,8.18
474.0,40.1,20.08,22.63,8.11,73.08,44.12,59.49,8.18
476.0,40.1,20.08,22.66,8.1,73.08,44.12,59.49,8.17
478.0,40.1,20.08,22.59,8.11,73.08,44.03,59.33,8.17
