timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,39.94,22.91,22.73,3.29,96.77,48.17,50.45,6.85
2.0,40.02,22.95,22.76,3.29,96.77,48.17,50.45,6.84
4.0,40.02,22.91,22.73,3.3,96.77,48.06,50.45,6.85
6.0,40.1,22.91,22.76,3.3,96.77,48.17,50.56,6.85
8.0,40.02,22.95,22.73,3.3,96.77,48.17,50.45,6.86
10.0,40.02,22.95,22.73,3.3,96.77,48.17,50.56,6.86
12.0,40.02,22.95,22.73,3.29,96.77,48.28,50.56,6.86
14.0,40.02,22.95,22.76,3.3,96.77,48.17,50.56,6.87
16.0,40.1,22.98,22.8,3.3,97.14,48.28,50.56,6.87
18.0,40.18,22.95,22.8,3.3,97.14,48.28,50.68,6.87
20.0,40.18,22.95,22.76,3.3,96.77,48.28,50.56,6.87
22.0,40.1,22.98,22.76,3.3,97.14,48.28,50.56,6.87
24.0,40.18,22.95,22.8,3.3,97.14,48.28,50.68,6.88
26.0,40.18,22.95,22.76,3.3,96.77,48.17,50.33,6.87
28.0,39.94,22.95,22.73,3.3,96.77,48.28,50.33,6.87
30.0,40.02,22.95,22.76,3.29,96.77,48.28,50.68,6.88
32.0,40.1,23.02,22.8,3.3,96.77,48.39,50.68,6.88
34.0,40.1,22.98,22.76,3.3,97.14,48.28,50.8,6.89
36.0,40.1,22.98,22.76,3.3,97.14,48.28,50.56,6.88
38.0,40.1,22.98,22.8,3.3,97.14,48.39,50.68,6.89
40.0,40.1,22.98,22.8,3.3,96.77,48.28,50.56,6.89
42.0,40.1,23.02,22.8,3.3,97.14,48.39,50.56,6.89
44.0,40.1,23.02,22.83,3.3,97.51,48.39,50.68,6.9
46.0,40.18,23.02,22.83,3.3,97.14,48.39,50.56,6.9
48.0,40.1,22.98,22.8,3.29,97.51,48.28,50.56,6.9
50.0,40.1,22.95,22.8,3.3,97.14,48.28,50.56,6.89
52.0,40.02,22.95,22.76,3.29,96.77,48.17,50.45,6.88
54.0,40.02,22.95,22.76,3.29,96.77,48.17,50.21,6.9
56.0,40.26,22.98,22.94,3.3,97.51,48.28,50.1,6.91
58.0,40.34,23.02,22.83,3.28,96.77,48.39,47.76,6.77
60.0,38.01,23.05,20.27,2.92,77.52,48.5,34.03,4.89
62.0,34.88,23.05,18.21,2.25,61.76,48.39,29.26,2.86
64.0,32.78,23.02,16.98,1.67,54.59,48.39,27.1,1.89
66.0,31.3,22.98,16.25,1.33,50.92,48.28,25.91,1.46
68.0,30.34,22.95,15.76,1.14,48.62,48.17,25.06,1.24
70.0,29.72,22.95,15.44,1.02,47.22,48.06,24.47,1.12
72.0,29.27,22.91,15.19,0.95,45.98,47.74,23.98,1.05
74.0,28.92,22.88,14.99,0.9,45.09,47.95,23.62,1.01
76.0,28.68,22.84,14.87,0.87,44.51,47.74,23.29,0.97
78.0,28.49,22.84,14.73,0.84,44.03,47.52,23.08,0.95
80.0,28.35,22.81,14.63,0.83,43.57,47.52,22.91,0.93
82.0,28.25,22.77,14.57,0.81,43.29,47.42,22.73,0.91
84.0,28.11,22.77,14.49,0.8,43.02,47.31,22.6,0.9
86.0,28.02,22.74,14.44,0.79,42.84,47.21,22.5,0.89
88.0,27.92,22.7,14.42,0.78,42.66,47.21,22.39,0.89
90.0,27.88,22.7,14.38,0.78,42.48,47.1,22.33,0.88
92.0,27.83,22.7,14.34,0.78,42.31,47.0,22.26,0.87
94.0,27.79,22.63,14.3,0.77,42.22,46.89,22.16,0.87
96.0,27.74,22.6,14.27,0.77,42.04,46.79,22.09,0.87
98.0,27.69,22.6,14.25,0.77,41.96,46.69,22.03,0.87
100.0,27.6,22.57,14.21,0.77,41.87,46.58,21.99,0.86
102.0,27.65,22.57,14.21,0.76,41.78,46.48,21.93,0.86
104.0,27.6,22.53,14.21,0.76,41.78,46.38,21.93,0.85
106.0,27.6,22.53,14.19,0.76,41.7,46.17,21.89,0.86
108.0,27.65,22.5,14.21,0.76,41.78,46.38,21.89,0.85
110.0,27.65,22.53,14.19,0.76,41.7,46.17,21.89,0.85
112.0,27.6,22.5,14.19,0.76,41.7,46.17,21.86,0.85
114.0,27.6,22.5,14.19,0.76,41.61,46.17,21.83,0.85
116.0,27.6,22.53,14.19,0.76,41.61,46.17,21.83,0.85
118.0,27.65,22.53,14.21,0.76,41.7,46.17,21.86,0.85
120.0,27.69,22.57,14.23,0.76,41.7,46.27,21.89,0.85
122.0,27.69,22.57,14.23,0.76,41.7,46.38,21.86,0.85
124.0,27.74,22.6,14.23,0.76,41.7,46.38,21.86,0.85
126.0,27.69,22.6,14.23,0.76,41.78,46.48,21.86,0.85
128.0,27.79,22.6,14.25,0.76,41.78,46.38,21.86,0.85
130.0,27.74,22.57,14.25,0.76,41.78,46.38,21.89,0.84
132.0,27.79,22.57,14.27,0.76,41.78,46.48,21.89,0.84
134.0,27.79,22.57,14.25,0.76,41.78,46.38,21.86,0.85
136.0,27.74,22.53,14.21,0.76,41.7,46.38,21.86,0.84
138.0,27.69,22.53,14.21,0.76,41.61,46.27,21.86,0.84
140.0,27.74,22.53,14.19,0.76,41.61,46.38,21.86,0.84
142.0,27.74,22.53,14.21,0.76,41.7,46.38,21.83,0.84
144.0,27.74,22.5,14.21,0.76,41.78,46.27,21.83,0.84
