timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,38.68,21.9,21.95,3.27,93.57,45.27,49.07,7.08
2.0,38.76,21.9,21.99,3.28,93.91,45.27,49.18,7.08
4.0,38.61,21.9,21.95,3.27,93.91,45.27,49.07,7.09
6.0,38.61,21.9,21.95,3.28,93.57,45.27,49.07,7.09
8.0,38.53,21.86,21.86,3.28,93.57,45.37,49.07,7.09
10.0,38.38,21.9,21.86,3.27,93.57,45.27,48.96,7.08
12.0,38.46,21.9,21.86,3.27,93.22,45.27,48.96,7.1
14.0,38.38,21.86,21.86,3.28,93.22,45.27,48.96,7.09
16.0,38.38,21.86,21.82,3.27,93.22,45.37,48.85,7.09
18.0,38.38,21.83,21.82,3.28,92.88,45.27,48.85,7.09
20.0,38.3,21.83,21.79,3.27,92.88,45.18,48.74,7.09
22.0,38.46,21.86,21.82,3.27,92.88,45.27,48.85,7.09
24.0,38.53,21.86,21.86,3.28,93.22,45.37,48.96,7.09
26.0,38.53,21.86,21.86,3.27,93.22,45.37,48.85,7.09
28.0,38.53,21.83,21.86,3.27,92.88,45.37,48.85,7.08
30.0,38.53,21.83,21.86,3.27,93.22,45.27,48.85,7.08
32.0,38.46,21.83,21.86,3.27,93.22,45.27,48.85,7.08
34.0,38.53,21.83,21.86,3.27,93.57,45.27,48.85,7.08
36.0,38.53,21.86,21.89,3.27,93.57,45.37,48.85,7.09
38.0,38.53,21.86,21.89,3.27,93.57,45.37,48.96,7.09
40.0,38.53,21.86,21.92,3.28,93.57,45.37,48.96,7.09
42.0,38.61,21.9,21.92,3.27,93.57,45.37,48.96,7.1
44.0,38.61,21.9,21.95,3.28,93.57,45.37,48.96,7.09
46.0,38.53,21.9,21.92,3.28,93.57,45.47,48.96,7.1
48.0,38.76,21.86,22.05,3.28,93.91,45.47,48.74,7.1
50.0,38.91,21.86,22.12,3.27,93.91,45.27,48.19,7.08
52.0,37.13,21.38,20.1,3.21,87.4,43.93,37.6,6.84
54.0,33.5,20.52,17.49,3.02,70.91,40.85,31.34,6.29
56.0,31.52,19.85,16.37,2.77,62.59,38.55,29.36,5.65
58.0,30.39,19.37,15.73,2.54,59.04,37.15,28.29,5.08
60.0,29.67,19.04,15.31,2.35,56.96,36.24,27.51,4.61
62.0,29.17,18.8,15.05,2.19,55.41,35.56,26.93,4.23
64.0,28.82,18.61,14.87,2.07,54.59,35.17,26.54,3.92
66.0,28.49,18.51,14.69,1.98,53.8,34.84,26.2,3.67
68.0,28.3,18.43,14.57,1.92,53.28,34.52,25.91,3.48
70.0,28.16,18.35,14.46,1.86,52.77,34.27,25.66,3.33
72.0,28.02,18.25,14.38,1.82,52.27,34.14,25.46,3.21
74.0,27.88,18.2,14.3,1.79,52.02,34.02,25.25,3.11
76.0,27.79,18.14,14.25,1.77,51.77,33.83,25.18,3.03
78.0,27.79,18.14,14.25,1.75,51.65,33.71,25.1,2.97
80.0,27.79,18.12,14.25,1.74,51.52,33.59,25.02,2.92
82.0,27.74,18.09,14.23,1.73,51.52,33.65,24.98,2.88
84.0,27.79,18.09,14.23,1.72,51.4,33.65,24.9,2.84
86.0,27.74,18.09,14.21,1.71,51.4,33.52,24.9,2.82
88.0,27.74,18.09,14.21,1.71,51.4,33.59,24.9,2.8
90.0,27.74,18.04,14.19,1.7,51.4,33.52,24.82,2.78
92.0,27.74,18.04,14.19,1.7,51.28,33.46,24.82,2.76
94.0,27.74,18.02,14.19,1.69,51.28,33.52,24.78,2.75
96.0,27.69,18.04,14.17,1.7,51.04,33.46,24.74,2.73
98.0,27.69,18.02,14.17,1.69,51.16,33.46,24.7,2.73
100.0,27.69,18.02,14.13,1.69,51.04,33.46,24.7,2.72
102.0,27.69,17.99,14.15,1.69,51.04,33.34,24.67,2.71
104.0,27.69,18.02,14.17,1.69,51.16,33.4,24.7,2.71
106.0,27.74,18.02,14.17,1.69,51.16,33.4,24.67,2.7
108.0,27.74,18.04,14.17,1.69,51.16,33.34,24.67,2.7
110.0,27.69,17.99,14.15,1.68,51.04,33.34,24.63,2.69
112.0,27.69,17.97,14.15,1.68,51.04,33.28,24.63,2.68
114.0,27.74,17.99,14.15,1.69,51.04,33.34,24.63,2.68
116.0,27.69,17.99,14.13,1.68,50.92,33.34,24.63,2.68
118.0,27.65,17.97,14.1,1.68,50.92,33.34,24.63,2.68
120.0,27.6,17.99,14.12,1.68,50.92,33.34,24.59,2.68
122.0,27.65,17.99,14.12,1.68,50.92,33.28,24.59,2.68
124.0,27.65,17.99,14.12,1.68,50.92,33.28,24.59,2.67
126.0,27.69,17.99,14.13,1.68,50.92,33.34,24.59,2.67
128.0,27.69,17.97,14.12,1.68,50.92,33.22,24.55,2.67
130.0,27.65,17.94,14.12,1.68,50.92,33.22,24.55,2.67
132.0,27.69,17.94,14.13,1.68,50.92,33.28,24.59,2.67
134.0,27.74,17.94,14.13,1.68,50.92,33.22,24.59,2.66
136.0,27.74,17.94,14.13,1.68,50.92,33.22,24.59,2.66
138.0,27.74,17.92,14.15,1.68,51.04,33.22,24.59,2.66
140.0,27.79,17.92,14.15,1.68,51.04,33.16,24.59,2.66
142.0,27.79,17.92,14.17,1.67,51.04,33.22,24.59,2.66
144.0,27.79,17.89,14.13,1.68,50.92,33.1,24.55,2.66
146.0,27.74,17.89,14.13,1.68,50.92,33.1,24.55,2.66
148.0,27.69,17.89,14.13,1.68,50.92,33.1,24.59,2.66
150.0,27.74,17.89,14.17,1.68,51.16,33.1,24.86,2.66
152.0,28.25,18.02,14.52,1.69,52.77,33.46,26.28,2.68
154.0,29.02,18.27,15.11,1.72,55.83,34.14,28.1,2.73
156.0,29.97,18.61,15.78,1.77,58.89,35.04,29.86,2.8
158.0,30.92,18.96,16.41,1.83,62.09,35.97,31.51,2.89
160.0,31.8,19.31,17.03,1.9,64.87,37.08,33.18,3.0
162.0,32.66,19.65,17.61,1.98,67.87,37.95,34.73,3.12
164.0,33.38,19.96,18.13,2.06,70.49,38.85,36.12,3.25
166.0,34.06,20.19,18.55,2.14,72.63,39.63,37.38,3.38
168.0,34.56,20.4,18.97,2.22,74.89,40.27,38.49,3.52
170.0,35.15,20.61,19.33,2.3,76.79,41.02,39.65,3.68
172.0,35.48,20.79,19.64,2.38,78.52,41.52,40.54,3.82
174.0,35.81,20.95,19.89,2.46,80.06,41.95,41.37,3.97
176.0,36.22,21.07,20.13,2.53,81.38,42.48,42.14,4.12
178.0,36.5,21.19,20.36,2.6,82.47,42.84,42.85,4.26
180.0,36.71,21.29,20.51,2.67,83.3,43.02,43.4,4.4
182.0,36.85,21.32,20.63,2.72,84.44,43.38,43.86,4.54
184.0,36.99,21.41,20.75,2.78,85.02,43.66,44.33,4.68
186.0,37.2,21.41,20.88,2.83,85.89,43.84,44.71,4.81
188.0,37.27,21.48,20.97,2.88,86.49,43.84,45.1,4.93
190.0,37.42,21.48,21.06,2.91,87.09,44.03,45.29,5.04
192.0,37.64,21.54,21.18,2.95,87.4,44.12,45.69,5.15
194.0,37.71,21.57,21.25,2.98,88.01,44.22,45.89,5.25
196.0,37.78,21.57,21.28,3.01,88.32,44.41,46.29,5.36
198.0,37.71,21.57,21.28,3.03,88.64,44.41,46.29,5.45
200.0,37.71,21.61,21.31,3.04,88.95,44.5,46.29,5.55
202.0,37.71,21.57,21.31,3.07,88.95,44.5,46.5,5.62
204.0,37.78,21.61,21.31,3.09,89.27,44.5,46.6,5.7
206.0,37.86,21.61,21.41,3.1,89.27,44.5,46.7,5.78
208.0,37.93,21.57,21.44,3.12,89.58,44.6,46.81,5.84
210.0,38.01,21.61,21.5,3.13,89.9,44.5,46.91,5.91
212.0,38.08,21.64,21.53,3.14,90.23,44.6,47.02,5.97
214.0,38.08,21.61,21.57,3.14,90.23,44.6,47.12,6.03
216.0,38.16,21.64,21.6,3.15,90.55,44.69,47.12,6.09
218.0,38.16,21.67,21.6,3.17,90.88,44.79,47.22,6.14
220.0,38.16,21.67,21.6,3.17,90.88,44.79,47.33,6.19
222.0,38.08,21.67,21.6,3.18,90.88,44.79,47.33,6.23
224.0,38.08,21.64,21.6,3.18,90.88,44.79,47.33,6.27
226.0,38.01,21.67,21.6,3.18,91.2,44.88,47.44,6.32
228.0,38.01,21.67,21.6,3.2,90.88,44.88,47.44,6.35
230.0,38.08,21.7,21.6,3.2,91.2,44.88,47.54,6.39
232.0,38.08,21.67,21.6,3.21,91.2,44.88,47.54,6.42
234.0,38.01,21.67,21.6,3.21,90.88,44.88,47.54,6.45
236.0,38.08,21.7,21.57,3.21,91.2,44.88,47.54,6.49
238.0,38.08,21.73,21.57,3.22,91.2,44.98,47.65,6.52
240.0,38.16,21.77,21.63,3.22,91.2,45.08,47.65,6.55
242.0,38.08,21.77,21.63,3.22,91.2,45.08,47.76,6.58
244.0,38.08,21.73,21.6,3.22,91.2,45.08,47.65,6.6
246.0,38.01,21.73,21.57,3.22,91.2,45.08,47.65,6.62
248.0,38.08,21.73,21.6,3.23,91.2,45.08,47.65,6.64
250.0,38.16,21.77,21.63,3.23,91.54,45.08,47.76,6.66
252.0,38.23,21.77,21.63,3.23,91.2,45.08,47.76,6.68
254.0,38.23,21.73,21.66,3.23,91.2,44.98,47.65,6.7
256.0,38.23,21.77,21.63,3.23,91.2,45.08,47.76,6.71
258.0,38.23,21.77,21.66,3.23,91.54,45.08,47.86,6.72
260.0,38.23,21.77,21.69,3.24,91.54,45.18,47.86,6.75
262.0,38.3,21.8,21.69,3.24,91.54,45.08,47.86,6.76
264.0,38.3,21.83,21.69,3.24,91.54,45.27,48.08,6.79
266.0,38.23,21.83,21.69,3.25,91.87,45.37,48.08,6.8
268.0,38.23,21.83,21.69,3.25,91.87,45.37,47.97,6.81
270.0,38.23,21.83,21.73,3.25,91.87,45.37,48.08,6.82
272.0,38.23,21.83,21.66,3.25,91.87,45.37,47.97,6.82
274.0,38.23,21.9,21.69,3.25,91.87,45.37,48.08,6.84
276.0,38.23,21.86,21.69,3.25,91.87,45.37,48.08,6.86
278.0,38.23,21.86,21.69,3.25,91.87,45.37,47.97,6.86
280.0,38.23,21.83,21.66,3.25,91.87,45.37,47.97,6.88
282.0,38.23,21.86,21.66,3.26,91.87,45.37,48.08,6.88
284.0,38.3,21.86,21.73,3.26,91.87,45.47,48.08,6.9
286.0,38.3,21.9,21.73,3.27,92.2,45.47,48.08,6.9
288.0,38.3,21.86,21.76,3.26,92.2,45.57,48.19,6.91
290.0,38.38,21.86,21.73,3.26,92.2,45.37,48.19,6.91
292.0,38.3,21.9,21.76,3.27,91.87,45.47,48.19,6.92
294.0,38.3,21.9,21.73,3.26,92.2,45.47,48.19,6.92
296.0,38.3,21.86,21.73,3.26,91.87,45.47,48.19,6.94
298.0,38.38,21.9,21.76,3.27,92.2,45.27,48.19,6.94
300.0,38.38,21.93,21.76,3.27,92.2,45.57,48.3,6.95
302.0,38.46,21.93,21.79,3.27,92.54,45.67,48.3,6.96
304.0,38.46,21.93,21.82,3.27,92.54,45.67,48.41,6.98
306.0,38.38,21.9,21.79,3.27,92.54,45.67,48.3,6.97
308.0,38.3,21.9,21.73,3.27,92.2,45.57,48.19,6.97
310.0,38.23,21.9,21.73,3.27,92.2,45.57,48.19,6.97
312.0,38.3,21.93,21.73,3.28,92.2,45.57,48.19,6.99
314.0,38.3,21.93,21.73,3.27,92.54,45.67,48.19,6.99
316.0,38.3,21.93,21.73,3.27,92.54,45.57,48.3,6.99
318.0,38.38,21.9,21.76,3.27,92.2,45.57,48.3,6.99
320.0,38.3,21.86,21.73,3.27,92.2,45.47,48.19,6.99
322.0,38.3,21.9,21.73,3.27,92.2,45.47,48.19,7.0
324.0,38.38,21.93,21.73,3.28,92.2,45.57,48.3,7.0
326.0,38.3,21.9,21.73,3.28,92.54,45.47,48.41,7.01
328.0,38.3,21.9,21.73,3.27,92.2,45.57,48.3,7.0
330.0,38.3,21.9,21.69,3.27,92.2,45.57,48.19,6.99
332.0,38.23,21.86,21.69,3.27,92.2,45.47,48.19,7.01
334.0,38.3,21.86,21.73,3.27,92.2,45.47,48.19,7.01
336.0,38.3,21.83,21.73,3.27,92.54,45.47,48.19,7.0
338.0,38.3,21.83,21.73,3.27,92.2,45.37,48.19,7.0
340.0,38.3,21.83,21.73,3.27,92.2,45.47,48.19,7.0
342.0,38.23,21.86,21.69,3.27,92.2,45.37,48.19,7.01
344.0,38.16,21.83,21.66,3.27,92.2,45.47,48.19,7.01
346.0,38.16,21.83,21.63,3.26,91.87,45.27,48.19,7.0
348.0,38.16,21.83,21.66,3.27,91.87,45.47,48.19,7.01
350.0,38.16,21.86,21.66,3.27,92.2,45.37,48.3,7.01
352.0,38.3,21.86,21.69,3.27,92.2,45.37,48.3,7.01
354.0,38.3,21.86,21.76,3.27,92.2,45.37,48.3,7.01
356.0,38.38,21.9,21.79,3.27,92.54,45.47,48.41,7.01
358.0,38.46,21.9,21.82,3.28,92.54,45.57,48.41,7.01
360.0,38.38,21.93,21.82,3.28,92.54,45.57,48.52,7.03
362.0,38.38,21.9,21.79,3.27,92.54,45.57,48.52,7.03
364.0,38.3,21.93,21.76,3.27,92.54,45.67,48.41,7.03
366.0,38.3,21.9,21.76,3.27,92.54,45.47,48.41,7.03
368.0,38.3,21.9,21.73,3.28,92.2,45.57,48.41,7.03
370.0,38.3,21.93,21.76,3.27,92.2,45.47,48.41,7.03
372.0,38.3,21.9,21.76,3.28,92.2,45.47,48.41,7.03
374.0,38.3,21.93,21.73,3.28,92.54,45.57,48.52,7.03
376.0,38.3,21.93,21.73,3.28,92.54,45.57,48.52,7.03
378.0,38.23,21.93,21.73,3.28,92.54,45.57,48.52,7.04
380.0,38.23,21.9,21.73,3.28,92.54,45.57,48.41,7.04
382.0,38.3,21.93,21.76,3.28,92.54,45.67,48.52,7.04
384.0,38.38,21.93,21.79,3.28,92.54,45.57,48.52,7.03
386.0,38.46,21.96,21.82,3.28,92.54,45.67,48.52,7.04
388.0,38.46,21.96,21.82,3.28,92.88,45.67,48.52,7.05
390.0,38.46,21.93,21.82,3.28,92.54,45.57,48.52,7.04
392.0,38.53,21.9,21.86,3.28,92.88,45.57,48.62,7.04
394.0,38.53,21.93,21.86,3.28,92.88,45.57,48.62,7.05
396.0,38.61,21.93,21.86,3.28,92.88,45.57,48.62,7.05
398.0,38.61,21.96,21.86,3.28,93.22,45.57,48.62,7.04
400.0,38.53,21.96,21.86,3.28,92.88,45.67,48.62,7.05
402.0,38.46,21.96,21.82,3.28,92.88,45.67,48.74,7.05
404.0,38.38,21.96,21.79,3.28,92.88,45.67,48.62,7.05
406.0,38.3,21.96,21.79,3.28,92.54,45.67,48.62,7.05
408.0,38.38,22.0,21.79,3.28,92.88,45.77,48.74,7.06
410.0,38.38,22.0,21.79,3.28,92.88,45.67,48.62,7.06
412.0,38.46,22.03,21.79,3.28,92.88,45.77,48.62,7.06
414.0,38.46,22.03,21.82,3.28,92.88,45.87,48.74,7.07
416.0,38.46,22.03,21.86,3.29,92.88,45.97,48.85,7.07
418.0,38.38,22.03,21.82,3.28,92.88,45.87,48.74,7.07
420.0,38.3,22.03,21.79,3.29,92.88,45.87,48.74,7.06
422.0,38.3,22.0,21.76,3.28,92.88,45.87,48.62,7.07
424.0,38.38,22.03,21.76,3.28,92.54,45.77,48.62,7.07
426.0,38.38,21.96,21.76,3.29,92.54,45.67,48.52,7.07
428.0,38.3,21.96,21.76,3.28,92.54,45.67,48.52,7.06
430.0,38.3,21.93,21.73,3.28,92.88,45.67,48.52,7.06
432.0,38.23,21.96,21.73,3.28,92.54,45.67,48.41,7.07
434.0,38.3,21.96,21.73,3.28,92.54,45.67,48.41,7.06
436.0,38.3,22.0,21.73,3.28,92.54,45.67,48.41,7.07
438.0,38.3,22.0,21.76,3.29,92.54,45.67,48.41,7.07
440.0,38.3,21.96,21.73,3.29,92.54,45.77,48.52,7.07
442.0,38.3,22.0,21.76,3.29,92.54,45.77,48.62,7.07
444.0,38.38,21.96,21.79,3.28,92.88,45.77,48.52,7.07
446.0,38.46,21.96,21.79,3.28,92.54,45.77,48.52,7.07
448.0,38.38,22.0,21.79,3.28,92.88,45.67,48.62,7.07
450.0,38.46,22.03,21.82,3.29,92.88,45.77,48.62,7.08
452.0,38.46,22.0,21.82,3.29,92.88,45.77,48.62,7.08
454.0,38.38,22.0,21.79,3.28,92.88,45.87,48.74,7.08
456.0,38.46,22.03,21.86,3.29,92.88,45.87,48.74,7.08
458.0,38.46,22.03,21.86,3.29,92.88,45.87,48.74,7.08
460.0,38.46,22.03,21.86,3.29,93.22,45.87,48.74,7.08
462.0,38.38,22.03,21.82,3.29,93.22,45.77,48.74,7.08
464.0,38.38,22.03,21.86,3.29,93.22,45.87,48.74,7.08
466.0,38.38,22.0,21.82,3.29,93.22,45.87,48.74,7.08
468.0,38.3,22.0,21.82,3.28,92.88,45.87,48.62,7.09
470.0,38.38,22.0,21.79,3.28,92.88,45.87,48.62,7.09
472.0,38.3,22.0,21.79,3.29,92.88,45.97,48.62,7.09
474.0,38.3,22.0,21.79,3.29,92.88,45.87,48.62,7.08
476.0,38.3,22.0,21.79,3.29,92.54,45.87,48.62,7.08
478.0,38.38,22.03,21.79,3.29,92.88,45.87,48.62,7.09
480.0,38.38,22.03,21.79,3.29,92.88,45.77,48.62,7.09
482.0,38.38,22.03,21.79,3.28,92.88,45.87,48.62,7.09
484.0,38.53,22.06,21.82,3.29,92.88,45.97,48.74,7.1
486.0,38.53,22.09,21.86,3.29,93.22,45.97,48.85,7.1
488.0,38.53,22.06,21.89,3.29,93.22,45.97,48.85,7.09
490.0,38.61,22.13,21.92,3.29,93.22,46.07,48.96,7.1
492.0,38.61,22.09,21.92,3.29,93.57,45.97,48.96,7.1
494.0,38.53,22.09,21.92,3.29,93.57,45.97,48.74,7.1
496.0,38.68,22.06,21.95,3.29,93.57,45.97,48.96,7.1
498.0,38.61,22.09,21.95,3.29,93.57,46.07,48.96,7.1
500.0,38.61,22.09,21.95,3.29,93.57,45.97,48.96,7.1
502.0,38.61,22.06,21.95,3.29,93.57,45.97,48.85,7.1
504.0,38.53,22.06,21.89,3.29,93.22,45.87,48.85,7.1
506.0,38.53,22.06,21.92,3.29,93.57,45.97,48.85,7.1
508.0,38.53,22.03,21.89,3.29,93.22,45.87,48.85,7.1
510.0,38.46,22.06,21.89,3.29,93.57,45.97,48.85,7.09
512.0,38.46,22.06,21.89,3.29,93.22,45.97,48.85,7.1
514.0,38.38,22.0,21.82,3.29,92.88,45.77,48.62,7.08
516.0,38.38,22.03,21.79,3.29,92.88,45.77,48.62,7.09
518.0,38.3,21.96,21.76,3.29,92.88,45.77,48.62,7.07
520.0,38.38,22.0,21.79,3.29,92.88,45.87,48.62,7.07
522.0,38.46,22.0,21.82,3.28,92.54,45.77,48.62,7.08
524.0,38.46,22.0,21.82,3.28,92.88,45.77,48.62,7.08
526.0,38.53,22.03,21.86,3.29,92.88,45.87,48.74,7.08
528.0,38.61,22.03,21.89,3.28,93.22,45.87,48.74,7.08
530.0,38.61,22.0,21.89,3.28,93.22,45.87,48.85,7.07
532.0,38.68,22.0,21.95,3.28,93.57,45.87,48.85,7.07
534.0,38.76,22.03,21.99,3.29,93.57,45.87,48.96,7.06
536.0,38.68,22.03,21.99,3.29,93.57,45.87,48.96,7.07
538.0,38.76,22.03,21.99,3.29,93.57,45.77,48.96,7.06
540.0,38.68,22.03,21.99,3.28,93.91,45.87,49.07,7.07
542.0,38.68,22.03,21.99,3.28,93.57,45.77,49.07,7.07
544.0,38.68,22.03,21.99,3.28,93.57,45.77,48.96,7.07
546.0,38.68,22.06,21.95,3.29,93.57,45.97,48.96,7.07
548.0,38.68,22.09,21.99,3.29,93.91,45.97,49.07,7.07
550.0,38.68,22.09,21.99,3.28,93.91,45.97,49.07,7.07
552.0,38.68,22.09,21.99,3.29,93.57,46.07,49.18,7.08
554.0,38.76,22.16,22.02,3.29,93.91,46.07,49.18,7.08
556.0,38.76,22.16,21.99,3.29,93.91,46.07,49.18,7.08
558.0,38.68,22.13,21.99,3.29,93.91,46.07,49.18,7.08
560.0,38.61,22.09,21.95,3.29,93.57,46.07,49.07,7.07
562.0,38.53,22.09,21.92,3.29,93.57,45.97,49.07,7.07
564.0,38.61,22.09,21.89,3.28,93.22,46.07,48.96,7.07
566.0,38.61,22.13,21.89,3.29,93.57,46.07,48.96,7.07
568.0,38.53,22.09,21.89,3.29,93.57,45.97,48.96,7.07
570.0,38.61,22.06,21.89,3.29,93.57,45.97,48.96,7.06
572.0,38.61,22.13,21.92,3.29,93.22,45.97,48.96,7.06
574.0,38.61,22.09,21.89,3.28,93.22,45.97,48.96,7.06
576.0,38.53,22.06,21.89,3.29,93.22,45.87,48.85,7.06
578.0,38.53,22.06,21.86,3.28,93.22,45.87,48.85,7.06
580.0,38.53,22.03,21.86,3.28,93.22,45.77,48.62,7.04
582.0,38.53,22.03,21.86,3.28,93.22,45.87,48.74,7.05
584.0,38.61,22.06,21.86,3.28,93.22,45.97,48.85,7.04
586.0,38.61,22.09,21.89,3.28,93.22,45.97,48.96,7.05
588.0,38.61,22.13,21.92,3.28,93.57,45.97,48.96,7.05
590.0,38.61,22.13,21.95,3.28,93.57,46.07,48.96,7.05
592.0,38.61,22.09,21.89,3.28,93.57,45.97,48.96,7.04
594.0,38.53,22.09,21.89,3.28,93.22,45.97,48.85,7.05
596.0,38.53,22.06,21.86,3.28,93.22,45.97,48.96,7.04
598.0,38.53,22.06,21.89,3.28,93.22,45.97,48.96,7.03
