timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,38.23,21.64,23.98,2.74,85.02,54.7,83.77,9.62
2.0,38.3,21.64,24.02,2.74,84.73,54.7,83.77,9.62
4.0,38.3,21.64,24.02,2.73,85.02,54.7,84.05,9.62
6.0,38.3,21.64,24.06,2.74,85.02,54.7,83.77,9.61
8.0,38.3,21.67,24.06,2.73,84.73,54.56,84.05,9.62
10.0,38.3,21.67,24.06,2.74,85.02,54.7,84.05,9.61
12.0,38.3,21.67,24.06,2.74,85.02,54.7,83.77,9.61
14.0,38.3,21.7,24.09,2.75,85.02,54.83,84.05,9.6
16.0,38.38,21.67,24.09,2.73,85.02,54.83,84.05,9.61
18.0,38.46,21.67,24.09,2.74,85.02,54.83,84.05,9.6
20.0,38.46,21.7,24.13,2.75,85.02,54.83,84.33,9.6
22.0,38.46,21.7,24.13,2.75,85.02,54.83,84.05,9.6
24.0,38.38,21.67,24.09,2.73,85.02,54.7,84.05,9.59
26.0,38.3,21.67,24.09,2.74,85.02,54.83,84.05,9.59
28.0,38.3,21.67,24.06,2.75,85.02,54.83,84.05,9.59
30.0,38.3,21.67,24.06,2.74,85.02,54.7,84.05,9.59
32.0,38.3,21.67,24.06,2.75,85.02,54.83,84.05,9.57
34.0,38.23,21.64,24.02,2.74,84.73,54.7,84.05,9.57
36.0,38.23,21.67,24.02,2.74,84.44,54.7,84.05,9.56
38.0,38.23,21.67,24.02,2.74,84.73,54.7,84.05,9.56
40.0,38.23,21.67,24.02,2.74,85.02,54.83,84.05,9.56
42.0,38.23,21.67,24.02,2.75,84.73,54.83,83.77,9.55
44.0,38.23,21.67,24.02,2.74,84.73,54.7,84.05,9.56
46.0,38.3,21.7,24.02,2.74,85.02,54.83,84.05,9.56
48.0,38.3,21.7,24.06,2.75,85.02,54.97,84.05,9.56
