timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,39.54,18.77,21.92,5.59,73.97,46.07,56.23,7.03
2.0,39.54,18.82,21.92,5.6,73.97,46.27,56.52,7.03
4.0,39.62,18.82,21.92,5.6,73.97,46.27,56.52,7.03
6.0,39.62,18.88,21.92,5.6,73.97,46.27,56.52,7.05
8.0,39.46,18.82,21.86,5.6,73.97,46.17,56.38,7.05
10.0,39.46,18.82,21.89,5.61,73.97,46.27,56.38,7.04
12.0,39.46,18.82,21.92,5.6,73.97,46.27,56.38,7.04
14.0,39.54,18.82,21.89,5.6,73.97,46.27,56.38,7.03
16.0,39.54,18.8,21.89,5.6,73.97,46.07,56.38,7.04
18.0,39.62,18.85,21.95,5.6,74.2,46.38,56.52,7.04
20.0,39.62,18.85,21.95,5.61,74.2,46.27,56.52,7.04
22.0,39.7,18.85,21.95,5.61,74.2,46.38,56.52,7.04
24.0,39.7,18.8,21.92,5.61,73.97,46.17,56.38,7.04
26.0,39.62,18.8,21.92,5.6,73.97,46.17,56.23,7.03
28.0,39.7,18.8,21.95,5.59,74.2,46.17,56.52,7.04
30.0,39.78,18.85,21.95,5.59,74.2,46.27,56.66,7.04
32.0,39.7,18.82,21.99,5.59,74.2,46.17,56.52,7.04
34.0,39.7,18.82,21.95,5.59,74.2,46.17,56.66,7.04
36.0,39.62,18.8,21.92,5.59,73.97,46.17,56.66,7.03
38.0,39.7,18.82,21.99,5.59,74.2,46.17,56.66,7.04
40.0,39.78,18.8,21.99,5.6,74.2,46.17,56.66,7.05
42.0,39.7,18.82,21.99,5.59,74.43,46.27,56.8,7.04
44.0,39.78,18.85,22.02,5.59,74.43,46.27,56.66,7.05
46.0,39.78,18.82,21.99,5.59,74.2,46.27,56.52,7.05
48.0,39.78,18.85,22.02,5.6,74.2,46.27,56.8,7.04
50.0,39.86,18.88,22.02,5.6,74.43,46.38,56.8,7.06
52.0,39.78,18.85,22.02,5.6,74.43,46.27,56.8,7.04
54.0,39.78,18.85,22.02,5.59,74.43,46.27,56.66,7.03
56.0,40.02,18.82,22.05,5.59,74.66,46.27,56.52,7.03
58.0,40.02,18.82,22.12,5.59,74.89,46.27,56.52,7.03
60.0,39.94,18.77,21.92,5.53,74.66,46.07,55.67,6.94
62.0,39.46,18.61,21.41,5.34,73.08,45.27,53.92,6.72
64.0,38.99,18.53,21.0,5.07,71.98,44.6,52.89,6.44
