timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,40.5,19.31,22.46,5.21,75.59,47.21,57.38,6.33
2.0,40.59,19.34,22.52,5.23,75.83,47.31,57.67,6.33
4.0,40.59,19.34,22.49,5.22,75.83,47.31,57.53,6.34
6.0,40.5,19.28,22.46,5.21,75.83,47.21,57.53,6.34
8.0,40.59,19.28,22.46,5.22,75.83,47.21,57.53,6.34
10.0,40.34,19.15,22.35,5.21,75.36,47.0,57.23,6.33
12.0,40.59,19.26,22.46,5.21,75.59,47.21,57.53,6.34
14.0,40.84,19.45,22.66,5.24,76.31,47.42,57.97,6.37
16.0,40.92,19.45,22.7,5.25,76.31,47.52,57.97,6.37
18.0,40.84,19.39,22.63,5.24,76.31,47.42,57.82,6.36
20.0,40.75,19.34,22.59,5.24,76.07,47.42,57.67,6.37
22.0,40.67,19.31,22.56,5.24,76.07,47.31,57.82,6.37
24.0,40.75,19.31,22.56,5.24,76.07,47.31,57.82,6.37
26.0,40.75,19.34,22.59,5.23,76.31,47.42,57.82,6.37
28.0,40.75,19.31,22.52,5.24,76.07,47.21,57.82,6.38
30.0,40.67,19.28,22.56,5.24,76.07,47.21,57.67,6.37
32.0,40.59,19.28,22.52,5.24,75.83,47.31,57.67,6.37
34.0,40.42,19.17,22.39,5.23,75.83,47.1,57.38,6.38
36.0,40.26,19.15,22.32,5.22,75.59,47.0,57.23,6.37
38.0,40.34,19.15,22.32,5.22,75.59,47.0,57.23,6.37
40.0,40.18,19.09,22.25,5.21,75.36,46.89,57.09,6.37
42.0,40.18,19.09,22.25,5.21,75.36,46.79,57.09,6.37
44.0,40.34,19.2,22.32,5.23,75.36,46.89,57.38,6.39
46.0,40.5,19.26,22.46,5.24,75.83,47.21,57.53,6.38
48.0,40.5,19.2,22.46,5.23,75.59,47.1,57.53,6.38
50.0,40.42,19.23,22.42,5.24,75.59,47.1,57.38,6.39
52.0,40.5,19.2,22.42,5.23,75.59,47.1,57.23,6.39
54.0,40.67,19.2,22.52,5.24,76.07,47.21,57.23,6.4
56.0,40.59,19.15,22.25,5.12,75.12,47.0,54.99,6.19
58.0,38.61,19.09,20.39,4.05,66.91,46.79,47.12,4.86
60.0,36.43,19.07,18.95,2.68,58.89,46.79,42.5,3.32
62.0,34.82,19.09,18.06,1.84,54.33,46.89,39.89,2.32
64.0,33.69,19.12,17.49,1.42,51.52,46.89,38.11,1.78
66.0,32.84,19.15,17.1,1.21,49.75,47.0,36.95,1.47
68.0,32.26,19.15,16.78,1.08,48.29,46.89,36.05,1.29
70.0,31.8,19.09,16.5,1.0,47.33,46.79,35.38,1.18
72.0,31.41,19.09,16.34,0.96,46.49,46.69,34.86,1.1
74.0,31.25,19.17,16.19,0.92,45.98,46.69,34.53,1.05
76.0,31.09,19.17,16.06,0.89,45.58,46.69,34.22,1.02
78.0,30.87,19.17,15.97,0.87,45.09,46.79,33.97,0.98
80.0,30.71,19.15,15.88,0.86,44.8,46.58,33.78,0.97
82.0,30.65,19.09,15.78,0.85,44.7,46.58,33.6,0.95
84.0,30.6,19.15,15.8,0.84,44.51,46.58,33.54,0.94
86.0,30.5,19.12,15.73,0.83,44.32,46.48,33.48,0.94
88.0,30.5,19.09,15.67,0.82,44.22,46.48,33.3,0.92
90.0,30.44,19.07,15.65,0.82,44.13,46.27,33.3,0.92
92.0,30.44,19.15,15.65,0.81,44.13,46.48,33.3,0.91
94.0,30.55,19.2,15.71,0.82,44.03,46.58,33.3,0.91
96.0,30.39,19.15,15.63,0.81,43.94,46.38,33.18,0.9
98.0,30.18,19.01,15.54,0.81,43.75,46.17,33.06,0.9
100.0,30.18,18.96,15.48,0.81,43.66,45.97,32.94,0.9
102.0,30.13,18.96,15.48,0.8,43.57,46.07,33.0,0.89
104.0,30.18,18.96,15.46,0.8,43.48,46.07,32.94,0.89
106.0,30.18,18.98,15.48,0.8,43.57,46.07,32.94,0.89
108.0,30.18,18.98,15.48,0.81,43.57,46.07,32.94,0.89
110.0,30.13,19.01,15.46,0.8,43.48,46.17,32.88,0.89
112.0,30.13,19.04,15.44,0.8,43.38,46.17,32.82,0.89
114.0,30.03,18.98,15.4,0.8,43.29,46.17,32.76,0.88
116.0,29.97,18.96,15.4,0.8,43.29,46.17,32.76,0.88
118.0,30.03,18.96,15.4,0.8,43.29,46.17,32.76,0.88
