timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611 5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,38.84,18.56,21.5,5.42,72.2,45.27,54.99,6.8
2.0,38.84,18.59,21.53,5.42,72.2,45.37,55.26,6.79
4.0,38.91,18.59,21.53,5.43,72.2,45.37,55.13,6.8
6.0,38.99,18.61,21.6,5.43,72.41,45.37,55.13,6.8
8.0,39.07,18.64,21.6,5.44,72.41,45.47,55.26,6.8
10.0,39.07,18.61,21.6,5.44,72.41,45.27,55.26,6.8
12.0,39.07,18.61,21.6,5.44,72.41,45.37,55.26,6.8
14.0,39.07,18.59,21.6,5.44,72.41,45.37,55.26,6.8
16.0,39.07,18.59,21.6,5.45,72.41,45.37,55.26,6.8
18.0,39.07,18.61,21.63,5.44,72.41,45.37,55.4,6.8
20.0,39.15,18.64,21.66,5.45,72.63,45.67,55.4,6.8
22.0,39.15,18.64,21.69,5.45,72.63,45.47,55.54,6.8
24.0,39.07,18.66,21.69,5.46,72.63,45.57,55.4,6.8
26.0,39.07,18.66,21.66,5.46,72.63,45.47,55.4,6.8
28.0,38.99,18.64,21.63,5.46,72.63,45.47,55.26,6.8
30.0,38.99,18.64,21.63,5.45,72.63,45.57,55.4,6.8
32.0,38.99,18.64,21.63,5.45,72.41,45.47,55.26,6.8
34.0,38.91,18.64,21.63,5.46,72.41,45.47,55.13,6.8
36.0,38.99,18.66,21.63,5.46,72.41,45.57,55.13,6.8
38.0,38.99,18.64,21.6,5.46,72.2,45.47,55.26,6.8
40.0,38.99,18.64,21.6,5.45,72.2,45.47,55.26,6.8
42.0,39.07,18.64,21.63,5.46,72.41,45.47,55.26,6.8
44.0,39.07,18.69,21.66,5.46,72.41,45.67,55.4,6.8
46.0,39.07,18.64,21.63,5.46,72.41,45.57,55.26,6.8
48.0,39.22,18.66,21.66,5.46,72.63,45.57,55.13,6.8
50.0,39.22,18.64,21.73,5.45,72.85,45.47,54.99,6.8
52.0,37.2,18.17,20.54,5.46,68.06,44.22,46.09,6.79
54.0,30.23,16.45,16.66,5.42,49.52,37.37,29.61,6.77
56.0,24.9,14.76,14.17,5.36,36.1,29.8,23.36,6.71
58.0,22.05,13.65,12.87,5.28,30.19,25.2,20.85,6.67
60.0,20.42,12.87,12.09,5.2,27.21,22.52,19.56,6.6
62.0,19.41,12.34,11.6,5.11,25.59,20.87,18.8,6.53
64.0,18.79,11.98,11.24,5.04,24.56,19.81,18.25,6.48
66.0,18.29,11.7,10.96,4.97,23.73,19.0,17.82,6.41
68.0,17.96,11.46,10.75,4.9,23.23,18.47,17.52,6.35
70.0,17.68,11.3,10.6,4.85,22.81,18.01,17.28,6.29
