timestamp,tgs2600,tgs2603,tgs2611,tgs2602,micsD,micsH,micsA,temp,humi
0,4488713,4923448,546230,3568685,8225313,8229462,7174346,26816,23592
10,4488766,4923614,546328,3568118,8165009,8168020,7134446,26800,23613
20,4488933,4923614,546303,3567972,8156063,8158466,7130793,26800,23605
30,4489151,4923827,546264,3568077,8154698,8156933,7129111,26816,23584
40,4489280,4923754,546365,3568375,8154697,8156701,7128844,26792,23596
50,4489396,4923999,546271,3567881,8154490,8156609,7129481,26800,23589
60,4489346,4923864,546319,3567951,8154500,8156596,7129217,26800,23605
70,4489699,4924007,546255,3567686,8154567,8156797,7129384,26824,23577
80,4489685,4923943,546321,3567680,8154579,8156803,7129733,26816,23608
90,4489971,4923970,546283,3567784,8154432,8156623,7130255,26816,23592
100,4489911,4924139,546275,3567908,8154445,8156587,7130512,26808,23591
110,4490133,4924025,546280,3567457,8154487,8156676,7130085,26840,23604
120,4490315,4924193,546227,3567965,8154464,8156720,7130368,26816,23592
130,4490394,4924413,546322,3567740,8154538,8156536,7130472,26808,23623
140,4490513,4924228,546247,3567662,8154412,8156634,7130388,26800,23629
150,4490510,4924243,546317,3567790,8154451,8156665,7130114,26824,23601
160,4490869,4924542,546304,3567661,8154464,8156514,7129966,26800,23597
170,4490851,4924544,546326,3567729,8154641,8156695,7130062,26816,23592
180,4490962,4924591,546289,3567675,8154640,8156817,7129947,26784,23578
190,4491096,4924615,546285,3567820,8154439,8156487,7129739,26816,23616
200,4491036,4924609,546310,3568404,8154586,8156635,7130096,26816,23584
210,4491308,4924447,546298,3567719,8154386,8156606,7130098,26824,23609
220,4491439,4924792,546295,3567330,8154333,8156448,7130155,26824,23609
230,4491608,4924820,546253,3568122,8154478,8156667,7130033,26824,23617
240,4491614,4924810,546298,3568078,8154530,8156638,7129628,26816,23616
250,4492025,4924857,546304,3568141,8154454,8156457,7129255,26792,23604
260,4491934,4924940,546333,3568109,8154299,8156468,7129319,26832,23611
270,4492052,4925055,546292,3567728,8154348,8156697,7129621,26816,23600
280,4492296,4924909,546262,3568251,8154295,8156421,7129497,26840,23612
290,4492286,4925224,546264,3567942,8154293,8156590,7129731,26800,23605
300,4492394,4925054,546260,3567785,8154323,8156603,7129708,26816,23592
310,4492651,4925245,546320,3568127,8154504,8156491,7130039,26816,23600
320,4492802,4925358,546304,3567110,8154505,8156566,7130128,26792,23588
330,4492683,4925289,546335,3567533,8154507,8156519,7130322,26816,23608
340,4492857,4925448,546297,3567529,8154373,8156465,7129912,26800,23613
350,4492844,4925256,546305,3567757,8154338,8156466,7130006,26816,23600
360,4493369,4925428,546305,3567917,8154362,8156494,7129704,26792,23604
370,4493410,4925434,546318,3567462,8154232,8156428,7129984,26808,23599
380,4493493,4925670,546263,3567635,8154301,8156438,7130059,26808,23623
