timestamp,tgs2600,tgs2603,tgs2611,tgs2602,micsD,micsH,micsA,temp,humi
0,6092122,4755204,387354,3190460,8227712,8232192,7394915,27952,17268
10,6092400,4755241,387344,3190089,8167636,8170558,7350881,27920,17278
20,6092188,4755268,387400,3189733,8158781,8161354,7345180,27936,17281
30,6092386,4755240,387303,3189525,8157291,8159669,7343925,27944,17283
40,6092313,4755217,387352,3189938,8157222,8159185,7343622,27976,17296
50,6092344,4755329,387341,3189633,8156880,8159316,7343503,27936,17289
60,6092220,4755278,387283,3189243,8157230,8159236,7343589,27904,17276
70,6092543,4755406,387366,3189395,8156975,8159329,7343335,27960,17270
80,6092248,4755136,387292,3189515,8157058,8159162,7343123,27952,17284
90,6092256,4755095,387300,3189446,8156862,8159081,7343279,27936,17281
100,6091999,4755217,387303,3189645,8157041,8159212,7343410,27952,17292
110,6091894,4755119,387280,3188984,8156651,8158872,7343444,27944,17275
120,6091938,4754898,387283,3189452,8156716,8158954,7343089,27960,17294
130,6091905,4754940,387254,3189360,8156381,8158824,7343252,27952,17284
140,6091535,4754880,387230,3189117,8156970,8158948,7343343,27952,17284
150,6091587,4754929,387262,3189227,8156714,8159186,7343897,27960,17270
160,6091674,4755078,387229,3189087,8156641,8158945,7343588,27984,17290
170,6091560,4754953,387166,3189422,8156739,8159328,7344594,27928,17272
180,6091676,4754790,387131,3189115,8156883,8159622,7344945,27960,17286
190,6091490,4754937,387148,3189044,8156754,8159042,7344078,27960,17286
200,6091766,4754750,387235,3189844,8157673,8160044,7345678,27936,17273
210,6085133,4754835,387174,3189677,8154689,8155540,7341206,27968,17303
220,6082311,4754722,387204,3189557,8156472,8158537,7345462,27928,17296
230,6077837,4754798,387236,3189617,8156661,8159129,7345887,27944,17275
240,6073502,4754771,387128,3189509,8156919,8159019,7344932,27928,17248
250,6070546,4754553,387151,3189231,8156628,8158953,7344725,27936,17257
260,6069193,4754753,387182,3189159,8156648,8158776,7344420,27960,17254
270,6068121,4754529,387190,3189397,8156115,8158424,7345633,27936,17241
280,6067757,4754411,387246,3189054,8156208,8158128,7352653,27952,17220
290,6067821,4754483,387204,3188752,8156782,8158899,7372847,27952,17244
300,6067815,4754292,387230,3188921,8156741,8158658,7413534,27928,17192
310,6067616,4754473,387225,3189118,8156254,8158449,7461027,27936,17225
320,6067560,4754103,387263,3189341,8156261,8158099,7475224,27952,17196
330,6067410,4753884,387159,3188863,8156591,8159068,7459633,27936,17209
340,6067580,4753938,387248,3189102,8156461,8159064,7425504,27960,17230
350,6067654,4753807,387231,3189446,8156216,8158544,7394605,27928,17192
360,6067739,4753064,387174,3189046,8156436,8158183,7373758,27920,17182
370,6067409,4752178,387171,3188914,8156445,8158711,7362864,27968,17167
380,6067827,4750915,387207,3189269,8156576,8158838,7374268,27952,17172
390,6067592,4747513,387151,3189253,8156563,8158582,7427272,27952,17172
400,6067546,4743912,387120,3189278,8156437,8158598,7435383,27944,17155
410,6067704,4741352,387179,3188683,8156743,8159169,7426274,27944,17139
420,6067768,4739901,387189,3189263,8156622,8159027,7407922,27952,17132
430,6067880,4738773,387180,3189118,8156437,8158376,7385001,27952,17156
