timestamp,tgs2600,tgs2603,tgs2611,tgs2602,micsD,micsH,micsA,temp,humi
0,3765218,3231555,381465,3101672,8228584,8232692,7539718,27816,16916
10,3766038,3231639,381492,3101228,8168165,8171089,7493469,27824,16917
20,3766193,3231722,381445,3100810,8159365,8161704,7487924,27816,16924
30,3765545,3231618,381468,3100880,8157939,8160484,7487305,27808,16930
40,3765787,3231857,381516,3100890,8157711,8159826,7487108,27824,16941
50,3765907,3231685,381476,3100064,8157391,8159769,7487006,27832,16935
60,3766172,3231786,381476,3100600,8157498,8159800,7487093,27832,16927
70,3765962,3231815,381456,3100288,8157567,8159873,7487215,27840,16928
80,3765912,3231793,381428,3100390,8157439,8159737,7486873,27824,16925
90,3766192,3231786,381472,3100103,8157630,8159645,7486998,27808,16922
100,3766381,3231949,381493,3100148,8157280,8159542,7487262,27832,16911
110,3766472,3231840,381466,3100187,8157537,8159709,7486996,27840,16936
120,3765833,3232009,381486,3100196,8157475,8159551,7487232,27840,16928
130,3765918,3232167,381480,3100028,8157537,8159663,7486963,27824,16949
140,3766062,3232015,381489,3100437,8157590,8159646,7486809,27816,16932
150,3766173,3232117,381459,3100392,8157432,8159655,7487012,27856,16931
160,3765826,3232262,381540,3099915,8157378,8159654,7486872,27840,16928
170,3765445,3232258,381478,3100399,8157383,8159520,7486849,27840,16944
180,3765409,3232319,381464,3100041,8157551,8159678,7486823,27864,16932
190,3766164,3232314,381533,3099957,8157559,8159792,7487183,27848,16937
200,3765915,3232175,381470,3099766,8157383,8159406,7486994,27840,16944
210,3765907,3232399,381454,3099864,8157563,8159518,7486866,27824,16925
220,3766415,3232278,381453,3100102,8157264,8159638,7486705,27840,16936
230,3767196,3232364,381464,3100232,8157241,8159584,7486983,27840,16936
240,3766547,3232471,381528,3099868,8157554,8159623,7486615,27808,16938
250,3766101,3232366,381483,3099890,8157282,8159513,7486677,27816,16964
260,3765956,3232527,381484,3100220,8157203,8159522,7486515,27840,16944
270,3766224,3232610,381502,3100031,8157500,8159581,7486347,27816,16940
280,3766316,3232638,381504,3100079,8157268,8159519,7486434,27824,16949
290,3766470,3232656,381501,3100032,8157355,8159796,7486701,27816,16924
300,3766714,3232746,381504,3099712,8157196,8159426,7486621,27808,16930
310,3766425,3232726,381541,3099888,8157432,8159551,7487088,27872,16942
320,3766973,3232744,381494,3099866,8157391,8159553,7486869,27816,16924
330,3766717,3232956,381475,3100168,8157480,8159619,7487011,27832,16919
340,3766850,3232844,381507,3100220,8157345,8159659,7487210,27832,16935
350,3766827,3232907,381523,3100125,8157350,8159406,7486903,27856,16931
360,3766279,3232934,381455,3100312,8157254,8159569,7487149,27840,16928
370,3766229,3232844,381467,3099863,8157385,8159683,7486972,27832,16927
380,3767165,3232909,381443,3100237,8157482,8159611,7486574,27832,16927
390,3766597,3233013,381463,3099914,8157323,8159452,7486793,27840,16936
400,3766857,3233082,381493,3100084,8157281,8159428,7486495,27848,16921
410,3767623,3233101,381510,3100345,8157432,8159470,7486755,27824,16925
420,3767115,3233101,381482,3100162,8157296,8159705,7486456,27832,16935
430,3766794,3233133,381467,3100038,8157482,8159470,7486751,27824,16917
440,3767492,3233120,381543,3100294,8157398,8159752,7486660,27840,16936
450,3767040,3233269,381513,3100686,8157337,8159479,7486920,27824,16909
460,3767152,3233269,381490,3100453,8157257,8159563,7486850,27840,16952
470,3767036,3233347,381526,3100353,8157271,8159340,7486976,27840,16920
480,3766789,3233381,381524,3100519,8157347,8159705,7487019,27824,16941
490,3767464,3233327,381502,3100067,8157297,8159565,7486778,27840,16928
500,3767781,3233369,381517,3099966,8157467,8159443,7487021,27824,16933
510,3767208,3233365,381471,3100322,8157401,8159469,7487190,27832,16919
520,3767491,3233652,381467,3100144,8157418,8159409,7486891,27848,16929
530,3767735,3233539,381471,3100393,8157291,8159537,7487148,27816,16932
540,3767344,3233569,381506,3100564,8157394,8159457,7487219,27848,16937
550,3767320,3233589,381534,3100298,8157618,8159623,7487194,27848,16945
560,3767219,3233755,381523,3100528,8157455,8159665,7486934,27840,16920
570,3767497,3233768,381500,3100169,8157261,8159349,7487097,27824,16941
580,3767605,3233668,381498,3100070,8157348,8159509,7487072,27840,16936
590,3767306,3233703,381503,3100305,8157456,8159633,7487272,27848,16937
600,3767265,3233615,381472,3100082,8157234,8159380,7487276,27832,16943
610,3767241,3233884,381528,3100282,8157579,8159551,7486978,27824,16933
620,3767327,3233915,381502,3100022,8157499,8159583,7487215,27824,16925
630,3767312,3233968,381495,3100287,8157501,8159684,7487361,27824,16917
640,3766920,3233959,381487,3100663,8157333,8159531,7487250,27808,16914
650,3767350,3233899,381542,3100477,8157605,8159659,7487135,27824,16917
660,3766953,3234181,381491,3100264,8157322,8159378,7486589,27816,16924
670,3767238,3234033,381487,3100257,8157355,8159541,7486610,27832,16927
680,3767801,3234086,381495,3100474,8157305,8159570,7486843,27840,16944
690,3767577,3234043,381532,3100516,8157257,8159459,7486973,27848,16937
700,3767844,3234324,381467,3100382,8157414,8159584,7487089,27816,16900
710,3767694,3234161,381518,3100331,8157354,8159721,7487317,27840,16944
720,3767373,3234177,381489,3100500,8157457,8159510,7487202,27824,16941
730,3767426,3234236,381502,3100376,8157311,8159665,7487395,27816,16932
740,3767306,3234333,381513,3100379,8157394,8159714,7487392,27840,16944
750,3767610,3234369,381521,3100484,8157383,8159546,7487241,27848,16937
760,3767476,3234325,381509,3100663,8157440,8159403,7487026,27832,16943
770,3767263,3234360,381476,3100408,8157383,8159627,7487242,27840,16928
780,3767977,3234534,381526,3100405,8157515,8159667,7487603,27808,16930
790,3767729,3234625,381508,3100349,8157628,8159532,7487140,27832,16927
800,3767546,3234713,381530,3100603,8157545,8159637,7487233,27816,16940
810,3767645,3234536,381529,3100655,8157375,8159581,7487083,27840,16928
820,3767443,3234652,381492,3100558,8157330,8159550,7486927,27840,16928
830,3767648,3234716,381508,3100353,8157431,8159551,7487212,27800,16929
840,3767206,3234745,381489,3100459,8157394,8159726,7487022,27824,16917
850,3767700,3234694,381508,3100382,8157182,8159593,7486899,27848,16913
860,3767563,3234934,381458,3100385,8157441,8159429,7486967,27832,16919
870,3767340,3234815,381588,3100556,8157385,8159597,7487166,27840,16928
880,3767776,3234844,381475,3100565,8157317,8159567,7487230,27816,16916
890,3768866,3234923,381513,3100608,8157517,8159604,7487126,27848,16921
900,3768202,3234950,381511,3100485,8157547,8159576,7487249,27832,16935
910,3768149,3235041,381529,3100198,8157352,8159511,7487229,27824,16917
920,3767803,3234884,381526,3100604,8157280,8159567,7487413,27824,16917
930,3768066,3234924,381440,3100632,8157436,8159475,7487249,27832,16951
940,3767677,3235015,381499,3100396,8157437,8159548,7486908,27816,16916
950,3768046,3235094,381511,3100593,8157080,8159335,7487064,27856,16939
960,3767754,3235066,381516,3100785,8157229,8159408,7487266,27824,16917
970,3767849,3235108,381502,3100703,8157238,8159423,7487252,27808,16930
980,3767906,3235144,381538,3100698,8157265,8159430,7487539,27856,16923
990,3767769,3235286,381601,3100599,8157394,8159580,7487238,27840,16912
1000,3767391,3235196,381470,3100790,8157225,8159394,7487219,27832,16911
1010,3767116,3235248,381457,3101038,8157333,8159723,7486941,27832,16911
1020,3767754,3235253,381486,3100663,8157316,8159488,7486773,27840,16920
1030,3767423,3235380,381505,3100568,8157418,8159469,7486155,27832,16919
1040,3767272,3235388,381465,3100636,8157394,8159370,7485930,27808,16922
1050,3767426,3235475,381516,3100697,8157185,8159496,7485982,27848,16921
1060,3768895,3235550,381535,3100932,8157493,8159425,7485711,27848,16913
1070,3768205,3235498,381534,3100766,8157304,8159411,7485756,27848,16945
1080,3767706,3235462,381489,3100827,8157181,8159492,7485618,27816,16932
1090,3768706,3235532,381427,3100525,8157257,8159514,7485752,27816,16916
1100,3768244,3235528,381381,3100596,8157132,8159137,7485219,27832,16927
1110,3768166,3235566,381358,3100722,8156851,8159091,7485266,27856,16915
1120,3765866,3235547,381422,3100501,8156957,8159329,7485547,27824,16941
1130,3765947,3235597,381364,3100370,8156901,8159109,7485418,27816,16940
1140,3770347,3235564,381362,3100675,8156971,8159021,7485239,27816,16924
1150,3769114,3235546,381378,3100536,8156783,8158936,7484811,27832,16919
1160,3770061,3235585,381362,3100600,8156703,8159402,7484871,27840,16928
1170,3769762,3235444,381333,3100685,8157089,8159689,7485701,27872,16926
1180,3770594,3235585,381333,3100196,8156957,8159375,7486050,27848,16937
1190,3767383,3235868,381367,3100575,8157574,8160078,7486828,27832,16911
1200,3765683,3235677,381403,3100652,8157219,8159997,7486527,27824,16933
1210,3762976,3235641,381318,3100962,8156566,8158492,7484860,27872,16950
1220,3762016,3235930,381364,3100941,8156597,8158538,7484813,27840,16944
1230,3761341,3235656,381344,3100642,8156611,8158871,7485186,27840,16936
1240,3760503,3235895,381334,3100380,8156681,8159019,7485767,27832,16959
