timestamp,tgs2600,tgs2603,tgs2611,tgs2602,micsD,micsH,micsA,temp,humi
0,3661,1613,264,2400,1598,2486,585,26238,36099
10,3660,1613,264,2400,1597,2485,585,26238,36107
20,3661,1613,266,2399,1596,2485,585,26190,36091
30,3661,1614,267,2399,1595,2484,584,26206,36093
40,3661,1613,266,2400,1595,2484,584,26198,36076
50,3660,1613,267,2399,1595,2484,584,26198,36084
60,3661,1613,267,2400,1594,2484,584,26198,36092
70,3660,1613,267,2400,1595,2484,584,26222,36088
80,3660,1614,267,2400,1595,2484,584,26206,36085
90,3661,1614,267,2399,1595,2484,584,26214,36055
100,3660,1613,267,2400,1594,2484,584,26214,36111
110,3661,1613,267,2399,1595,2484,584,26198,36084
120,3661,1613,267,2399,1595,2484,584,26206,36101
130,3660,1613,267,2400,1594,2484,584,26198,36076
140,3660,1613,267,2399,1594,2484,584,26214,36079
150,3660,1613,266,2399,1595,2485,584,26222,36080
160,3661,1613,267,2400,1595,2485,584,26206,36077
170,3661,1613,267,2399,1594,2484,584,26214,36071
180,3658,1613,267,2399,1594,2485,584,26198,36084
190,3657,1613,267,2399,1594,2485,584,26198,36084
200,3656,1614,267,2400,1594,2486,584,26214,36055
210,3656,1613,267,2399,1594,2486,584,26206,36053
220,3655,1613,267,2399,1593,2487,585,26198,36036
230,3656,1613,267,2399,1592,2490,591,26198,36044
240,3655,1613,267,2399,1594,2493,593,26190,36035
250,3656,1613,267,2400,1596,2496,593,26198,36036
260,3656,1613,267,2399,1597,2498,592,26238,35995
270,3656,1613,267,2400,1597,2497,589,26222,36016
280,3656,1613,267,2399,1595,2495,587,26238,35987
290,3655,1613,267,2399,1594,2495,588,26206,35989
300,3656,1613,267,2400,1597,2497,589,26206,35973
310,3656,1613,267,2400,1597,2499,591,26198,35948
320,3656,1613,267,2399,1598,2500,590,26206,35933
330,3656,1613,267,2399,1598,2500,589,26198,35924
340,3656,1613,267,2399,1597,2500,587,26190,35891
350,3656,1613,267,2400,1597,2499,586,26238,35883
360,3656,1613,267,2400,1598,2498,586,26230,35858
370,3656,1613,267,2399,1600,2498,587,26182,35841
380,3655,1613,266,2400,1599,2498,586,26238,35835
390,3656,1613,267,2399,1598,2499,586,26214,35839
400,3655,1613,267,2399,1598,2499,586,26198,35804
410,3656,1613,267,2399,1599,2499,585,26214,35799
420,3655,1613,267,2400,1599,2500,585,26214,35807
430,3656,1613,267,2399,1599,2500,585,26206,35765
440,3656,1613,267,2399,1600,2500,585,26214,35791
450,3655,1613,267,2400,1600,2499,585,26238,35803
460,3656,1613,267,2400,1602,2499,585,26222,35800
470,3655,1613,267,2400,1603,2498,585,26222,35784
480,3655,1613,267,2399,1604,2497,586,26214,35783
490,3656,1613,267,2400,1604,2496,586,26222,35800
500,3655,1613,267,2399,1605,2495,586,26238,35835
510,3655,1613,267,2399,1605,2494,586,26222,35808
520,3655,1613,267,2400,1606,2494,587,26206,35829
530,3655,1613,267,2400,1606,2493,587,26206,35821
540,3656,1613,267,2400,1606,2492,587,26238,35827
550,3655,1613,267,2400,1606,2492,587,26230,35842
560,3654,1613,267,2399,1606,2492,587,26238,35883
570,3655,1613,267,2399,1606,2492,587,26230,35874
580,3654,1613,267,2399,1607,2491,587,26206,35885
590,3654,1613,267,2399,1607,2490,587,26222,35864
600,3654,1613,267,2399,1607,2490,587,26214,35895
610,3655,1613,267,2399,1607,2490,587,26222,35872
620,3654,1613,267,2399,1607,2490,587,26230,35874
630,3655,1613,267,2398,1608,2490,587,26214,35895
640,3654,1613,267,2398,1608,2490,588,26230,35898
650,3654,1613,266,2398,1608,2489,587,26198,35916
660,3654,1613,267,2397,1609,2489,588,26214,35911
670,3654,1613,267,2396,1609,2488,588,26262,35919
680,3654,1613,267,2395,1609,2488,588,26238,35923
690,3654,1613,267,2395,1609,2487,588,26206,35893
700,3654,1613,267,2395,1610,2487,588,26206,35901
710,3654,1613,267,2395,1610,2486,588,26214,35911
720,3654,1613,267,2395,1610,2487,588,26222,35920
730,3654,1613,267,2395,1610,2486,588,26238,35899
740,3654,1613,267,2395,1610,2486,588,26238,35931
750,3654,1613,267,2394,1610,2486,588,26222,35904
760,3653,1613,267,2395,1610,2486,588,26214,35919
770,3653,1613,267,2395,1610,2486,588,26190,35915
780,3654,1613,267,2394,1610,2486,588,26222,35928
790,3654,1613,267,2394,1610,2485,588,26230,35930
800,3654,1613,267,2395,1610,2485,588,26222,35912
