=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.21 15:19:25 =~=~=~=~=~=~=~=~=~=~=~=
0
Filename: 4.10_10
---
timestamp,tgs2600,tgs2603,tgs2611,tgs2602,micsD,micsH,micsA,temp,humi
0,4115708,4623823,383430,3502173,8224442,8228321,7145556,26992,19192
10,4115782,4623870,383347,3501736,8164140,8166824,7106191,27000,19217
20,4115630,4623586,383419,3501839,8154912,8157016,7100952,26992,19216
30,4115742,4623824,383396,3501661,8153612,8155455,7100205,26984,19214
40,4115882,4623684,383412,3501939,8153490,8155398,7099988,27000,19209
50,4115743,4623615,383409,3502078,8153093,8155138,7100172,27008,19187
60,4115794,4623464,383393,3502176,8153315,8155257,7099886,27000,19201
70,4115773,4623542,383403,3501355,8153112,8155042,7099994,27008,19195
80,4115710,4623432,383400,3502015,8153090,8154971,7099700,26992,19192
90,4115643,4623409,383359,3501714,8153181,8155113,7099908,26984,19206
100,4115729,4623415,383345,3501878,8152912,8154895,7099790,26992,19200
110,4115744,4623278,383360,3501783,8153108,8154959,7100339,27008,19203
120,4115555,4623196,383383,3501814,8152875,8154946,7099834,26984,19214
130,4115661,4623329,383331,3501469,8152948,8154750,7099743,27000,19209
140,4115694,4623075,383314,3501505,8152970,8154892,7099406,27008,19211
150,4115347,4622959,383304,3501954,8153687,8156201,7101427,27008,19187
160,4115540,4622854,383291,3501475,8153785,8156323,7101734,26976,19205
170,4114674,4622872,383259,3501716,8154329,8156740,7102361,26976,19221
180,4101638,4622699,383296,3501553,8152466,8153511,7099574,27016,19220
190,4095879,4622693,383336,3501409,8152549,8153935,7101032,26992,19216
200,4089537,4622592,383303,3501572,8152772,8154648,7101267,26992,19216
210,4084692,4622561,383337,3501703,8152838,8154807,7100513,27016,19220
220,4081479,4622452,383310,3501397,8153126,8155161,7101617,26992,19208
230,4079714,4622552,383294,3501608,8152920,8155011,7105096,27000,19201
240,4079111,4622289,383330,3501002,8152926,8154771,7111674,26984,19190
250,4078445,4621992,383322,3501267,8152784,8154962,7130858,27008,19203
260,4078204,4622116,383335,3501460,8152993,8154799,7160301,26984,19198
270,4078245,4621892,383323,3501540,8152665,8154419,7186144,26984,19198
280,4078356,4621694,383327,3501036,8152652,8154326,7179398,27008,19219
290,4078379,4621144,383330,3501094,8152740,8154633,7157211,27000,19209
300,4078456,4620158,383289,3500823,8152667,8154725,7137369,27000,19201
310,4078700,4619553,383324,3501226,8152851,8154863,7126824,27008,19211
320,4078732,4617082,383317,3501124,8152763,8154786,7158919,27016,19212
330,4078729,4613350,383297,3501042,8152857,8154987,7242902,27032,19215
340,4078921,4609855,383364,3500958,8152801,8154763,7250622,27000,19209
350,4078976,4607952,383299,3501228,8152702,8154641,7216404,26984,19214
360,4079290,4606610,383337,3501244,8152865,8154522,7175223,27000,19201
370,4079231,4605451,383345,3500829,8152782,8154671,7144846,27000,19201
380,4079291,4604768,383328,3501043,8152620,8154330,7125786,26992,19208
390,4079674,4604204,383331,3500960,8152997,8154683,7115555,27024,19229
400,4079611,4603499,383305,3501629,8152949,8154789,7111556,27008,19203
410,4079920,4602965,383322,3500929,8152888,8154859,7108488,27016,19220
420,4080018,4602284,383277,3501003,8152787,8154787,7105846,27008,19203
430,4079901,4601464,383309,3500682,8152921,8154871,7103920,27000,19217
440,4080160,4600975,383291,3501246,8152647,8154743,7103309,27024,19205
450,4080141,4600364,383283,3500887,8152770,8154680,7102205,26992,19184
460,4080234,4599975,383332,3501003,8152833,8154642,7102105,26992,19192
470,4080481,4599233,383297,3501056,8152840,8154910,7102571,27008,19211
480,4080466,4598588,383297,3500740,8152924,8154876,7102877,27024,19221
490,4080662,4598096,383370,3501427,8152812,8154642,7102498,27016,19212
500,4080633,4597484,383261,3500871,8152618,8154561,7100635,26976,19205
510,4080723,4596920,383306,3501281,8152835,8154696,7100565,27016,19188
520,4080893,4596554,383265,3500985,8152649,8154528,7100187,27008,19211
530,4080870,4596062,383302,3500897,8152913,8154943,7109481,27008,19195
540,4080830,4595565,383298,3500821,8152976,8154901,7106922,27000,19217
550,4081138,4595054,383291,3500717,8152663,8154641,7104584,27008,19235
560,4081173,4594524,383271,3499704,8152933,8154862,7103715,27000,19201
570,4081437,4594111,383267,3499932,8152939,8155133,7103365,27000,19201
580,4081465,4593634,383307,3498155,8152778,8154950,7103043,27032,19231
590,4081420,4593024,383260,3496361,8152931,8154775,7102991,27016,19196
600,4081671,4592469,383316,3494645,8152697,8154553,7102432,27000,19201
610,4081601,4592177,383263,3493588,8152715,8154540,7102138,27008,19203
620,4081468,4591324,383263,3493003,8152614,8154511,7101673,27024,19197
630,4081558,4590955,383239,3492171,8152620,8154608,7101593,27000,19209
640,4081750,4590538,383276,3491848,8152598,8154543,7101990,27008,19203
650,4081658,4589914,383291,3491182,8152194,8154189,7101507,27024,19221
660,4082063,4589407,383247,3491605,8152674,8154317,7102656,27008,19195
670,4082017,4589123,383336,3491092,8152440,8154275,7101919,27000,19233
680,4082158,4588601,383318,3490849,8152647,8154604,7102483,27032,19199
690,4082073,4588220,383307,3490191,8152842,8154770,7103028,27032,19223
700,4082110,4587686,383239,3490555,8152499,8154482,7102446,27016,19212
710,4082365,4587296,383319,3491003,8152505,8154574,7102828,27016,19220
720,4082454,4586686,383287,3490790,8152743,8154524,7102879,27000,19209
730,4082604,4586284,383331,3490570,8152808,8154886,7102428,27000,19217
740,4082731,4586098,383457,3491136,8152952,8155004,7102510,27032,19207
750,4082653,4585398,383428,3490681,8152943,8154476,7102360,27016,19196
760,4082819,4584972,383383,3490809,8153055,8154989,7103817,27016,19188
770,4082796,4585014,383414,3490739,8153065,8155190,7104192,27000,19201
780,4083007,4584256,383422,3490415,8153100,8155161,7102875,27016,19212
790,4083098,4583876,383428,3491447,8153163,8155127,7103044,27016,19220
800,4083147,4583530,383353,3490820,8152892,8155088,7103487,27016,19204
810,4083262,4583001,383416,3491241,8153201,8155285,7103968,26984,19190
820,4083167,4582464,383389,3490981,8153135,8155157,7104223,27000,19193
830,4083064,4582030,383383,3490923,8153144,8155031,7104081,27032,19207
840,4083243,4581589,383397,3491369,8153014,8155136,7103851,27024,19221
850,4083214,4581160,383422,3491137,8153107,8155108,7104001,27024,19205
860,4083406,4580796,383406,3490847,8153131,8155044,7104137,27032,19231
870,4083417,4580107,383381,3491527,8152833,8154906,7104100,27024,19205
880,4083346,4579654,383421,3491042,8152840,8154998,7103952,27016,19204
890,4083457,4579333,383430,3491266,8153058,8155108,7104001,27040,19224
900,4083456,4578825,383398,3491559,8153019,8155141,7104098,27032,19199
910,4083499,4578304,383377,3491609,8153021,8155101,7104018,27040,19200
920,4083543,4577888,383417,3491018,8153120,8155096,7103994,27032,19199
930,4083654,4577487,383365,3491199,8153178,8155150,7103751,27008,19187
940,4083643,4577082,383366,3491421,8152915,8155019,7103947,27016,19204
950,4083545,4576465,383454,3491165,8153156,8154942,7104008,27024,19221
960,4083790,4575955,383394,3491345,8152894,8154928,7104356,27032,19199
970,4083841,4575620,383367,3491457,8152978,8154915,7104042,27032,19215
980,4083918,4575021,383397,3491535,8152986,8155104,7104256,27024,19205
990,4083848,4574687,383434,3491586,8153084,8155000,7104704,27024,19197
1000,4084085,4574325,383423,3491393,8153029,8154868,7104820,26984,19206
1010,4084298,4573966,383404,3491629,8153316,8155268,7104742,27000,19217
1020,4083946,4573257,383435,3492024,8153174,8155215,7104937,26992,19208
1030,4084050,4572696,383394,3492213,8153220,8155135,7104793,27024,19213
1040,4084044,4572300,383390,3491457,8152889,8154955,7104916,27008,19211
1050,4084209,4571694,383411,3491984,8152885,8154862,7105046,27024,19221
1060,4084376,4571390,383436,3491785,8153242,8155166,7105133,26984,19206
1070,4084323,4570960,383412,3491355,8152862,8155047,7104490,27000,19217
1080,4084334,4570522,383413,3491690,8153159,8155136,7104623,27032,19215
1090,4084381,4570035,383435,3491369,8152898,8154929,7104446,27032,19207
1100,4084176,4569407,383401,3491643,8152960,8154971,7105094,27008,19195
1110,4084376,4568907,383446,3491983,8153101,8155242,7105126,27008,19211
1120,4084269,4568393,383405,3492013,8152931,8154992,7105141,27008,19187
1130,4084498,4567979,383390,3492037,8152853,8154999,7105672,27000,19209
1140,4084499,4567647,383440,3491734,8153109,8154956,7105655,27032,19199
1150,4084496,4567150,383407,3492466,8152985,8154987,7105162,27032,19215
1160,4084600,4566833,383425,3492286,8153196,8155116,7105508,27008,19211
1170,4084548,4566294,383451,3492142,8153274,8155129,7105907,27024,19205
1180,4084602,4565789,383430,3492205,8153117,8155189,7105724,27024,19213
1190,4084610,4565230,383444,3492293,8153174,8155177,7105355,27008,19211
1200,4084770,4564774,383412,3491889,8153098,8155131,7105039,27048,19194
1210,4084731,4564447,383407,3492478,8153085,8155056,7105299,27000,19201
1220,4084745,4563824,383455,3493131,8153180,8154938,7105118,27024,19197
1230,4084797,4563335,383465,3492551,8153073,8155059,7105241,27016,19228
1240,4084722,4562819,383410,3492629,8153143,8155015,7105230,27040,19224
1250,4084836,4562581,383401,3492207,8153091,8154915,7105135,27024,19213
1260,4084807,4561974,383451,3492617,8153149,8155041,7105354,27000,19209
1270,4084669,4561491,383453,3492719,8153029,8154963,7105715,27008,19203
1280,4084722,4560928,383400,3492875,8153116,8155105,7105966,27000,19217
1290,4084725,4560637,383468,3492701,8153045,8154995,7105627,27000,19209
1300,4084906,4560089,383415,3493022,8152906,8154955,7104963,27048,19210
1310,4084844,4559607,383362,3492397,8153049,8154941,7105354,27040,19192
1320,4084965,4559255,383434,3492411,8152901,8154785,7105053,27008,19211
1330,4085023,4558629,383446,3492552,8152879,8155064,7105598,27024,19213
1340,4084942,4558189,383425,3492625,8153025,8155029,7105370,27024,19213
1350,4084865,4557851,383423,3493111,8152934,8154959,7105750,27032,19199
1360,4085127,4557356,383451,3492581,8153164,8155216,7106274,27008,19211
1370,4085007,4556710,383440,3492815,8153151,8155069,7105965,27032,19191
1380,4085081,4556339,383429,3493072,8152916,8154912,7106175,26992,19208
1390,4085169,4556012,383452,3492976,8152977,8154925,7105362,27000,19185
1400,4085152,4555391,383403,3492930,8152916,8154896,7106126,27000,19185
1410,4085131,4554962,383456,3492965,8152836,8155003,7105710,27032,19215
1420,4085005,4554352,383433,3493098,8152993,8154871,7105485,27008,19211
1430,4085172,4554104,383410,3492592,8152889,8154933,7105679,27040,19208
1440,4085260,4553671,383409,3492628,8153091,8155000,7105560,27000,19201
1450,4084976,4552848,383414,3493089,8152842,8154770,7105475,27016,19212
1460,4085265,4552403,383393,3492947,8153068,8155162,7105872,26992,19224
