=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.21 14:15:47 =~=~=~=~=~=~=~=~=~=~=~=
^[[2~
[0;32mI (36719) SM: Estado sensores: 0[0m
[0;32mI (37229) SM: Waiting Confirmation: 1[0m
[0;32mI (37729) SM: Running test: 2[0m
Filename: 2.10_10
---
timestamp,tgs2600,tgs2603,tgs2611,tgs2602,micsD,micsH,micsA,temp,humi
0,3009,683,195,2358,1983,2638,371,27046,19844
10,3009,684,195,2359,1982,2638,371,27054,19878
20,3009,684,196,2358,1982,2638,370,27062,19839
30,3009,684,196,2358,1982,2638,370,27022,19856
40,3009,685,196,2358,1982,2638,370,27030,19849
50,3009,685,196,2358,1982,2638,370,27078,19866
60,3009,685,196,2358,1982,2638,370,27038,19843
70,3008,685,196,2358,1982,2638,370,27054,19854
80,3009,685,196,2358,1982,2638,370,27070,19865
90,3009,685,196,2358,1982,2638,370,27062,19855
100,3008,685,196,2358,1982,2638,370,27054,19862
110,3009,685,196,2358,1982,2638,370,27022,19824
120,3009,685,196,2358,1982,2638,370,27062,19847
130,3008,685,196,2358,1982,2638,370,27054,19854
140,3009,685,196,2358,1982,2638,371,27062,19855
150,3009,685,196,2358,1982,2638,370,27030,19865
160,3008,685,196,2358,1982,2638,370,27038,19859
170,3008,685,196,2358,1982,2638,371,27046,19892
180,3005,685,196,2358,1981,2638,371,27054,19838
190,3002,685,196,2358,1982,2638,371,27038,19867
200,3000,685,196,2358,1983,2638,371,27054,19854
210,3000,685,196,2358,1982,2638,371,27054,19854
220,2999,684,196,2358,1982,2639,375,27054,19862
230,2998,684,196,2358,1982,2640,375,27070,19857
240,2998,684,196,2358,1983,2640,374,27054,19846
250,2998,684,196,2358,1983,2641,374,27062,19871
260,2998,684,196,2357,1982,2640,375,27046,19844
270,2998,684,196,2357,1980,2642,377,27038,19843
280,2998,684,196,2357,1979,2642,376,27046,19876
290,2998,684,196,2357,1980,2642,375,27062,19855
300,2998,684,196,2357,1981,2642,375,27062,19879
310,2998,684,196,2357,1981,2642,374,27038,19875
320,2999,684,196,2357,1981,2641,373,27046,19852
330,2998,684,196,2357,1980,2641,374,27046,19876
340,2999,684,196,2357,1982,2640,374,27038,19867
350,2999,684,196,2357,1983,2640,373,27062,19879
360,2999,684,196,2357,1984,2640,373,27054,19870
370,2999,684,196,2357,1985,2640,373,27062,19887
380,3000,684,196,2357,1987,2641,373,27086,19876
390,2999,684,196,2357,1988,2641,373,27070,19881
400,2999,684,196,2357,1987,2640,373,27038,19867
410,3000,684,196,2357,1988,2640,373,27038,19883
420,3000,684,196,2357,1989,2640,373,27054,19886
430,2999,684,196,2357,1989,2640,373,27070,19897
440,3000,684,196,2356,1988,2640,373,27054,19878
450,3000,684,196,2357,1987,2641,373,27046,19900
460,3000,684,196,2356,1987,2641,373,27070,19921
470,3000,684,196,2356,1988,2641,373,27062,19903
480,3000,684,196,2357,1987,2641,373,27054,19894
490,3000,684,196,2356,1988,2640,373,27086,19908
500,3000,684,196,2356,1988,2641,373,27078,19930
510,3000,684,196,2356,1987,2641,373,27054,19918
520,3000,684,196,2356,1986,2641,373,27070,19929
530,3000,684,196,2356,1988,2641,373,27054,19894
540,3000,684,196,2356,1989,2641,373,27078,19922
550,3000,684,196,2356,1990,2641,373,27054,19918
560,3000,684,196,2356,1989,2641,373,27086,19940
570,3000,684,196,2356,1989,2642,373,27030,19921
580,3000,684,196,2356,1987,2641,373,27062,19951
590,3000,684,196,2356,1987,2641,373,27054,19926
600,3000,684,196,2355,1987,2641,373,27054,19934
610,3000,684,196,2355,1987,2641,373,27094,19925
620,3000,685,196,2355,1986,2641,372,27070,19921
630,3000,685,196,2354,1988,2641,373,27078,19930
640,3000,684,196,2355,1988,2641,373,27078,19946
650,3000,684,196,2355,1987,2641,373,27030,19945
660,3000,684,196,2354,1988,2641,373,27038,19923
670,3000,684,196,2354,1988,2641,373,27046,19948
680,3000,685,196,2354,1988,2641,373,27046,19956
690,3000,684,196,2354,1989,2642,373,27054,19942
700,3000,684,196,2354,1991,2642,373,27062,19975
710,3000,685,196,2354,1990,2642,373,27046,19956
720,3000,685,196,2354,1989,2642,373,27046,19964
730,3000,685,196,2354,1988,2642,373,27070,19977
740,3000,685,196,2354,1988,2642,373,27046,19956
750,3000,684,196,2354,1987,2642,373,27062,19967
760,3000,684,196,2353,1987,2642,373,27054,19966
770,3000,684,196,2354,1987,2641,373,27062,19983
780,3000,685,196,2354,1987,2641,373,27054,19966
790,3000,684,196,2353,1987,2641,373,27054,19966
800,3000,685,196,2353,1987,2642,373,27086,19988
810,3000,685,196,2354,1987,2641,373,27030,19961
820,3000,685,196,2353,1987,2642,373,27086,19972
830,3000,684,196,2353,1987,2642,373,27070,19985
840,3000,685,196,2353,1988,2642,373,27054,19982
850,3000,685,196,2353,1988,2642,373,27062,19983
860,3000,685,196,2353,1988,2642,373,27070,19977
870,3000,685,196,2353,1988,2642,373,27078,19986
880,3000,684,196,2353,1988,2642,373,27070,20017
890,3000,684,196,2353,1988,2642,373,27086,19988
900,3000,685,196,2353,1988,2642,373,27070,19993
910,3000,685,196,2353,1988,2642,373,27062,20007
920,3000,684,196,2353,1988,2642,373,27046,19996
930,3000,684,196,2353,1989,2642,373,27070,20001
940,3000,685,196,2353,1989,2642,373,27030,20009
950,3000,685,196,2353,1989,2642,373,27070,20009
960,3000,685,196,2353,1989,2642,373,27038,20019
970,3000,685,196,2353,1989,2642,373,27078,20010
980,3000,685,196,2353,1989,2642,373,27062,19999
990,3000,684,196,2352,1989,2642,373,27070,19993
1000,3000,685,196,2353,1989,2642,373,27062,19991
1010,3000,685,196,2353,1989,2642,373,27054,19998
1020,3000,685,196,2353,1989,2642,373,27070,20009
1030,3000,685,196,2353,1989,2642,373,27054,20006
1040,3000,685,196,2353,1989,2642,373,27030,20017
1050,3000,685,196,2353,1989,2642,373,27070,20017
1060,3000,685,196,2353,1989,2642,373,27062,20031
1070,3000,685,196,2353,1989,2642,373,27078,20026
1080,3000,685,196,2352,1989,2642,373,27046,20028
1090,3000,685,196,2353,1990,2642,373,27070,20017
1100,3000,685,196,2352,1990,2642,373,27054,19998
1110,3000,685,196,2352,1990,2642,373,27046,20004
1120,3000,685,196,2352,1990,2642,373,27062,20023
1130,3000,685,196,2352,1990,2642,373,27046,20020
1140,3000,685,196,2352,1990,2642,373,27054,20022
1150,3000,685,196,2352,1990,2642,373,27086,20012
1160,3000,685,196,2352,1990,2642,373,27070,20041
1170,3000,685,196,2352,1990,2642,373,27054,20030
1180,3000,685,196,2352,1990,2642,373,27054,20054
1190,3000,685,196,2352,1990,2642,373,27038,20035
1200,3000,685,196,2352,1990,2642,373,27062,20039
1210,3000,685,196,2352,1990,2642,373,27046,20052
1220,3000,685,196,2352,1990,2642,373,27078,20050
1230,3000,685,196,2352,1990,2642,373,27062,20039
1240,3000,685,196,2352,1990,2642,373,27046,20076
1250,3000,685,196,2352,1990,2642,373,27078,20058
1260,3000,685,196,2352,1990,2642,373,27070,20033
1270,3000,685,196,2352,1991,2642,373,27078,20058
1280,3000,685,196,2352,1991,2642,373,27054,20078
1290,3000,685,196,2352,1991,2642,373,27054,20030
1300,3000,685,196,2351,1991,2642,373,27062,20055
1310,3000,685,196,2351,1991,2642,373,27070,20065
1320,3000,685,196,2351,1991,2642,373,27054,20078
1330,3000,685,196,2351,1991,2642,373,27062,20047
1340,3000,685,196,2351,1991,2642,374,27054,20030
1350,3000,685,196,2351,1991,2642,374,27070,20065
1360,3000,685,196,2351,1991,2642,373,27054,20046
1370,3000,685,196,2351,1991,2642,374,27078,20042
1380,3000,685,196,2351,1991,2642,374,27038,20059
1390,3000,685,196,2351,1991,2642,374,27054,20062
1400,3000,685,196,2351,1991,2642,374,27046,20060
1410,3000,685,196,2351,1991,2642,374,27054,20070
