=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.21 14:48:09 =~=~=~=~=~=~=~=~=~=~=~=
0
Filename: 0.10_10
---
timestamp,tgs2600,tgs2603,tgs2611,tgs2602,micsD,micsH,micsA,temp,humi
0,4035851,5292499,488331,3701938,8222644,8227369,6190546,27152,19132
10,4036428,5291551,488176,3702018,8161187,8163494,6165469,27144,19115
20,4036713,5290484,488010,3701610,8151759,8153387,6161883,27120,19143
30,4037194,5289728,487844,3701791,8149931,8152282,6161458,27160,19126
40,4037710,5288868,487684,3701967,8149126,8151828,6161379,27144,19131
50,4038195,5287776,487560,3701027,8149901,8152139,6161275,27136,19130
60,4038626,5286975,487412,3700566,8149538,8151462,6161286,27152,19116
70,4039386,5286342,487208,3701231,8149605,8151152,6162053,27144,19131
80,4039784,5285010,486976,3701357,8148666,8152365,6161560,27136,19130
90,4040282,5284365,486824,3701390,8149151,8151343,6161233,27128,19120
100,4040783,5283203,486659,3700969,8149491,8151431,6161767,27168,19103
110,4041149,5282445,486419,3700573,8149299,8151339,6162719,27136,19130
120,4041731,5281534,486379,3700612,8149405,8151133,6161453,27160,19134
130,4042147,5280506,486101,3700962,8149493,8151606,6161195,27144,19115
140,4042632,5279656,486054,3700639,8149168,8150894,6161523,27160,19142
150,4042818,5278442,485992,3701341,8149908,8152434,6162540,27104,19124
160,4043377,5277740,485687,3700690,8149538,8151799,6163565,27144,19131
170,4043472,5276899,485510,3700112,8150514,8153212,6164113,27160,19134
180,4033143,5275897,485453,3700232,8147500,8146765,6160357,27128,19112
190,4024199,5275162,485208,3700023,8149128,8150234,6164569,27152,19132
200,4016117,5274088,485149,3700025,8149404,8151515,6164462,27152,19132
210,4010403,5273160,484957,3700195,8148988,8150914,6163154,27136,19146
220,4006601,5272375,484802,3699693,8149490,8150587,6164245,27144,19139
230,4004801,5271335,484617,3700453,8149076,8151048,6170256,27152,19116
240,4003735,5270474,484480,3700046,8149729,8151230,6182066,27144,19115
250,4003432,5269469,484313,3700499,8149217,8151331,6211055,27144,19123
260,4003604,5268621,484204,3700268,8148887,8151484,6260154,27160,19142
270,4004302,5267617,484040,3700206,8149250,8150828,6305901,27144,19123
280,4004925,5266638,483861,3699815,8149264,8150421,6292448,27152,19132
290,4005524,5265314,483747,3699940,8148872,8151077,6255144,27144,19147
300,4005750,5263472,483605,3699668,8149103,8151016,6222333,27128,19128
310,4006001,5262119,483491,3699865,8149251,8150690,6204313,27128,19120
320,4006441,5259706,483233,3699665,8149329,8151141,6256491,27160,19134
330,4007059,5255393,483111,3699559,8149332,8151135,6380459,27136,19130
340,4007750,5251640,483024,3699191,8149030,8151104,6387663,27112,19149
350,4008721,5249468,482908,3698998,8149281,8151020,6334146,27136,19138
360,4009286,5247935,482691,3699288,8149353,8151168,6273509,27136,19122
370,4009989,5246186,482534,3699507,8149340,8151393,6227580,27168,19135
380,4010783,5244801,482361,3699226,8149504,8151141,6202437,27144,19155
390,4011432,5243536,482238,3698855,8149442,8151016,6186281,27160,19150
400,4011970,5242482,482066,3698881,8149231,8150621,6179488,27104,19100
410,4012701,5241326,481934,3698552,8149295,8151261,6174688,27136,19106
420,4013468,5240318,481848,3698657,8149199,8151081,6171460,27144,19115
430,4013957,5239231,481679,3698725,8149283,8151167,6170238,27160,19118
440,4014559,5238108,481448,3698610,8149316,8151705,6169163,27152,19132
450,4015109,5236808,481308,3698458,8149156,8151621,6168245,27152,19148
460,4015703,5235715,481167,3698367,8149376,8151538,6167832,27144,19123
470,4016476,5234677,481028,3698499,8149294,8150867,6167877,27160,19110
480,4017078,5233451,480847,3698433,8149398,8151174,6168329,27160,19118
490,4017469,5232464,480761,3698168,8149499,8151600,6168390,27160,19142
500,4018180,5231025,480554,3698171,8149237,8151101,6167254,27136,19146
510,4018815,5230242,480431,3697916,8149108,8151130,6168006,27128,19128
520,4019180,5229043,480247,3698158,8149326,8151093,6167134,27136,19130
530,4019878,5228048,480171,3697860,8148970,8151333,6190094,27168,19135
540,4020452,5227066,480092,3697298,8149539,8151130,6185014,27136,19146
550,4021103,5226151,479880,3696445,8149392,8151370,6178278,27160,19126
560,4021697,5225166,479746,3696172,8149295,8151751,6173490,27136,19130
570,4022354,5223961,479628,3696269,8149317,8150527,6171297,27144,19139
580,4022832,5222942,479405,3694231,8149013,8150737,6169594,27152,19132
590,4023440,5221917,479315,3692009,8149336,8151286,6169609,27152,19140
600,4023984,5220836,479117,3689223,8149368,8151268,6170152,27128,19112
610,4024485,5219859,479060,3688091,8149092,8151227,6170121,27128,19112
620,4024912,5218691,478900,3687354,8149392,8150575,6169423,27128,19112
630,4025461,5217505,478754,3686946,8149569,8151138,6169040,27136,19130
640,4026097,5216441,478620,3686560,8149066,8151477,6169599,27144,19107
650,4026735,5215700,478500,3685618,8148868,8151027,6169654,27152,19132
660,4027352,5214711,478344,3685533,8149034,8151047,6170100,27120,19135
670,4027752,5213579,478246,3685516,8149288,8151627,6169338,27144,19123
680,4028271,5212649,478077,3685177,8148949,8151021,6170268,27152,19132
690,4028818,5211508,477943,3684637,8149239,8151568,6169790,27160,19118
700,4029605,5210556,477779,3684864,8149459,8150826,6168490,27168,19119
710,4030130,5209643,477667,3685143,8149183,8151458,6169542,27136,19138
720,4030628,5208685,477506,3685329,8148975,8151297,6168492,27136,19114
730,4031138,5207646,477342,3684726,8149103,8151441,6169782,27152,19124
740,4031678,5206684,477243,3684412,8149451,8151688,6169675,27136,19138
750,4032322,5205988,477144,3684309,8149344,8150660,6168491,27144,19147
760,4032874,5205033,477081,3684702,8149710,8151704,6171057,27144,19123
770,4033305,5204022,476884,3683870,8149444,8151982,6170710,27144,19115
780,4033856,5202826,476751,3684334,8149668,8151173,6171076,27168,19135
790,4034464,5202031,476670,3684695,8149320,8150992,6171335,27176,19105
800,4034833,5200975,476502,3683975,8149571,8151276,6171552,27160,19134
810,4035406,5199766,476304,3684064,8149400,8151435,6171257,27112,19109
820,4036186,5198893,476192,3683998,8149280,8151620,6172318,27144,19107
830,4036504,5197861,476055,3684179,8149345,8151741,6171872,27160,19126
840,4036880,5196822,475871,3683772,8149989,8151515,6172091,27144,19123
850,4037531,5196086,475799,3684140,8149269,8151267,6172788,27152,19124
860,4038148,5195013,475641,3684049,8149574,8151459,6172354,27152,19132
870,4038492,5193799,475549,3684057,8149537,8151438,6172372,27144,19131
880,4039183,5192778,475412,3684146,8149439,8151350,6172625,27136,19122
890,4039725,5192183,475280,3684032,8149440,8151492,6173079,27144,19139
900,4040162,5191057,475137,3683614,8149578,8151504,6172675,27160,19126
910,4040769,5190100,475001,3684023,8149446,8151661,6173119,27152,19140
920,4041368,5189255,474884,3684321,8149484,8151201,6174154,27152,19108
930,4041918,5188206,474758,3684011,8149426,8151255,6173438,27144,19115
940,4042304,5187108,474576,3683800,8149438,8151409,6173830,27152,19132
950,4042874,5186355,474453,3683783,8149467,8151333,6172804,27152,19140
960,4043103,5185177,474296,3683877,8149643,8151225,6173671,27144,19123
970,4043638,5184432,474188,3683921,8149642,8151776,6173807,27152,19116
980,4044106,5183181,474019,3683405,8148727,8151233,6174632,27136,19130
990,4044632,5182283,473951,3683594,8149626,8151314,6173735,27128,19112
1000,4045239,5181269,473777,3683251,8149715,8151485,6173801,27120,19119
1010,4045832,5180267,473642,3683660,8149382,8152114,6173380,27168,19135
1020,4046132,5179240,473527,3683945,8149577,8151625,6173855,27128,19136
1030,4046494,5178231,473356,3683253,8149561,8151133,6174103,27152,19148
1040,4046973,5177407,473290,3682744,8149643,8150664,6173522,27176,19113
1050,4047627,5176327,473115,3683122,8148926,8151993,6174505,27168,19135
1060,4048133,5175184,472997,3682664,8149521,8151212,6173962,27168,19143
1070,4048687,5174457,472825,3683146,8149815,8151283,6174177,27144,19139
1080,4049203,5173598,472757,3682961,8149506,8151380,6173517,27144,19115
1090,4049481,5172645,472623,3682509,8149461,8151920,6174791,27128,19136
1100,4050107,5171799,472531,3682759,8149649,8151463,6174089,27136,19122
1110,4050484,5170672,472395,3682551,8149509,8151435,6175018,27136,19130
1120,4050973,5169666,472258,3683657,8149697,8151848,6175163,27160,19126
1130,4051499,5168847,472125,3683081,8149552,8151371,6175457,27144,19123
1140,4051913,5167964,471983,3683077,8149922,8151462,6175168,27144,19139
1150,4052303,5166723,471866,3683253,8149146,8151400,6175937,27144,19139
1160,4052791,5165927,471700,3683331,8149306,8151395,6175308,27160,19134
1170,4053258,5164922,471619,3683344,8149506,8151530,6175005,27152,19132
1180,4053749,5163989,471452,3683479,8149437,8151925,6175699,27144,19147
1190,4054380,5163222,471366,3682777,8149569,8151877,6175299,27128,19128
1200,4054714,5162333,471182,3681836,8149760,8151707,6175521,27152,19132
1210,4055216,5161004,471063,3682092,8149651,8150938,6175643,27160,19126
1220,4055824,5160063,470960,3682397,8149481,8151568,6175318,27144,19131
1230,4056291,5159132,470792,3682637,8149832,8151483,6176301,27152,19140
1240,4056652,5158238,470668,3682668,8149658,8151442,6176071,27152,19132
1250,4057143,5157446,470567,3682973,8150401,8151722,6176028,27176,19121
1260,4057466,5156481,470487,3682715,8149276,8151184,6175646,27152,19140
1270,4057862,5155299,470337,3682604,8150143,8151958,6176089,27152,19132
1280,4058335,5154561,470158,3682926,8149659,8151638,6175943,27168,19119
1290,4058904,5153452,470065,3682578,8149960,8151644,6176547,27152,19124
1300,4059305,5152674,469844,3683124,8149774,8151012,6176938,27144,19131
1310,4059710,5151762,469811,3683061,8149845,8151435,6176890,27144,19123
1320,4060065,5150675,469692,3682546,8149687,8151623,6177325,27144,19131
1330,4060496,5149745,469597,3682477,8149235,8151358,6176397,27152,19124
1340,4060948,5149024,469452,3682631,8149486,8151477,6176990,27136,19122
1350,4061370,5147904,469319,3682524,8149682,8151607,6176661,27152,19132
1360,4061993,5147152,469250,3682343,8149117,8151281,6176489,27152,19124
1370,4062348,5146072,469110,3682062,8149766,8151423,6177644,27144,19131
1380,4062832,5145161,468930,3682191,8149650,8151452,6177870,27152,19132
