timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611-5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.00,38.30,22.03,21.82,3.28,92.88,46.27,48.62,7.25
0.01,38.38,22.00,21.82,3.28,92.88,46.27,48.62,7.25
0.02,38.38,22.03,21.79,3.29,93.22,46.27,48.62,7.25
0.03,38.46,22.00,21.79,3.28,92.88,46.27,48.62,7.25
0.04,38.30,22.00,21.79,3.28,92.88,46.27,48.62,7.24
0.05,38.38,22.03,21.82,3.29,92.88,46.27,48.62,7.26
0.06,38.38,22.03,21.82,3.29,93.22,46.17,48.62,7.25
0.07,38.38,22.00,21.79,3.28,92.88,46.27,48.62,7.25
0.08,38.30,22.03,21.79,3.28,92.88,46.27,48.62,7.25
0.09,38.38,22.03,21.79,3.28,93.22,46.27,48.74,7.26
0.10,38.38,22.03,21.82,3.29,93.22,46.27,48.62,7.25
0.11,38.30,22.03,21.79,3.29,92.88,46.27,48.62,7.26
0.12,38.38,22.03,21.82,3.29,92.88,46.17,48.62,7.25
0.13,38.38,22.03,21.82,3.28,92.88,46.17,48.62,7.26
0.14,38.38,22.03,21.82,3.28,93.22,46.17,48.62,7.25
0.15,38.38,22.03,21.82,3.28,92.88,46.27,48.62,7.25
0.16,38.38,22.03,21.82,3.28,93.22,46.27,48.62,7.26
0.17,38.38,22.03,21.82,3.28,92.88,46.17,48.62,7.25
0.18,38.30,22.03,21.82,3.29,92.88,46.27,48.62,7.26
0.19,38.38,22.03,21.79,3.28,92.88,46.17,48.62,7.25
0.20,38.30,22.03,21.82,3.29,92.88,46.17,48.62,7.26
0.21,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.25
0.22,38.30,22.03,21.82,3.28,92.88,46.27,48.62,7.26
0.23,38.38,22.03,21.82,3.29,92.88,46.38,48.62,7.25
0.24,38.38,22.03,21.82,3.28,92.88,46.17,48.62,7.26
0.25,38.38,22.03,21.82,3.28,92.88,46.17,48.74,7.25
0.26,38.30,22.03,21.82,3.29,92.88,46.38,48.74,7.26
0.27,38.38,22.03,21.79,3.28,92.88,46.27,48.74,7.25
0.28,38.38,22.03,21.79,3.28,93.22,46.27,48.62,7.26
0.29,38.38,22.03,21.79,3.28,92.88,46.27,48.62,7.25
0.30,38.38,22.03,21.82,3.28,93.22,46.27,48.62,7.27
0.31,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.25
0.32,38.38,22.03,21.79,3.28,92.88,46.17,48.62,7.25
0.33,38.38,22.03,21.82,3.29,92.88,46.27,48.62,7.26
0.34,38.46,22.03,21.79,3.28,92.88,46.27,48.62,7.25
0.35,38.38,22.03,21.79,3.28,92.88,46.27,48.62,7.25
0.36,38.38,22.03,21.82,3.28,92.88,46.27,48.62,7.26
0.37,38.38,22.03,21.79,3.29,93.22,46.27,48.74,7.26
0.38,38.38,22.00,21.82,3.29,92.88,46.27,48.62,7.25
0.39,38.38,22.03,21.79,3.28,93.22,46.27,48.62,7.26
0.40,38.38,22.03,21.82,3.29,93.22,46.27,48.62,7.25
0.41,38.38,22.03,21.82,3.29,92.88,46.17,48.62,7.26
0.42,38.38,22.03,21.79,3.29,93.22,46.27,48.62,7.25
0.43,38.38,22.03,21.82,3.28,92.88,46.27,48.62,7.25
0.44,38.38,22.03,21.79,3.28,93.22,46.27,48.62,7.25
0.45,38.38,22.06,21.82,3.28,93.22,46.27,48.62,7.25
0.46,38.38,22.03,21.82,3.28,92.88,46.27,48.62,7.25
0.47,38.38,22.03,21.82,3.28,92.88,46.27,48.62,7.25
0.48,38.38,22.03,21.79,3.28,93.22,46.17,48.74,7.25
0.49,38.38,22.03,21.82,3.28,92.88,46.27,48.74,7.25
0.50,38.38,22.03,21.82,3.28,93.22,46.27,48.62,7.25
0.51,38.38,22.03,21.82,3.29,93.22,46.27,48.62,7.26
0.52,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.25
0.53,38.38,22.03,21.82,3.28,92.88,46.27,48.62,7.26
0.54,38.38,22.03,21.82,3.28,93.22,46.27,48.62,7.26
0.55,38.38,22.03,21.82,3.29,92.88,46.27,48.62,7.25
0.56,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.25
0.57,38.46,22.03,21.82,3.28,92.88,46.27,48.74,7.25
0.58,38.38,22.03,21.82,3.28,93.57,46.27,48.74,7.25
0.59,38.38,22.03,21.82,3.29,93.22,46.27,48.62,7.25
0.60,38.38,22.03,21.79,3.28,92.88,46.27,48.62,7.25
0.61,38.38,22.03,21.82,3.28,92.88,46.27,48.62,7.26
0.62,38.46,22.03,21.79,3.28,93.22,46.17,48.52,7.25
0.63,38.38,22.03,21.82,3.29,92.88,46.17,48.74,7.26
0.64,38.38,22.03,21.82,3.28,92.88,46.27,48.62,7.26
0.65,38.38,22.03,21.82,3.28,92.88,46.27,48.74,7.26
0.66,38.38,22.03,21.82,3.28,92.88,46.17,48.74,7.25
0.67,38.38,22.03,21.82,3.29,92.88,46.27,48.62,7.25
0.68,38.38,22.03,21.82,3.28,92.88,46.17,48.62,7.26
0.69,38.38,22.03,21.82,3.28,92.88,46.27,48.74,7.26
0.70,38.38,22.03,21.82,3.29,92.88,46.27,48.74,7.26
0.71,38.38,22.03,21.82,3.28,93.22,46.17,48.62,7.25
0.72,38.46,22.03,21.82,3.28,93.22,46.27,48.74,7.26
0.73,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.26
0.74,38.38,22.03,21.82,3.28,92.88,46.17,48.74,7.26
0.75,38.38,22.03,21.82,3.28,92.88,46.27,48.74,7.26
0.76,38.38,22.03,21.82,3.28,93.22,46.38,48.74,7.26
0.77,38.38,22.03,21.79,3.29,92.88,46.27,48.62,7.26
0.78,38.38,22.03,21.79,3.28,92.88,46.27,48.62,7.26
0.79,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.25
0.80,38.38,22.03,21.82,3.28,93.22,46.17,48.62,7.26
0.81,38.38,22.03,21.82,3.28,92.88,46.27,48.74,7.26
0.82,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.25
0.83,38.38,22.03,21.82,3.28,93.22,46.17,48.62,7.26
0.84,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.26
0.85,38.38,22.03,21.82,3.28,92.88,46.27,48.74,7.26
0.86,38.38,22.06,21.82,3.29,93.22,46.27,48.62,7.25
0.87,38.38,22.03,21.82,3.28,93.22,46.27,48.62,7.25
0.88,38.30,22.03,21.82,3.28,92.88,46.27,48.74,7.25
0.89,38.38,22.03,21.82,3.28,92.88,46.27,48.62,7.25
0.90,38.38,22.03,21.82,3.28,92.88,46.17,48.74,7.26
0.91,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.25
0.92,38.46,22.03,21.82,3.28,93.22,46.27,48.62,7.25
0.93,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.25
0.94,38.38,22.03,21.82,3.28,93.22,46.27,48.62,7.26
0.95,38.46,22.03,21.82,3.28,93.22,46.27,48.74,7.25
0.96,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.26
0.97,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.26
0.98,38.38,22.03,21.82,3.28,92.88,46.27,48.74,7.26
0.99,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.25
1.00,38.38,22.03,21.82,3.28,92.88,46.17,48.52,7.25
1.01,38.38,22.03,21.82,3.29,92.88,46.27,48.74,7.26
1.02,38.38,22.03,21.82,3.29,92.88,46.17,48.74,7.26
1.03,38.46,22.03,21.82,3.28,93.22,46.27,48.74,7.25
1.04,38.46,22.03,21.82,3.29,93.22,46.27,48.62,7.26
1.05,38.46,22.06,21.86,3.29,93.22,46.17,48.74,7.26
1.06,38.46,22.06,21.82,3.28,93.22,46.27,48.74,7.26
1.07,38.46,22.03,21.82,3.28,92.88,46.27,48.74,7.25
1.08,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.09,38.38,22.03,21.82,3.28,92.88,46.27,48.74,7.26
1.10,38.46,22.03,21.82,3.28,93.22,46.27,48.74,7.26
1.11,38.46,22.06,21.82,3.29,92.88,46.27,48.74,7.26
1.12,38.38,22.03,21.82,3.28,93.22,46.27,48.62,7.25
1.13,38.38,22.03,21.82,3.28,93.22,46.17,48.74,7.26
1.14,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.15,38.38,22.03,21.86,3.29,92.88,46.27,48.74,7.25
1.16,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.25
1.17,38.38,22.03,21.82,3.28,93.22,46.17,48.74,7.25
1.18,38.46,22.03,21.82,3.29,92.88,46.38,48.62,7.25
1.19,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.26
1.20,38.46,22.03,21.82,3.28,92.88,46.27,48.74,7.26
1.21,38.38,22.03,21.82,3.28,93.22,46.17,48.74,7.26
1.22,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.25
1.23,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.26
1.24,38.23,22.03,21.82,3.29,92.88,46.27,48.85,7.26
1.25,38.46,22.03,21.82,3.29,93.22,46.27,48.74,7.25
1.26,38.46,22.03,21.82,3.28,93.22,46.27,48.74,7.26
1.27,38.46,22.03,21.86,3.28,93.22,46.17,48.62,7.26
1.28,38.38,22.03,21.82,3.29,93.22,46.27,48.62,7.25
1.29,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.26
1.30,38.38,22.03,21.82,3.29,93.22,46.38,48.74,7.25
1.31,38.38,22.06,21.86,3.29,93.22,46.27,48.74,7.26
1.32,38.46,22.06,21.82,3.28,93.22,46.27,48.74,7.26
1.33,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.34,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.35,38.38,22.03,21.86,3.28,93.22,46.38,48.62,7.25
1.36,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.25
1.37,38.46,22.03,21.82,3.28,92.88,46.38,48.62,7.26
1.38,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.26
1.39,38.46,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.40,38.38,22.06,21.82,3.28,93.22,46.27,48.74,7.26
1.41,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.42,38.38,22.03,21.82,3.29,92.88,46.27,48.62,7.26
1.43,38.38,22.03,21.82,3.29,93.22,46.17,48.74,7.25
1.44,38.38,22.03,21.82,3.29,93.22,46.07,48.74,7.26
1.45,38.38,22.03,21.86,3.28,93.22,46.27,48.74,7.26
1.46,38.46,22.03,21.82,3.28,93.22,46.27,48.74,7.25
1.47,38.46,22.06,21.86,3.28,93.22,46.38,48.74,7.26
1.48,38.46,22.03,21.82,3.28,93.22,46.27,48.74,7.25
1.49,38.38,22.03,21.82,3.28,93.22,46.17,48.74,7.25
1.50,38.46,22.03,21.82,3.28,93.57,46.27,48.74,7.26
1.51,38.46,22.06,21.82,3.28,93.22,46.27,48.74,7.26
1.52,38.38,22.03,21.82,3.28,92.88,46.27,48.74,7.26
1.53,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.26
1.54,38.38,22.03,21.82,3.28,92.88,46.27,48.62,7.25
1.55,38.38,22.06,21.79,3.29,93.22,46.27,48.74,7.26
1.56,38.46,22.03,21.82,3.29,93.22,46.27,48.74,7.25
1.57,38.46,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.58,38.46,22.03,21.82,3.29,93.22,46.27,48.74,7.25
1.59,38.46,22.06,21.82,3.29,92.88,46.17,48.74,7.25
1.60,38.38,22.06,21.82,3.28,93.22,46.27,48.74,7.26
1.61,38.46,22.03,21.82,3.28,93.22,46.27,48.74,7.26
1.62,38.38,22.03,21.86,3.29,92.88,46.38,48.74,7.26
1.63,38.38,22.03,21.86,3.29,93.22,46.38,48.74,7.25
1.64,38.46,22.03,21.82,3.29,92.88,46.27,48.74,7.26
1.65,38.46,22.06,21.82,3.28,93.22,46.27,48.74,7.25
1.66,38.38,22.03,21.82,3.29,92.88,46.27,48.74,7.25
1.67,38.38,22.06,21.86,3.29,93.22,46.27,48.74,7.25
1.68,38.46,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.69,38.38,22.03,21.82,3.28,93.22,46.27,48.85,7.26
1.70,38.46,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.71,38.46,22.06,21.82,3.28,93.22,46.27,48.74,7.26
1.72,38.38,22.03,21.86,3.28,93.22,46.27,48.62,7.25
1.73,38.38,22.03,21.82,3.28,92.88,46.27,48.74,7.26
1.74,38.38,22.03,21.86,3.28,93.22,46.27,48.74,7.26
1.75,38.46,22.06,21.82,3.28,93.22,46.27,48.74,7.26
1.76,38.46,22.06,21.86,3.28,93.22,46.38,48.74,7.26
1.77,38.53,22.03,21.82,3.28,93.22,46.27,48.74,7.26
1.78,38.38,22.03,21.86,3.28,93.22,46.27,48.74,7.25
1.79,38.38,22.06,21.82,3.29,93.22,46.27,48.74,7.26
1.80,38.46,22.03,21.79,3.29,93.22,46.38,48.74,7.25
1.81,38.38,22.03,21.86,3.29,93.22,46.27,48.74,7.25
1.82,38.46,22.06,21.82,3.28,92.88,46.27,48.74,7.25
1.83,38.46,22.06,21.82,3.28,93.22,46.27,48.74,7.25
1.84,38.46,22.06,21.82,3.29,92.88,46.27,48.74,7.26
1.85,38.46,22.03,21.82,3.28,93.22,46.17,48.74,7.25
1.86,38.46,22.06,21.82,3.28,93.22,46.38,48.74,7.26
1.87,38.46,22.03,21.82,3.29,93.22,46.27,48.74,7.25
1.88,38.38,22.03,21.82,3.28,93.22,46.27,48.74,7.26
1.89,38.46,22.06,21.82,3.29,92.54,46.38,48.62,7.26
1.90,38.38,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.91,38.46,22.06,21.86,3.28,92.88,46.27,48.74,7.26
1.92,38.46,22.03,21.82,3.29,93.22,46.27,48.74,7.26
1.93,38.38,22.03,21.86,3.28,93.22,46.27,48.74,7.26
1.94,38.46,22.03,21.82,3.29,92.88,46.27,48.74,7.26
1.95,38.46,22.03,21.82,3.29,93.22,46.27,48.62,7.26
1.96,38.46,22.06,21.82,3.28,92.88,46.27,48.74,7.26
1.97,38.30,22.06,21.82,3.29,93.22,46.27,48.74,7.25
