timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611-5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.00,41.25,23.37,23.33,3.47,102.57,49.62,52.14,7.82
0.01,41.25,23.37,23.33,3.46,102.57,49.39,52.26,7.81
0.02,41.17,23.33,23.29,3.46,102.57,49.50,52.14,7.83
0.03,41.25,23.37,23.29,3.47,102.57,49.39,52.14,7.82
0.04,41.25,23.37,23.33,3.46,102.57,49.39,52.14,7.83
0.05,41.17,23.37,23.33,3.47,102.57,49.39,52.14,7.82
0.06,41.25,23.33,23.33,3.46,102.57,49.50,52.14,7.83
0.07,41.25,23.33,23.33,3.46,102.57,49.39,52.01,7.83
0.08,41.17,23.37,23.33,3.47,102.57,49.39,52.14,7.82
0.09,41.25,23.37,23.33,3.47,102.57,49.39,52.14,7.82
0.10,41.17,23.37,23.33,3.47,102.17,49.39,52.14,7.82
0.11,41.25,23.33,23.29,3.46,102.17,49.39,52.14,7.82
0.12,41.17,23.33,23.29,3.47,102.57,49.39,52.14,7.82
0.13,41.17,23.37,23.29,3.46,102.57,49.50,52.14,7.82
0.14,41.25,23.37,23.29,3.46,102.57,49.39,52.26,7.83
0.15,41.17,23.37,23.33,3.46,102.57,49.50,52.14,7.82
0.16,41.17,23.33,23.33,3.46,102.57,49.50,52.14,7.83
0.17,41.17,23.37,23.29,3.47,102.57,49.28,52.14,7.82
0.18,41.25,23.37,23.29,3.47,102.57,49.39,52.26,7.82
0.19,41.17,23.33,23.33,3.47,102.57,49.39,52.14,7.82
0.20,41.25,23.37,23.33,3.46,102.57,49.39,52.14,7.83
0.21,41.17,23.33,23.33,3.47,102.57,49.39,52.26,7.83
0.22,41.25,23.33,23.29,3.46,102.57,49.39,52.26,7.82
0.23,41.17,23.33,23.33,3.46,102.57,49.39,52.14,7.83
0.24,41.25,23.33,23.33,3.46,102.57,49.39,52.14,7.82
0.25,41.17,23.33,23.33,3.46,102.57,49.50,52.14,7.83
0.26,41.17,23.33,23.29,3.46,102.57,49.39,52.14,7.81
0.27,41.25,23.33,23.33,3.47,102.17,49.39,52.14,7.82
0.28,41.17,23.37,23.29,3.46,102.57,49.39,52.14,7.83
0.29,41.25,23.37,23.33,3.47,102.17,49.39,52.26,7.83
0.30,41.25,23.37,23.33,3.47,102.57,49.50,52.14,7.83
0.31,41.25,23.37,23.33,3.47,102.57,49.39,52.14,7.82
0.32,41.17,23.33,23.29,3.47,102.57,49.28,52.26,7.83
0.33,41.17,23.37,23.29,3.47,102.98,49.50,52.14,7.82
0.34,41.17,23.37,23.33,3.47,102.57,49.39,52.26,7.83
0.35,41.25,23.37,23.33,3.46,102.57,49.50,52.26,7.83
0.36,41.25,23.33,23.33,3.47,102.57,49.39,52.14,7.82
0.37,41.17,23.33,23.29,3.47,102.17,49.39,52.14,7.82
0.38,41.25,23.37,23.33,3.47,102.57,49.50,52.14,7.83
0.39,41.25,23.37,23.33,3.47,102.57,49.50,52.26,7.83
0.40,41.25,23.33,23.33,3.47,102.57,49.39,52.26,7.82
0.41,41.17,23.37,23.33,3.46,102.57,49.50,52.14,7.82
0.42,41.25,23.33,23.29,3.47,102.57,49.39,52.14,7.82
0.43,41.17,23.33,23.33,3.46,102.57,49.39,52.26,7.82
0.44,41.25,23.37,23.33,3.47,102.57,49.39,52.14,7.82
0.45,41.25,23.37,23.33,3.46,102.57,49.39,52.14,7.82
0.46,41.17,23.33,23.33,3.46,102.57,49.28,52.14,7.82
0.47,41.17,23.33,23.33,3.46,102.57,49.39,52.01,7.82
0.48,41.25,23.33,23.33,3.47,102.57,49.39,52.14,7.82
0.49,41.25,23.37,23.33,3.47,102.17,49.39,52.14,7.83
0.50,41.25,23.37,23.33,3.46,102.57,49.39,52.14,7.83
0.51,41.17,23.33,23.33,3.46,102.57,49.39,52.14,7.82
