timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611-5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.00,34.50,21.29,21.50,3.88,99.40,62.88,52.76,7.22
0.01,34.50,21.29,21.50,3.88,99.40,62.88,52.76,7.22
0.02,34.50,21.29,21.50,3.87,99.40,62.88,52.76,7.22
0.03,34.44,21.29,21.50,3.87,99.40,62.88,52.76,7.22
0.04,34.44,21.29,21.50,3.87,99.40,62.88,52.89,7.22
0.05,34.50,21.29,21.50,3.87,99.40,63.05,52.76,7.22
0.06,34.44,21.29,21.53,3.87,99.40,62.88,52.76,7.22
0.07,34.44,21.29,21.50,3.87,99.40,63.05,52.89,7.22
0.08,34.44,21.29,21.53,3.87,99.40,62.88,52.76,7.22
0.09,34.37,21.29,21.53,3.87,99.40,62.88,52.76,7.22
0.10,34.50,21.32,21.50,3.88,99.40,62.88,52.76,7.22
0.11,34.44,21.29,21.53,3.88,99.40,62.88,52.89,7.22
0.12,34.50,21.29,21.50,3.87,99.40,62.88,52.89,7.22
0.13,34.44,21.29,21.50,3.87,99.40,62.88,52.76,7.22
0.14,34.50,21.29,21.50,3.87,99.79,62.88,52.89,7.22
0.15,34.37,21.26,21.50,3.88,99.40,62.88,52.76,7.22
0.16,34.50,21.26,21.53,3.88,99.40,62.88,52.76,7.22
0.17,34.44,21.29,21.50,3.88,99.02,62.88,52.76,7.22
0.18,34.44,21.32,21.50,3.88,99.40,62.88,52.89,7.22
0.19,34.50,21.29,21.50,3.88,99.40,62.88,52.89,7.21
0.20,34.50,21.29,21.50,3.87,99.40,62.88,52.89,7.22
0.21,34.50,21.29,21.50,3.88,99.40,62.88,52.89,7.22
0.22,34.50,21.29,21.50,3.88,99.40,62.88,52.89,7.22
0.23,34.44,21.29,21.50,3.87,99.40,62.88,52.89,7.23
0.24,34.44,21.29,21.53,3.88,99.40,63.05,52.76,7.22
0.25,34.44,21.29,21.50,3.87,99.40,62.88,52.89,7.22
0.26,34.37,21.32,21.50,3.88,99.40,62.88,52.76,7.21
0.27,34.44,21.29,21.50,3.88,99.40,63.05,52.89,7.22
0.28,34.50,21.32,21.50,3.88,99.40,62.88,52.89,7.22
0.29,34.37,21.29,21.50,3.87,99.40,62.88,52.89,7.22
0.30,34.44,21.29,21.47,3.88,99.40,62.88,52.89,7.22
0.31,34.44,21.29,21.53,3.87,99.40,62.88,52.89,7.22
0.32,34.44,21.29,21.53,3.87,99.40,62.88,52.89,7.22
0.33,34.44,21.29,21.50,3.88,99.40,63.05,52.76,7.22
0.34,34.50,21.29,21.53,3.87,99.40,63.05,52.76,7.22
0.35,34.50,21.32,21.50,3.88,99.40,63.05,52.89,7.23
0.36,34.50,21.32,21.50,3.88,99.40,62.88,52.76,7.22
0.37,34.44,21.32,21.53,3.88,99.40,62.88,52.76,7.22
0.38,34.44,21.29,21.53,3.88,99.40,62.88,52.76,7.22
0.39,34.44,21.29,21.53,3.88,99.40,62.88,52.76,7.22
0.40,34.50,21.29,21.50,3.88,99.40,63.05,52.76,7.23
0.41,34.50,21.29,21.50,3.88,99.40,62.88,52.76,7.22
0.42,34.37,21.29,21.50,3.88,99.40,62.88,52.76,7.22
0.43,34.44,21.29,21.50,3.88,99.40,62.88,52.76,7.22
0.44,34.44,21.32,21.53,3.87,99.40,62.88,52.89,7.22
0.45,34.44,21.29,21.53,3.88,99.40,62.88,52.89,7.22
0.46,34.44,21.29,21.50,3.88,99.40,62.88,52.76,7.22
0.47,34.50,21.32,21.50,3.88,99.40,63.05,52.89,7.22
0.48,34.50,21.32,21.50,3.88,99.40,62.88,52.76,7.22
0.49,34.44,21.29,21.50,3.88,99.40,63.05,52.76,7.22
0.50,34.44,21.29,21.53,3.88,99.40,62.71,52.89,7.22
0.51,34.44,21.32,21.50,3.88,99.40,62.88,52.76,7.22
0.52,34.50,21.29,21.50,3.87,99.40,63.05,52.89,7.22
0.53,34.50,21.29,21.53,3.87,99.02,62.88,52.89,7.22
0.54,34.44,21.29,21.50,3.88,99.40,62.88,52.76,7.22
0.55,34.44,21.29,21.50,3.87,99.40,62.88,52.76,7.22
0.56,34.50,21.29,21.50,3.87,99.40,62.88,52.76,7.23
0.57,34.37,21.29,21.50,3.88,99.02,62.88,52.76,7.22
0.58,34.44,21.32,21.53,3.88,99.40,62.88,52.89,7.22
0.59,34.50,21.32,21.50,3.88,99.40,62.88,52.89,7.22
0.60,34.50,21.29,21.50,3.87,99.40,63.05,52.89,7.22
0.61,34.44,21.29,21.53,3.87,99.40,62.88,52.76,7.22
0.62,34.44,21.29,21.50,3.88,99.40,62.88,52.89,7.22
0.63,34.44,21.29,21.50,3.88,99.40,62.88,52.76,7.22
0.64,34.50,21.29,21.50,3.88,99.40,62.88,52.76,7.22
0.65,34.44,21.29,21.50,3.88,99.79,62.88,52.76,7.22
0.66,34.44,21.29,21.53,3.88,99.40,62.88,52.76,7.22
0.67,34.50,21.29,21.50,3.87,99.40,63.05,52.89,7.22
0.68,34.44,21.29,21.50,3.87,99.40,62.88,52.89,7.22
0.69,34.50,21.29,21.53,3.88,99.02,62.88,52.89,7.23
0.70,34.44,21.26,21.53,3.87,99.40,62.88,52.89,7.22
0.71,34.50,21.29,21.50,3.87,99.40,62.88,52.76,7.22
0.72,34.44,21.29,21.50,3.88,99.40,63.05,52.89,7.22
0.73,34.44,21.29,21.50,3.88,99.40,62.88,52.89,7.22
0.74,34.50,21.29,21.50,3.88,98.64,62.88,52.76,7.22
