timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611-5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.00,33.44,20.64,21.00,3.73,96.04,60.41,51.28,7.65
0.01,33.44,20.64,21.00,3.73,96.04,60.41,51.40,7.65
0.02,33.38,20.61,21.00,3.73,96.04,60.57,51.28,7.65
0.03,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.04,33.44,20.61,21.00,3.73,96.04,60.57,51.28,7.65
0.05,33.38,20.61,21.03,3.73,96.40,60.57,51.28,7.64
0.06,33.44,20.64,21.00,3.74,96.04,60.41,51.28,7.65
0.07,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.08,33.38,20.64,21.00,3.73,96.04,60.25,51.28,7.64
0.09,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.64
0.10,33.44,20.61,21.00,3.73,96.40,60.57,51.28,7.65
0.11,33.44,20.64,21.00,3.73,96.40,60.41,51.28,7.65
0.12,33.38,20.64,21.03,3.73,96.04,60.57,51.28,7.64
0.13,33.44,20.64,21.00,3.73,96.40,60.41,51.28,7.65
0.14,33.44,20.64,21.00,3.73,96.04,60.41,51.28,7.65
0.15,33.38,20.64,21.03,3.73,96.04,60.41,51.28,7.64
0.16,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.17,33.38,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.18,33.44,20.64,21.00,3.73,96.40,60.57,51.28,7.65
0.19,33.38,20.64,21.00,3.73,96.04,60.41,51.28,7.65
0.20,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.21,33.50,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.22,33.44,20.64,21.00,3.73,96.40,60.57,51.28,7.65
0.23,33.44,20.64,21.00,3.73,96.40,60.57,51.28,7.65
0.24,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.25,33.44,20.64,21.03,3.73,96.04,60.41,51.28,7.65
0.26,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.27,33.44,20.64,21.00,3.73,96.04,60.41,51.28,7.65
0.28,33.44,20.64,21.00,3.73,96.40,60.57,51.28,7.65
0.29,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.64
0.30,33.38,20.64,21.00,3.73,96.04,60.57,51.16,7.65
0.31,33.44,20.61,21.00,3.73,96.04,60.41,51.28,7.65
0.32,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.33,33.44,20.64,21.03,3.73,96.40,60.57,51.28,7.66
0.34,33.44,20.64,21.00,3.73,96.04,60.41,51.28,7.65
0.35,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.36,33.44,20.64,21.03,3.73,96.40,60.57,51.28,7.65
0.37,33.50,20.64,21.00,3.73,96.04,60.41,51.28,7.65
0.38,33.50,20.64,21.03,3.73,96.40,60.41,51.28,7.65
0.39,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.65
0.40,33.50,20.64,21.03,3.73,96.40,60.57,51.28,7.65
0.41,33.38,20.64,21.03,3.73,96.04,60.57,51.28,7.65
0.42,33.44,20.64,21.00,3.73,96.04,60.57,51.28,7.64
0.43,33.44,20.64,21.03,3.73,96.04,60.57,51.28,7.65
