timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611-5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,48.4931,23.9009,27.15,7.3429,88.9043,52.0151,71.28,7.4011
2.0,48.5874,23.9386,27.202,7.3446,89.0689,52.0694,71.28,7.4094
4.0,48.6189,23.9591,27.234,7.3491,89.1877,52.1209,71.28,7.4149
6.0,48.5623,23.9706,27.2469,7.3569,89.3249,52.1723,71.298,7.4169
8.0,48.556,23.9389,27.234,7.3589,89.1877,52.1449,71.208,7.4131
10.0,48.5434,23.916,27.2009,7.3603,89.0323,52.0646,71.196,7.4169
12.0,48.49,23.874,27.1491,7.3531,88.9226,51.9574,71.154,7.4131
14.0,48.4271,23.8443,27.116,7.3526,88.95,52.0234,71.142,7.416
16.0,48.4617,23.8443,27.1066,7.3517,88.95,52.0977,71.034,7.4166
18.0,48.4711,23.8774,27.1066,7.3574,88.95,52.0977,71.124,7.4209
20.0,48.3989,23.9057,27.1203,7.3609,88.9766,52.0234,71.244,7.4183
22.0,48.3989,23.9186,27.1431,7.3591,88.8437,51.9789,71.226,7.426
24.0,48.4711,23.8886,27.1431,7.3626,88.826,51.99,71.196,7.4323
26.0,48.4711,23.8683,27.1203,7.3674,88.764,51.99,71.154,7.4334
28.0,48.4083,23.8637,27.1066,7.3709,88.7197,51.99,71.142,7.4317
30.0,48.38,23.8869,27.1143,7.37,88.6931,51.99,71.07,7.4383
32.0,48.3423,23.8731,27.0971,7.3691,88.8969,51.99,71.016,7.4374
34.0,48.336,23.84,27.0729,7.3734,88.9243,51.99,70.914,7.4351
36.0,48.3046,23.8069,27.0591,7.3749,88.61,52.0106,70.842,7.4366
38.0,48.3454,23.7966,27.0497,7.3734,88.458,51.9394,70.86,7.4409
40.0,48.314,23.8,27.0303,7.3691,88.5303,51.7569,70.86,7.44
42.0,48.3077,23.8,27.0166,7.3691,88.6949,51.7074,70.86,7.44
44.0,48.2606,23.7966,27.0166,7.3726,88.5303,51.7431,70.86,7.4391
46.0,48.27,23.8137,27.0303,7.3774,88.4846,51.864,70.842,7.4426
48.0,48.2606,23.8126,27.0497,7.38,88.5037,51.918,70.914,7.4466
50.0,48.2691,23.8377,27.0514,7.3826,88.7471,52.0106,71.016,7.4526
52.0,48.4203,23.8457,27.0883,7.3874,88.8429,52.0003,71.088,7.4617
54.0,48.756,23.8571,27.2626,7.4466,89.2714,51.9489,71.4951,7.5326
56.0,48.8851,23.8426,27.182,7.3711,89.0369,51.942,70.2951,7.3883
58.0,48.1646,23.8194,26.3406,6.5874,86.3023,51.918,66.1186,6.538
