timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611-5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,40.2554,20.1634,22.66,8.0677,74.0014,44.6797,60.2837,8.284
2.0,40.1983,20.1843,22.66,8.0731,73.9323,44.6411,60.2151,8.282
4.0,40.1526,20.1866,22.66,8.0743,73.8946,44.6283,60.1923,8.28
6.0,40.1137,20.1609,22.6626,8.0714,73.8631,44.654,60.2289,8.2743
8.0,40.1206,20.152,22.6557,8.0694,73.9134,44.6669,60.2426,8.2766
10.0,40.1389,20.1403,22.6274,8.0631,73.9323,44.6746,60.1649,8.2817
12.0,40.1343,20.1246,22.5977,8.0651,73.8263,44.6231,60.0414,8.2783
14.0,40.0726,20.1057,22.5891,8.0523,73.672,44.6009,60.046,8.2691
16.0,40.0337,20.11,22.5797,8.052,73.5791,44.5743,59.9866,8.2651
18.0,40.0337,20.1074,22.5754,8.048,73.5003,44.5257,60.1009,8.2631
20.0,40.0794,20.116,22.5763,8.0469,73.5003,44.4829,60.1329,8.2651
22.0,40.1069,20.1391,22.6003,8.0383,73.5791,44.5257,60.1786,8.2691
24.0,40.0931,20.1523,22.6274,8.04,73.6909,44.5666,60.0963,8.2783
26.0,40.1206,20.1426,22.6523,8.0374,73.7509,44.6394,60.0963,8.2809
28.0,40.1663,20.1537,22.6729,8.0477,73.8066,44.636,60.1511,8.2809
30.0,40.1594,20.1669,22.6897,8.0614,73.9134,44.6454,60.2289,8.2766
32.0,40.1411,20.1771,22.7034,8.076,73.9691,44.6934,60.2837,8.276
34.0,40.1526,20.19,22.7,8.0749,74.0489,44.7377,60.27,8.2723
36.0,40.1869,20.2046,22.7,8.0734,74.0817,44.7586,60.27,8.2794
38.0,40.18,20.2131,22.7,8.07,74.0489,44.73,60.2837,8.2823
40.0,40.18,20.1917,22.7034,8.0666,73.9691,44.732,60.2151,8.2817
42.0,40.18,20.1883,22.6897,8.066,73.8946,44.6583,60.206,8.2717
