timestamp,TGS2611-5.65,TGS2612-5.65,TGS2610-5.65,TGS2602-5.65,TGS2611-5.00,TGS2612-5.00,TGS2610-5.00,TGS2602-5.00
0.0,38.9877,21.034,24.0617,2.78,88.9317,54.0114,83.1849,9.5391
2.0,39.0791,21.052,24.0551,2.78,88.9591,54.0783,83.2626,9.5514
4.0,39.1363,21.07,24.0643,2.78,89.0323,54.1266,83.3831,9.5609
6.0,39.1569,21.0949,24.096,2.7791,89.1877,54.1711,83.6034,9.5683
8.0,39.1569,21.1051,24.1146,2.7834,89.2974,54.16,83.596,9.5717
10.0,39.1294,21.0949,24.096,2.7849,89.2974,54.1711,83.6789,9.5683
12.0,39.0974,21.0674,24.0617,2.7834,89.1603,54.1266,83.596,9.5591
14.0,39.0494,21.0554,24.0711,2.7791,89.142,54.0523,83.5794,9.5543
16.0,38.99,21.0546,24.0677,2.78,89.1046,54.0634,83.4791,9.5574
18.0,38.9237,21.0426,24.0329,2.78,88.98,54.1043,83.408,9.5583
20.0,38.9031,21.0151,23.9766,2.78,88.6923,54.0411,83.272,9.5526
22.0,38.91,21.0049,23.9517,2.78,88.6134,53.9223,83.176,9.55
24.0,38.91,21.0177,23.9551,2.78,88.64,53.8777,83.2,9.5466
26.0,38.91,21.0349,23.9723,2.78,88.6134,53.9446,83.2,9.546
28.0,38.91,21.0349,23.9826,2.78,88.7463,53.9631,83.224,9.544
30.0,38.91,21.0203,23.98,2.78,88.7906,53.9557,83.104,9.5434
32.0,38.9031,20.9971,23.9766,2.78,88.7463,53.8443,83.088,9.5383
34.0,38.9237,20.9954,23.9903,2.78,88.5869,53.8257,83.008,9.5426
36.0,38.9969,20.9997,24.0097,2.78,88.7197,53.9,83.088,9.5483
38.0,39.0289,21.0126,24.0269,2.78,88.8703,53.9743,83.104,9.5483
40.0,39.0449,21.0151,24.0123,2.78,89.0031,53.9446,83.248,9.5426
42.0,39.0289,20.9946,23.98,2.78,88.8703,53.9,83.128,9.54
44.0,39.0029,20.9689,23.9646,2.7809,88.7197,53.8777,82.992,9.5374
46.0,38.9057,20.9311,23.9654,2.7774,88.6134,53.7589,82.896,9.5326
48.0,38.8511,20.9306,23.9466,2.7726,88.64,53.6957,82.92,9.5309
50.0,38.8211,20.9397,23.9186,2.7691,88.6134,53.7366,82.9431,9.5249
52.0,38.8649,20.9457,23.962,2.77,88.7197,53.7477,82.8746,9.5151
54.0,39.2497,20.9889,24.2177,2.77,89.61,53.8877,84.3009,9.51
56.0,38.9949,20.8586,24.0034,2.7709,88.8446,53.8251,79.8834,9.51
58.0,35.4437,19.7637,21.5186,2.7683,77.5806,50.072,61.5174,9.49
60.0,29.2154,17.7871,17.4657,2.7617,58.1523,41.686,38.342,9.4249
62.0,23.5763,15.8114,14.058,2.7466,41.1583,32.4123,24.9917,9.3143
64.0,20.6711,14.5726,12.5577,2.7369,33.8617,26.6171,22.4343,9.1649
66.0,19.1626,13.7671,11.7714,2.7214,30.828,23.6806,21.2257,9.0094
68.0,18.2429,13.2091,11.2563,2.7069,29.144,21.9414,20.3846,8.8389
70.0,17.63,12.8,10.9043,2.6857,28.0483,20.7843,19.7883,8.6686
72.0,17.1957,12.4949,10.6449,2.6726,27.2629,19.986,19.37,8.4949
74.0,16.8614,12.2643,10.4491,2.6591,26.6629,19.4074,19.0606,8.346
76.0,16.5986,12.0866,10.2909,2.65,26.2151,18.9637,18.8286,8.204
78.0,16.4109,11.9483,10.17,2.64,25.8877,18.6197,18.6531,8.0726
80.0,16.2706,11.846,10.0809,2.63,25.658,18.3554,18.5377,7.9509
82.0,16.1434,11.7749,10.0049,2.62,25.4726,18.166,18.438,7.8509
84.0,16.0443,11.7209,9.9477,2.6091,25.3134,18.0083,18.3586,7.754
86.0,15.9883,11.6691,9.9023,2.6017,25.1797,17.8891,18.2983,7.6694
88.0,15.9466,11.6343,9.8777,2.5991,25.0871,17.7891,18.2709,7.5914
90.0,15.9009,11.6031,9.8531,2.6,25.0129,17.7134,18.2466,7.5251
92.0,15.8643,11.5743,9.8326,2.6009,24.9637,17.6574,18.2234,7.4566
