time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
90022,0.13,-0.10,1.01,0.37,-2.87,-15.32
90037,0.15,-0.07,1.00,1.04,-2.50,-13.61
90053,0.15,-0.03,1.01,4.70,-2.14,-15.01
90069,0.16,-0.01,1.01,0.55,-2.14,-18.25
90085,0.17,0.04,1.00,1.28,-2.20,-18.98
90101,0.18,0.10,1.01,3.48,-2.50,-21.85
90117,0.18,0.10,1.00,3.72,-2.38,-24.17
90133,0.16,0.12,1.02,1.83,-2.62,-24.05
90149,0.14,0.05,1.01,2.69,-2.38,-15.75
90165,0.12,0.04,1.01,2.56,-2.20,-14.16
90181,0.07,0.05,1.01,-0.85,-2.32,-14.71
90197,0.06,0.05,0.99,0.61,-2.20,-18.92
90213,0.05,0.05,0.99,3.66,-2.08,-23.13
90229,0.08,0.06,0.99,6.53,-1.89,-28.32
90245,0.11,0.11,1.01,8.00,-2.26,-28.38
90261,0.11,0.14,1.01,3.36,-2.56,-27.16
90277,0.13,0.17,1.01,1.34,-2.81,-18.13
90293,0.10,0.14,1.00,-2.38,-2.50,-10.50
90309,0.07,0.14,0.99,1.40,-2.87,-8.67
90325,0.05,0.20,1.00,3.78,-2.87,-11.41
90341,0.04,0.25,0.99,5.13,-2.38,-9.58
90357,0.07,0.25,0.99,3.05,-2.14,-6.84
90373,-0.01,0.28,1.00,-2.62,-3.23,1.22
90389,-0.04,0.27,1.00,-0.31,-2.44,6.23
90405,-0.02,0.27,0.99,1.04,-2.14,8.30
90421,-0.04,0.25,1.00,0.37,-1.28,14.89
90437,-0.09,0.18,1.00,0.00,-0.55,25.21
90453,-0.13,0.14,1.00,1.89,-0.79,31.19
90469,-0.17,0.05,1.00,0.55,-0.31,39.73
90485,-0.16,-0.00,1.01,1.16,-0.85,39.18
90501,-0.13,-0.01,1.00,2.01,-1.40,35.52
90517,-0.10,-0.01,1.01,3.42,-1.71,25.63
90533,-0.05,0.01,1.00,4.46,-1.83,16.72
90549,-0.04,0.02,1.00,3.85,-1.71,12.57
90565,-0.07,0.04,1.00,1.22,-2.38,6.84
90581,-0.11,0.05,1.00,0.24,-2.38,4.76
90597,-0.11,0.06,1.00,0.55,-1.95,4.82
90613,-0.12,0.05,1.00,-0.18,-1.77,4.52
90629,-0.13,0.03,1.00,-0.12,-1.77,5.00
90645,-0.13,0.01,1.00,0.24,-2.01,5.55
90661,-0.12,-0.01,1.00,1.16,-1.95,7.20
90677,-0.11,-0.01,1.00,2.08,-1.77,7.51
90693,-0.10,-0.01,1.00,2.50,-1.77,6.65
90709,-0.09,0.01,1.00,2.01,-1.95,5.00
90725,-0.08,0.01,1.00,1.16,-2.32,4.03
90741,-0.06,0.01,1.00,0.92,-2.32,4.70
90757,-0.06,0.02,1.01,0.98,-2.20,6.84
90773,-0.09,0.03,1.00,1.89,-1.71,7.69
90789,-0.09,0.05,1.00,2.38,-1.77,7.08
90805,-0.05,0.03,1.01,3.42,-1.65,8.73
90821,-0.04,0.03,1.00,0.79,-1.53,13.49
90837,-0.04,0.03,1.00,1.10,-1.65,15.26
90853,-0.05,0.00,1.00,-1.04,-1.95,16.48
90869,-0.10,0.01,1.00,-0.85,-2.08,14.47
90885,-0.09,0.01,1.00,1.04,-1.71,12.63
90901,-0.07,0.02,1.01,2.81,-1.53,12.57
90917,-0.03,0.00,1.00,2.87,-1.22,16.42
90933,-0.03,-0.04,1.00,1.46,-0.55,18.80
90949,-0.05,-0.12,1.01,-0.37,-1.10,20.45
90965,-0.04,-0.11,1.00,1.28,-1.65,16.91
90981,-0.05,-0.09,1.00,1.28,-1.71,15.01
90997,-0.06,-0.06,1.01,2.87,-1.10,11.23
91013,-0.05,-0.09,1.00,1.59,-2.01,10.01
91029,-0.08,-0.09,1.00,1.53,-2.38,10.38
