time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
110022,0.13,-0.25,1.01,1.04,-1.71,6.53
110037,0.14,-0.26,1.01,0.37,-1.65,3.97
110053,0.19,-0.24,1.01,0.73,-2.87,-3.54
110069,0.21,-0.17,1.00,-0.92,-1.95,-12.94
110085,0.22,-0.13,1.00,0.55,-1.95,-15.50
110101,0.22,-0.08,1.01,5.25,-1.16,-16.60
110117,0.21,-0.08,1.01,3.60,-1.77,-11.05
110133,0.19,-0.11,1.01,2.87,-1.83,-9.70
110149,0.19,-0.09,1.01,2.32,-1.59,-12.08
110165,0.19,-0.09,1.01,0.79,-1.83,-16.78
110181,0.21,-0.04,0.99,-0.73,-1.77,-18.86
110197,0.21,0.05,1.00,0.06,-2.26,-23.99
110213,0.20,0.08,1.00,5.00,-2.20,-26.06
110229,0.18,0.10,1.00,6.47,-2.26,-25.45
110245,0.16,0.11,1.00,4.76,-2.08,-22.52
110261,0.15,0.09,1.00,4.52,-2.26,-22.46
110277,0.12,0.09,1.00,2.44,-2.38,-24.78
110293,0.11,0.14,1.00,1.16,-2.50,-27.28
110309,0.12,0.16,1.00,1.22,-2.62,-26.06
110325,0.10,0.15,1.00,2.44,-2.26,-24.05
110341,0.11,0.09,1.00,0.49,-2.50,-22.83
110357,0.10,0.07,1.00,-2.01,-2.32,-23.80
110373,0.10,0.06,0.99,-7.57,-3.05,-28.02
110389,0.06,0.11,1.00,1.77,-3.11,-29.66
110405,0.08,0.12,0.99,6.04,-2.56,-30.09
110421,0.01,0.13,1.01,10.86,-1.59,-27.83
110437,-0.01,0.14,1.00,3.66,-2.01,-24.72
110453,-0.02,0.15,1.00,2.87,-2.01,-23.50
110469,-0.02,0.19,1.00,2.20,-1.40,-21.73
110485,-0.03,0.18,1.00,1.16,-1.46,-17.27
110501,-0.05,0.17,1.00,1.53,-2.20,-14.59
110517,-0.05,0.15,1.00,2.75,-3.23,-12.94
110533,-0.14,0.12,1.00,1.53,-2.26,-10.93
110549,-0.13,0.13,1.00,0.00,-2.56,-9.03
110565,-0.12,0.17,0.99,0.12,-2.08,-5.43
110581,-0.11,0.17,1.00,1.71,-1.89,-0.55
110597,-0.12,0.19,1.00,2.56,-1.77,3.11
110613,-0.12,0.14,1.00,1.77,-1.95,13.18
110629,-0.12,0.07,1.00,0.67,-2.08,18.86
110645,-0.14,0.06,1.00,0.79,-2.32,19.71
110661,-0.15,0.03,1.00,2.14,-1.95,20.02
110677,-0.15,0.04,1.00,2.75,-2.08,18.43
110693,-0.16,0.06,1.01,0.92,-2.26,19.59
110709,-0.15,0.09,0.99,-1.71,-2.14,23.44
110725,-0.17,0.09,1.00,4.39,-0.98,28.14
110741,-0.16,0.06,1.00,5.00,-0.73,31.68
110757,-0.17,-0.00,1.00,3.72,-1.10,39.79
110773,-0.17,-0.07,1.01,2.01,-1.22,45.17
110789,-0.16,-0.11,1.01,1.40,-1.04,45.65
110805,-0.18,-0.16,1.01,-0.06,-0.73,39.43
110821,-0.14,-0.15,1.01,0.31,-0.92,33.87
110837,-0.15,-0.15,1.00,-1.77,-0.98,32.84
110853,-0.10,-0.14,1.01,0.67,-1.53,26.73
110869,-0.09,-0.15,1.01,1.16,-1.34,24.72
110885,-0.09,-0.14,1.00,0.55,-1.65,23.32
110901,-0.10,-0.14,1.01,1.22,-1.83,21.79
