time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
100022,0.01,0.00,1.00,1.59,-1.89,2.20
100037,0.01,0.01,1.00,1.59,-1.95,2.08
100053,0.01,0.01,1.00,1.59,-1.95,2.14
100069,0.01,0.01,1.00,1.59,-1.83,2.14
100085,0.01,0.01,1.00,1.65,-1.89,2.08
100101,0.01,0.01,1.00,1.59,-1.89,2.20
100117,0.00,0.01,1.00,1.65,-1.83,2.20
100133,0.01,0.01,1.00,1.59,-1.89,2.14
100149,0.01,0.01,1.00,1.65,-1.95,2.08
100165,0.01,0.01,1.00,1.65,-1.89,2.08
100181,0.01,0.01,1.00,1.59,-1.89,2.14
100197,0.01,0.01,1.00,1.59,-1.95,2.08
100213,0.01,0.01,1.00,1.59,-1.89,2.14
100229,0.01,0.01,1.00,1.65,-1.95,2.14
100245,0.01,0.01,1.00,1.65,-1.89,2.14
100261,0.01,0.00,1.00,1.59,-1.89,2.20
100277,0.01,0.01,1.00,1.59,-1.89,2.08
100293,0.01,0.01,1.00,1.59,-1.89,2.14
100309,0.01,0.01,1.00,1.65,-1.83,2.14
100325,0.01,0.01,1.00,1.53,-1.95,2.14
100341,0.01,0.01,1.00,1.59,-1.89,2.08
100357,0.01,0.01,1.00,1.59,-1.89,2.14
100373,0.01,0.01,1.00,1.65,-1.89,2.08
100389,0.01,0.01,1.00,1.59,-1.89,2.14
100405,0.01,0.01,1.00,1.59,-1.89,2.14
100421,0.01,0.01,1.00,1.59,-1.89,2.20
100437,0.01,0.00,1.00,1.59,-1.89,2.14
100453,0.01,0.01,1.00,1.59,-1.95,2.08
100469,0.01,0.01,1.00,1.59,-1.89,2.14
100485,0.01,0.01,1.00,1.65,-1.95,2.14
100501,0.01,0.01,1.00,1.59,-1.89,2.20
100517,0.01,0.01,1.00,1.59,-1.83,2.08
100533,0.01,0.00,1.00,1.59,-1.83,2.08
100549,0.01,0.01,1.00,1.65,-1.83,2.08
100565,0.01,0.00,1.00,1.65,-1.89,2.14
100581,0.01,0.01,1.00,1.71,-1.95,2.14
100597,0.01,0.01,1.00,1.65,-1.89,2.20
100613,0.01,0.01,1.00,1.71,-1.89,2.14
100629,0.01,0.01,1.00,1.65,-1.89,2.08
100645,0.01,0.01,1.00,1.59,-1.83,2.14
