time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
500022,0.01,0.26,1.00,3.72,-1.65,0.24
500037,0.02,0.25,0.99,2.87,-1.59,12.76
500053,0.01,0.21,0.99,1.59,-1.28,22.22
500069,0.01,0.17,1.00,0.98,-0.98,25.21
500085,0.01,0.11,1.01,2.32,-1.16,26.37
500101,-0.01,0.08,1.01,1.16,-1.22,24.96
500117,-0.02,0.11,1.00,3.42,-1.46,24.17
500133,-0.01,0.13,1.00,0.85,-2.01,22.52
500149,-0.00,0.08,0.99,-2.32,-2.08,21.18
500165,0.00,0.05,1.01,3.23,-1.04,20.08
500181,0.01,-0.02,1.00,1.59,-1.95,14.95
500197,-0.03,-0.02,1.00,0.37,-2.38,10.44
500213,-0.04,-0.01,1.00,-0.85,-2.14,9.03
500229,-0.02,-0.00,1.01,-2.50,-1.40,10.07
500245,0.01,-0.00,1.00,0.98,-1.65,12.70
500261,0.02,-0.02,1.00,2.50,-1.65,14.16
500277,0.02,-0.08,0.99,5.25,-1.40,15.63
500293,0.01,-0.13,1.01,-3.60,-1.89,13.43
500309,-0.00,-0.15,1.01,-2.14,-2.32,11.41
500325,-0.02,-0.10,1.00,0.31,-1.53,9.89
500341,-0.03,-0.11,1.00,2.99,-1.65,9.16
500357,0.00,-0.10,1.00,0.00,-1.77,9.89
500373,0.00,-0.13,1.00,1.10,-1.46,13.24
500389,-0.00,-0.20,1.00,2.26,-1.28,13.37
500405,-0.01,-0.23,1.01,2.44,-1.16,12.02
500421,0.01,-0.28,1.01,3.48,-1.28,11.11
500437,-0.00,-0.28,1.01,0.73,-1.53,7.20
500453,-0.01,-0.24,1.01,1.16,-1.71,1.77
500469,0.01,-0.21,1.00,0.73,-1.89,-6.29
500485,0.01,-0.19,1.01,0.92,-1.95,-6.29
500501,0.02,-0.21,1.01,1.16,-2.01,-5.98
500517,0.01,-0.01,1.01,2.75,-1.83,-2.56
500533,0.01,-0.01,1.00,4.21,-1.59,3.23
500549,-0.00,-0.13,1.01,4.39,-1.40,8.12
500565,0.04,-0.19,1.01,2.20,-1.40,22.16
500581,0.03,-0.20,1.00,-0.18,-1.46,25.33
500597,0.01,-0.22,1.01,-0.73,-1.77,22.77
500613,0.01,-0.23,1.01,0.37,-1.77,13.55
500629,0.03,-0.24,1.01,1.22,-1.77,8.73
500645,0.03,-0.24,1.01,0.85,-2.08,0.37
500661,0.01,-0.23,1.01,0.92,-2.20,-6.84
500677,-0.00,-0.22,1.01,1.77,-2.26,-10.31
500693,-0.02,-0.17,1.00,0.98,-2.38,-16.24
500709,-0.03,-0.13,1.00,2.08,-2.20,-19.53
500725,-0.02,-0.12,1.00,1.34,-2.26,-18.55
500741,0.01,-0.11,1.00,-2.62,-2.44,-8.73
500757,0.00,-0.12,1.00,2.99,-1.71,-0.31
500773,-0.01,-0.12,1.00,3.17,-1.53,1.71
500789,-0.05,-0.07,1.02,4.58,-1.95,1.77
500805,-0.07,-0.09,1.00,2.50,-1.83,-5.00
500821,-0.05,-0.07,1.00,1.10,-1.95,-8.54
500837,-0.04,-0.07,1.00,1.40,-2.50,-14.83
500853,-0.03,-0.06,0.95,-1.53,-2.69,-20.39
500869,-0.04,0.02,1.01,7.32,-2.14,-21.61
500885,-0.02,0.04,1.00,1.10,-2.26,-22.34
500901,-0.03,0.06,0.99,-0.43,-2.20,-17.64
500917,-0.01,0.05,0.97,4.52,-1.34,-14.89
500933,0.03,0.07,1.01,6.84,-1.22,-15.01
500949,0.02,0.10,1.00,0.61,-2.44,-14.16
500965,0.02,0.11,1.01,3.48,-2.69,-13.73
500981,0.01,0.06,1.00,1.34,-2.62,-17.09
500997,-0.02,0.07,0.98,1.10,-2.75,-22.77
501013,-0.00,0.07,0.99,0.67,-2.75,-27.77
501029,0.02,0.16,0.99,-3.11,-3.42,-36.74
501045,0.04,0.27,0.99,0.43,-2.62,-37.90
501061,0.02,0.34,1.00,1.59,-2.01,-35.52
501077,0.00,0.41,1.00,2.14,-2.14,-26.86
501093,-0.01,0.45,1.00,1.10,-1.89,-11.90
501109,-0.00,0.45,1.00,1.10,-1.83,-4.52
501125,-0.04,0.42,1.00,2.08,-1.71,5.49
501141,0.02,0.04,1.00,-0.79,-2.01,3.30
501157,0.05,0.12,1.00,-0.24,-2.08,-0.85
501173,-0.02,0.23,1.00,-1.10,-2.56,-18.07
501189,-0.02,0.35,1.00,0.18,-2.87,-31.68
501205,-0.04,0.42,1.00,0.73,-2.75,-32.65
501221,-0.09,0.43,1.00,1.95,-2.87,-29.30
501237,-0.06,0.35,1.00,4.15,-2.32,-17.88
501253,-0.05,0.31,1.00,4.58,-1.83,-9.70
501269,-0.03,0.22,1.00,3.36,-1.65,9.89
501285,-0.05,0.14,1.00,0.67,-1.95,25.15
501301,-0.07,0.10,1.00,-0.55,-1.77,27.83
501317,-0.06,0.05,1.00,-2.08,-1.65,23.62
501333,-0.02,0.02,1.01,3.66,-0.79,17.64
501349,-0.04,0.04,1.02,3.85,-0.61,15.08
501365,-0.04,0.06,1.01,0.98,-1.53,11.11
501381,-0.00,0.01,0.99,0.12,-3.23,13.49
501397,0.01,0.01,0.99,0.61,-3.23,15.44
501413,0.01,0.03,1.00,1.34,-2.44,18.74
501429,0.02,-0.04,1.01,1.10,-1.77,26.00
501445,0.01,-0.07,1.01,1.71,-2.14,30.94
501461,-0.01,-0.10,1.01,1.95,-1.34,36.80
501477,0.03,-0.16,1.01,1.04,-0.85,35.28
501493,0.05,-0.17,1.01,2.99,-0.67,33.08
501509,0.06,-0.13,1.00,3.30,-1.46,25.21
501525,0.06,-0.12,0.99,2.20,-1.59,16.91
501541,0.06,-0.12,1.00,1.53,-1.40,15.75
501557,0.02,-0.12,1.01,3.30,-1.40,15.26
501573,0.04,-0.08,1.02,-3.23,-1.71,12.63
501589,0.05,-0.12,1.01,0.61,-1.83,12.51
501605,0.06,-0.10,1.01,3.42,-1.65,14.28
501621,0.04,-0.10,1.01,0.98,-1.59,17.76
501637,-0.02,-0.14,1.00,1.65,-1.53,19.96
501653,-0.00,-0.14,1.00,2.56,-1.34,25.88
501669,0.01,-0.17,1.01,2.26,-1.34,22.95
501685,0.03,-0.22,1.01,1.34,-1.34,17.64
501701,0.05,-0.25,1.01,2.14,-1.59,8.36
501717,0.03,-0.27,1.01,1.34,-1.65,5.07
501733,-0.02,-0.21,1.00,2.62,-1.77,0.79
501749,0.06,-0.08,1.00,3.05,-1.59,3.72
501765,0.10,-0.13,1.00,4.70,-1.28,10.01
501781,0.09,-0.20,1.00,2.44,-1.04,28.56
501797,0.04,-0.23,1.01,-0.61,-1.65,39.49
501813,0.01,-0.23,1.01,-1.59,-1.89,40.34
501829,-0.06,-0.19,1.01,-2.93,-2.08,32.96
501845,-0.10,-0.08,1.00,-0.79,-2.01,15.99
501861,-0.09,-0.03,1.00,0.61,-2.01,4.27
501877,0.01,-0.04,1.00,4.39,-1.95,-8.67
501893,0.07,-0.11,1.00,4.33,-1.83,-0.79
501909,0.07,-0.14,1.00,2.81,-1.77,6.23
501925,0.02,-0.14,1.00,-0.49,-1.95,14.22
501941,-0.04,-0.07,1.01,-1.28,-1.89,10.50
501957,-0.02,-0.07,1.00,-0.79,-1.83,6.65
501973,0.01,-0.03,1.01,5.62,-1.46,0.12
501989,-0.01,-0.05,1.01,5.00,-1.46,-0.24
502005,0.00,-0.08,1.00,3.91,-1.34,0.55
502021,0.01,-0.12,1.00,2.14,-1.40,2.75
502037,-0.01,-0.09,1.00,-0.37,-1.83,-0.12
502053,-0.02,-0.08,1.01,-0.37,-2.14,-2.14
502069,0.00,-0.02,1.01,-0.31,-2.26,-7.26
502085,0.00,-0.02,0.99,5.62,-1.95,-12.57
502101,0.02,-0.00,1.01,3.54,-2.14,-15.14
502117,0.02,-0.02,1.00,1.71,-2.01,-14.89
502133,-0.03,0.03,1.00,-2.01,-2.62,-9.83
502149,-0.02,0.03,0.99,-2.08,-2.01,-9.03
502165,-0.00,0.03,0.99,10.50,-1.53,-7.51
502181,0.02,0.09,1.01,6.47,-1.46,-11.96
502197,0.00,0.10,1.00,-0.92,-1.83,-14.71
502213,0.01,0.08,1.00,-0.12,-2.56,-16.54
502229,-0.01,0.12,1.00,-0.37,-2.81,-16.48
502245,-0.00,0.12,1.00,-1.16,-2.99,-16.78
502261,-0.00,0.16,1.00,-0.18,-2.93,-16.54
502277,-0.05,0.24,1.00,2.99,-2.56,-17.82
502293,-0.03,0.25,1.00,0.31,-2.32,-18.19
502309,-0.04,0.29,1.00,2.20,-2.26,-13.18
502325,-0.04,0.35,1.00,2.44,-2.26,-7.08
502341,-0.03,0.37,1.00,2.69,-2.08,-5.62
