time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
40022,-0.03,0.11,1.04,0.92,25.57,-1.40
40037,-0.05,0.09,1.15,19.71,38.15,6.35
40053,-0.07,0.06,1.16,7.08,34.42,1.22
40069,-0.07,0.08,1.19,11.66,35.28,0.06
40085,-0.09,0.09,1.19,7.39,29.54,0.18
40101,-0.08,0.10,1.16,4.03,17.27,0.12
40117,-0.08,0.09,1.16,5.13,13.49,0.49
40133,-0.07,0.08,1.17,7.02,12.21,3.48
40149,-0.08,0.06,1.17,5.55,15.69,4.39
40165,-0.08,0.06,1.17,5.19,17.03,3.23
40181,-0.10,0.06,1.15,4.39,15.50,-0.73
40197,-0.11,0.07,1.14,6.10,13.24,-2.14
40213,-0.10,0.07,1.14,6.23,13.06,-1.71
40229,-0.08,0.07,1.16,4.58,15.38,-1.46
40245,-0.09,0.08,1.18,-1.04,18.80,-2.44
40261,-0.09,0.09,1.18,-4.03,19.65,-3.78
40277,-0.10,0.12,1.21,-6.59,16.85,-4.39
40293,-0.09,0.12,1.26,-2.26,10.93,-1.71
40309,-0.10,0.11,1.29,2.75,7.26,-0.43
40325,-0.11,0.13,1.37,15.87,2.62,0.00
40341,-0.15,0.20,1.47,23.93,3.48,-2.75
40357,-0.17,0.24,1.52,23.32,3.42,-4.39
40373,-0.18,0.28,1.56,9.58,-1.89,-3.17
40389,-0.19,0.25,1.52,-10.56,-13.61,5.55
40405,-0.21,0.22,1.48,-18.01,-21.42,10.86
40421,-0.19,0.12,1.38,-22.52,-38.27,20.81
40437,-0.18,0.05,1.27,-15.87,-52.61,23.68
40453,-0.16,0.04,1.23,-10.38,-57.19,21.97
40469,-0.13,0.04,1.13,-5.07,-60.67,15.99
40485,-0.12,0.05,1.09,-9.46,-55.91,12.08
40501,-0.09,0.06,1.01,-14.71,-50.66,11.35
40517,-0.04,0.06,0.95,-23.32,-36.13,10.44
40533,-0.03,0.05,0.93,-25.57,-22.03,9.34
40549,-0.03,0.03,0.92,-22.77,-18.13,9.40
40565,-0.03,0.02,0.94,-11.96,-13.73,10.80
40581,-0.01,-0.00,0.96,-0.49,-15.08,12.27
40597,-0.02,-0.01,1.00,4.09,-16.97,12.21
40613,-0.04,-0.00,1.02,9.28,-22.16,10.44
40629,-0.03,0.00,1.02,8.85,-26.37,9.70
40645,-0.04,0.00,0.98,7.51,-36.25,10.31
40661,-0.03,-0.00,0.93,8.79,-45.78,12.39
40677,-0.02,-0.00,0.90,9.16,-49.62,12.94
40693,-0.01,-0.01,0.86,10.62,-55.36,13.00
40709,-0.00,-0.01,0.81,9.28,-56.82,12.39
40725,0.01,-0.02,0.79,6.29,-55.97,11.96
40741,0.04,-0.03,0.75,0.18,-51.94,9.95
40757,0.06,-0.04,0.72,-1.65,-45.59,7.75
40773,0.06,-0.04,0.71,-1.46,-42.72,6.84
40789,0.07,-0.04,0.70,0.67,-36.68,4.70
40805,0.07,-0.02,0.67,-0.06,-33.33,1.46
40821,0.07,-0.01,0.65,-1.77,-32.90,0.24
40837,0.11,-0.01,0.61,-7.51,-30.70,-1.89
40853,0.16,-0.01,0.57,-13.06,-26.55,-2.93
40869,0.16,-0.01,0.54,-13.98,-23.01,-3.66
40885,0.18,-0.01,0.50,-14.34,-15.20,-3.91
40901,0.18,-0.02,0.50,-11.11,-7.32,-2.14
40917,0.17,-0.03,0.51,-9.09,-2.75,-1.10
40933,0.16,-0.04,0.56,-6.04,7.51,-1.10
40949,0.19,-0.05,0.63,-3.36,15.56,-6.29
40965,0.20,-0.05,0.66,-4.15,16.30,-9.28
40981,0.20,-0.08,0.73,-3.48,15.75,-11.60
40997,0.17,-0.06,0.83,4.21,16.91,-14.04
41013,0.15,-0.03,0.88,4.82,14.34,-17.09
41029,0.12,0.03,0.90,-6.04,2.14,-23.56
41045,0.17,0.06,0.82,-15.56,-8.85,-24.78
41061,0.19,0.07,0.78,-11.60,-9.83,-22.40
41077,0.19,0.07,0.76,13.06,-2.56,-11.66
41093,0.15,0.10,0.84,34.18,10.38,-0.98
41109,0.14,0.11,0.89,33.45,17.21,1.46
41125,0.16,0.10,0.95,11.29,29.60,2.50
41141,0.19,0.03,0.94,-13.61,38.57,4.21
41157,0.18,-0.01,0.93,-16.78,41.44,5.55
41173,0.11,-0.05,0.96,-3.42,44.74,8.06
41189,0.02,-0.03,1.03,11.66,43.82,5.07
41205,-0.01,-0.01,1.06,12.45,42.97,2.14
41221,0.02,-0.00,1.09,2.20,42.79,-2.99
41237,0.06,0.00,1.09,-5.37,42.11,-5.25
41253,0.06,0.02,1.10,-5.25,41.81,-5.43
41269,0.03,0.05,1.13,-7.63,40.59,-6.47
41285,-0.01,0.07,1.11,-11.78,37.78,-6.65
41301,-0.01,0.07,1.10,-12.27,36.07,-5.31
41317,0.02,0.03,1.07,-5.74,29.42,1.34
41333,0.03,-0.01,1.09,6.71,19.29,8.36
41349,0.02,-0.02,1.08,10.99,15.08,9.03
41365,-0.01,-0.00,1.06,10.93,11.41,4.94
41381,-0.04,0.01,1.03,6.77,15.08,-0.37
41397,-0.05,0.01,1.02,3.72,18.62,-2.20
41413,-0.06,0.01,1.00,4.58,26.92,-3.05
41429,-0.06,0.03,1.10,26.18,30.15,3.78
41445,-0.08,0.01,1.08,20.08,23.62,1.83
41461,-0.10,0.01,1.07,18.55,19.59,-1.77
41477,-0.13,0.03,1.06,15.87,17.09,-1.77
41493,-0.13,0.04,1.06,13.67,15.01,-2.08
41509,-0.10,0.04,1.06,14.95,12.94,-1.95
41525,-0.10,0.04,1.06,16.42,15.01,-0.67
41541,-0.09,0.04,1.06,14.53,16.30,-1.40
41557,-0.09,0.05,1.04,11.11,18.25,-4.58
41573,-0.10,0.07,1.05,9.52,21.36,-6.84
41589,-0.08,0.09,1.08,8.67,23.99,-7.08
41605,-0.07,0.09,1.09,6.77,29.60,-6.04
41621,-0.08,0.09,1.09,7.39,30.40,-3.23
41637,-0.09,0.10,1.06,9.09,29.24,-1.89
41653,-0.11,0.11,1.02,13.73,24.54,0.37
41669,-0.10,0.12,1.04,17.76,24.11,2.75
41685,-0.10,0.11,1.18,18.37,33.94,4.94
41701,-0.17,0.10,1.29,4.21,43.95,4.33
41717,-0.23,0.08,1.31,-3.66,41.69,1.59
41733,-0.27,0.12,1.38,6.10,23.56,-1.22
41749,-0.27,0.17,1.40,9.58,-0.55,-8.73
41765,-0.27,0.20,1.43,11.90,-6.10,-9.09
41781,-0.27,0.24,1.46,8.91,-11.90,-3.66
41797,-0.23,0.23,1.44,1.22,-19.96,1.77
41813,-0.23,0.22,1.43,0.24,-24.11,4.27
41829,-0.24,0.20,1.40,1.77,-31.19,9.09
41845,-0.24,0.18,1.38,5.25,-33.45,11.60
41861,-0.24,0.18,1.37,6.59,-34.61,11.41
41877,-0.21,0.15,1.33,2.38,-37.05,11.23
41893,-0.18,0.14,1.27,-2.44,-37.29,10.44
41909,-0.17,0.13,1.24,-5.37,-37.48,8.97
41925,-0.16,0.15,1.17,-10.50,-36.19,5.98
41941,-0.15,0.15,1.11,-18.43,-32.41,3.85
41957,-0.14,0.14,1.09,-20.63,-28.99,4.33
41973,-0.13,0.11,1.08,-20.75,-18.98,7.26
41989,-0.15,0.09,1.10,-18.37,-12.08,8.97
42005,-0.16,0.07,1.11,-18.74,-11.84,8.79
42021,-0.18,0.04,1.11,-14.28,-17.70,9.52
42037,-0.20,0.02,1.11,-1.53,-35.10,11.60
42053,-0.19,0.03,1.10,6.16,-44.19,12.45
42069,-0.16,0.06,1.08,11.47,-58.78,12.70
42085,-0.12,0.07,1.01,3.97,-67.63,13.79
42101,-0.10,0.06,0.97,1.04,-69.82,14.53
