timestamp,ch6,ch5,ch4,ch3,ch2,ch1,ch0,temp,humi
0,4661856,1970362,549363,3804254,8220852,8223755,7463808,32.450446,79.127184
10,4662315,1970458,549445,3804130,8160501,8162727,7381868,32.510872,79.293507
20,4662694,1970512,549501,3803737,8150903,8152727,7370125,32.410163,79.476616
30,4663367,1970579,549471,3803805,8149242,8151104,7375052,32.490730,79.607843
40,4664083,1970569,549437,3803456,8148632,8150628,7390998,32.450446,79.725338
50,4664712,1970924,549480,3803693,8148842,8150469,7423246,32.510872,79.916075
60,4665182,1970986,549470,3803686,8148750,8150358,7454114,32.571298,80.068666
70,4665755,1971236,549498,3803670,8148655,8150781,7454838,32.470588,80.167849
80,4666323,1971004,549487,3803316,8148848,8150819,7416797,32.551156,80.309758
90,4667033,1971170,549569,3803545,8148624,8150753,7413872,32.551156,80.468452
100,4667555,1971267,549559,3803612,8148682,8150704,7404687,32.470588,80.595102
110,4668276,1971103,549592,3803732,8148897,8150968,7397136,32.571298,80.715648
120,4669022,1971181,549657,3803646,8148923,8150703,7379307,32.611582,80.866712
130,4669711,1971573,549646,3803713,8148921,8150983,7392954,32.551156,80.993362
140,4670443,1971607,549626,3803635,8148426,8150399,7382544,32.631724,81.112383
150,4671198,1971760,549655,3803892,8148725,8150599,7389326,32.591440,81.254292
160,4671827,1971739,549673,3803694,8148532,8150470,7401982,32.571298,81.387045
170,4672499,1971742,549617,3803674,8148817,8150976,7409815,32.651865,81.506065
180,4673017,1971789,549659,3803412,8148615,8150941,7380213,32.651865,81.640345
190,4673699,1971527,549691,3803308,8148766,8151212,7370854,32.631724,81.747158
200,4674555,1971676,549684,3803436,8148883,8151034,7402450,32.631724,81.881437
210,4675318,1971600,549761,3803290,8148518,8151112,7392910,32.651865,81.994354
220,4676063,1971496,549769,3803391,8148586,8151339,7404102,32.651865,82.165255
230,4676912,1971564,549767,3803316,8148537,8151250,7388030,32.672007,82.227817
240,4677612,1971845,549864,3803670,8148520,8151369,7391395,32.631724,82.345312
250,4678189,1971605,549863,3803625,8148662,8151465,7414589,32.672007,82.496376
260,4679097,1971798,549832,3803632,8148447,8149295,7418209,32.712291,82.574197
270,4679922,1971838,549919,3803701,8148604,8148438,7407420,32.672007,82.728313
280,4680838,1971906,549900,3803481,8148296,8148222,7397274,32.672007,82.825971
290,4681387,1972135,549903,3803390,8148425,8148087,7366992,32.772717,82.958724
300,4682279,1972052,549983,3803254,8148280,8147936,7340696,32.732433,83.051804
310,4682919,1972266,549957,3803743,8148733,8148194,7353352,32.712291,83.147936
320,4683782,1972405,549985,3803728,8148336,8147950,7381219,32.712291,83.221180
330,4684530,1972512,550049,3803634,8148445,8148124,7370748,32.712291,83.331044
340,4685505,1972867,550062,3803786,8148542,8148268,7364641,32.792859,83.462272
350,4686376,1972617,550121,3803688,8148236,8148064,7361549,32.712291,83.562982
360,4686959,1972894,550016,3803705,8148151,8147833,7366181,32.752575,83.653010
370,4687768,1972909,550136,3803826,8148192,8148083,7375359,32.712291,83.758297
380,4688858,1973009,550071,3803681,8147913,8147671,7397846,32.692149,83.840696
390,4689538,1973233,550090,3803369,8147973,8147957,7391987,32.732433,83.955138
400,4690551,1973337,550142,3803392,8147799,8148044,7405602,32.772717,84.069581
410,4691634,1973653,550219,3803660,8147740,8147739,7377644,32.792859,84.182498
420,4692310,1973718,550136,3803487,8147782,8148226,7387033,32.732433,84.223697
430,4693205,1973826,550280,3803685,8147715,8148608,7403911,32.792859,84.353399
440,4694070,1973985,550271,3803705,8147262,8148418,7408049,32.833143,84.455634
