timestamp,ch6,ch5,ch4,ch3,ch2,ch1,ch0,temp,humi
0,3676403,1546341,400140,3249346,8219934,8222513,7593237,30.516823,95.994507
10,3676277,1546512,400122,3248934,8159627,8161536,7546017,30.516823,95.970092
20,3676022,1546471,400071,3248768,8149913,8151275,7539447,30.557107,95.974670
30,3676236,1546441,400073,3248316,8148558,8149793,7539027,30.516823,95.957885
40,3676275,1546398,400118,3248607,8148027,8149469,7538719,30.557107,95.962463
50,3676305,1546406,400029,3248456,8148152,8149522,7538643,30.597391,95.979248
60,3676122,1546411,400087,3248766,8148117,8149263,7538716,30.577249,95.977722
70,3676076,1546363,400073,3248332,8147905,8149270,7538866,30.557107,95.974670
80,3676015,1546443,400112,3248485,8147881,8149306,7538878,30.516823,95.921263
90,3676067,1546314,400087,3248490,8147953,8149446,7539246,30.516823,95.957885
100,3676038,1546385,400051,3248203,8148215,8149468,7539120,30.577249,95.941100
110,3675874,1546257,400061,3248383,8148228,8149458,7539033,30.637675,95.971618
120,3675708,1546325,400103,3248159,8147916,8149035,7538844,30.597391,95.954833
130,3675974,1546330,400069,3248211,8147947,8149349,7539047,30.557107,95.974670
140,3675721,1546033,400031,3248180,8147793,8149412,7538579,30.557107,95.950256
150,3675701,1546142,400079,3248293,8147843,8149192,7538783,30.536965,95.912108
160,3675681,1546022,400051,3248211,8148230,8149171,7539102,30.536965,95.985351
170,3675632,1546259,400105,3248478,8147886,8149173,7539313,30.536965,95.973144
180,3675700,1546051,400054,3248187,8147862,8149279,7539259,30.617533,95.956359
190,3675626,1546046,400057,3248183,8147716,8149161,7539145,30.577249,95.941100
200,3675512,1546000,400044,3248204,8147981,8149313,7539309,30.597391,95.979248
210,3675460,1546091,400087,3248180,8148072,8149420,7539534,30.557107,95.999084
220,3675615,1546008,400022,3248030,8147897,8149162,7539634,30.557107,95.938048
230,3675506,1545962,400028,3248197,8148144,8149202,7539081,30.577249,96.002136
240,3675339,1545877,400061,3248246,8147827,8149201,7539209,30.577249,95.965515
250,3675256,1546050,400010,3248266,8147848,8149271,7539504,30.597391,95.930419
260,3675288,1545966,400083,3248228,8148040,8149045,7539146,30.536965,95.948730
270,3675223,1545986,400092,3248094,8148120,8149307,7539666,30.577249,95.916686
280,3675244,1545952,400084,3248187,8147954,8149132,7539047,30.557107,95.962463
290,3675233,1546000,400030,3248096,8148019,8149394,7539438,30.577249,95.977722
300,3675214,1546042,400068,3248270,8148043,8149137,7539052,30.536965,95.960937
310,3675176,1545981,400066,3247849,8148190,8149315,7538920,30.577249,95.953307
320,3675223,1546001,399989,3248027,8147863,8148939,7538807,30.536965,95.924315
330,3675208,1545975,400034,3248334,8148070,8149382,7539291,30.536965,95.924315
340,3675141,1545921,400084,3248462,8147897,8148936,7539376,30.577249,96.002136
350,3675089,1545772,400059,3248241,8147902,8149166,7539182,30.617533,95.980774
360,3674863,1545848,400072,3248068,8148159,8149247,7539481,30.557107,95.950256
370,3674793,1545924,400013,3248100,8148136,8149247,7539613,30.597391,95.954833
380,3674841,1545876,400071,3248090,8148197,8149508,7539169,30.577249,95.953307
390,3674801,1545974,400038,3248131,8148117,8149187,7538831,30.597391,95.954833
400,3674949,1545753,400038,3248007,8147937,8149352,7539014,30.657816,95.973144
410,3674724,1545766,399996,3248160,8148013,8149181,7538772,30.557107,95.986877
420,3674447,1545693,400005,3248213,8147724,8149120,7538954,30.557107,95.962463
430,3674689,1545611,400045,3247966,8147962,8149380,7538786,30.617533,95.944152
440,3674494,1545531,400084,3248194,8147974,8149043,7539133,30.557107,95.974670
450,3674758,1545649,399978,3248370,8147972,8149133,7539306,30.557107,95.974670
460,3674553,1545576,400019,3248052,8148004,8149263,7539221,30.597391,95.954833
470,3674512,1545529,400044,3248041,8147858,8149177,7539365,30.657816,95.960937
480,3674686,1545467,399991,3248011,8148103,8149250,7539451,30.617533,95.968566
490,3674560,1545356,399993,3247922,8147750,8149056,7539292,30.557107,95.938048
500,3674540,1545500,399983,3247968,8147882,8149055,7539598,30.637675,95.934997
510,3674575,1545498,399986,3247963,8147964,8149248,7539438,30.557107,95.962463
520,3674449,1545510,399998,3248032,8147786,8149221,7539193,30.557107,95.938048
530,3674333,1545490,399967,3248230,8148036,8149365,7539483,30.637675,95.959411
540,3674408,1545415,399985,3248254,8147879,8149016,7539547,30.516823,95.933471
550,3674293,1545498,400014,3248415,8147922,8149237,7539533,30.617533,95.968566
560,3674287,1545565,399995,3248145,8148093,8149184,7539343,30.617533,95.968566
570,3674414,1545507,399986,3248185,8148020,8149470,7539710,30.657816,95.948730
580,3674352,1545507,399974,3247952,8148083,8149298,7539625,30.557107,95.950256
590,3674011,1545484,400026,3248265,8148014,8149312,7539252,30.577249,95.965515
600,3674223,1545443,400010,3248315,8147911,8149199,7538935,30.557107,95.925841
610,3674113,1545380,399951,3248016,8148327,8149443,7539473,30.577249,95.965515
620,3674159,1545466,399971,3247860,8147880,8149106,7538986,30.597391,95.979248
630,3674095,1545224,399967,3248027,8148097,8149323,7538913,30.577249,95.941100
640,3674112,1545293,400026,3248049,8147992,8149222,7539047,30.677958,95.988403
650,3673918,1545369,400022,3247938,8148137,8149361,7539026,30.597391,95.954833
660,3674100,1545234,399922,3247875,8147952,8149065,7539369,30.577249,95.953307
670,3673742,1545126,399982,3247762,8148074,8149186,7539358,30.637675,95.971618
680,3673979,1545235,399969,3247936,8147852,8149121,7539339,30.617533,95.931945
690,3673661,1545205,399981,3247641,8148152,8149315,7539636,30.657816,95.960937
700,3673855,1545312,399943,3247759,8148015,8149259,7539789,30.617533,95.980774
710,3673789,1545146,399935,3247479,8147985,8149186,7539580,30.557107,95.950256
720,3673739,1545081,399974,3247777,8147994,8149299,7539523,30.698100,95.977722
730,3673806,1545201,399955,3247709,8147922,8149426,7539743,30.617533,95.968566
740,3673768,1545251,399937,3247639,8147838,8149189,7539583,30.577249,95.965515
750,3673749,1545185,399969,3247812,8148143,8149365,7539668,30.496681,95.968566
760,3673577,1545098,399913,3247910,8147989,8149270,7539257,30.617533,95.944152
770,3673516,1545135,399940,3247816,8147601,8149153,7539013,30.657816,95.948730
780,3673426,1545113,399904,3247851,8148210,8149259,7539471,30.597391,95.942626
790,3673558,1545075,399900,3247827,8147909,8149301,7539489,30.557107,95.962463
800,3673479,1544933,399916,3247694,8148010,8149163,7539461,30.557107,95.901427
810,3673543,1544873,399942,3247636,8148092,8149243,7539818,30.597391,95.954833
820,3673541,1544924,399919,3247736,8148116,8149222,7539512,30.617533,95.992981
830,3673477,1545028,399933,3247684,8148319,8149490,7539941,30.617533,95.956359
840,3673358,1544803,399844,3247741,8147974,8149217,7539664,30.637675,95.934997
850,3673379,1545066,399944,3247584,8148023,8149324,7539528,30.577249,95.941100
860,3673326,1544943,399913,3247471,8147895,8149055,7539578,30.657816,95.936522
870,3673283,1544987,399900,3247538,8148125,8149723,7539202,30.637675,95.934997
880,3673149,1544780,399994,3247731,8148035,8149418,7539358,30.597391,95.918212
890,3673179,1544782,399875,3247448,8147899,8149156,7538762,30.536965,95.936522
900,3673233,1544838,399882,3247419,8147973,8149342,7539104,30.577249,95.953307
910,3673008,1544735,399868,3247250,8148066,8149259,7538973,30.637675,95.971618
920,3673085,1544716,399868,3247384,8147942,8148915,7538772,30.597391,95.954833
930,3673001,1544590,399945,3247778,8148103,8149396,7539022,30.577249,95.965515
940,3673030,1544565,399871,3247500,8147800,8149343,7538652,30.597391,95.954833
950,3673003,1544881,399959,3247459,8148019,8149282,7538906,30.597391,95.930419
960,3672927,1544730,399879,3247646,8148007,8149218,7539018,30.597391,95.967041
970,3673003,1544776,399909,3247439,8147873,8149199,7539090,30.617533,95.944152
980,3673066,1544646,399897,3247631,8147983,8149313,7539020,30.577249,95.977722
990,3673004,1544712,399870,3247448,8148243,8149356,7539205,30.577249,95.941100
1000,3672830,1544754,399858,3247657,8147880,8149359,7538980,30.637675,95.971618
1010,3672856,1544689,399804,3247522,8147987,8149465,7538937,30.577249,95.916686
1020,3672789,1544743,399811,3247517,8147854,8149175,7539149,30.617533,95.931945
1030,3672662,1544702,399907,3247384,8148136,8149631,7539035,30.617533,95.944152
1040,3672521,1544670,399877,3247555,8147924,8149164,7538599,30.677958,95.939574
1050,3672609,1544772,399891,3247607,8147871,8149153,7539028,30.637675,95.971618
1060,3672726,1544678,399853,3247509,8147998,8149255,7539155,30.577249,95.916686
1070,3672480,1544778,399882,3247372,8148060,8149382,7539495,30.597391,95.991455
1080,3672544,1544786,399855,3247571,8148153,8149297,7539592,30.637675,95.983825
1090,3672539,1544598,399866,3247539,8148158,8149389,7539566,30.637675,95.934997
1100,3672270,1544696,399823,3247636,8147970,8149387,7539715,30.698100,95.953307
1110,3672159,1544714,399861,3247696,8148230,8149494,7539730,30.577249,95.965515
1120,3672447,1544577,399807,3247653,8148060,8149345,7539663,30.657816,95.960937
1130,3672472,1544603,399861,3247618,8148170,8149384,7539984,30.617533,95.931945
1140,3672493,1544711,399813,3247309,8147701,8149132,7539814,30.617533,95.980774
